region_id,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR101,1033,1586,5276,9663,18053,31255,33466,29394,14444,144170,224,913,3265,4596,7742,8595,8493,8277,2749,44854,12832,21747,48882,39383,36079,31979,27357,24893,16217,259369,112513,278900,627334,588394,525647,413207,253777,158127,69682,3027581
SOSR102,334,348,806,1342,3037,5775,6487,7268,4569,29966,28,36,111,268,454,392,379,396,192,2256,2070,2231,4227,5011,5920,5932,6913,8330,5284,45918,22172,43385,80428,91261,95185,84963,63072,44466,19233,544165
SOSR103,114,149,349,539,1334,2878,3480,3344,1557,13744,10,27,65,113,158,271,401,486,137,1668,707,949,1522,1635,1969,2002,2241,2549,1040,14614,8263,17565,30344,32865,33651,28055,20521,13914,5057,190235
SOSR111,87,82,210,293,592,1024,1104,1113,637,5142,6,10,37,43,47,61,59,26,19,308,398,392,725,889,904,889,938,978,565,6678,4040,7523,14598,15328,14853,13023,8393,5296,2141,85195
SOSR112,302,311,722,1041,2100,3780,4072,4416,2631,19375,25,51,126,154,190,237,220,206,117,1326,1504,1758,3180,3435,3730,3583,3833,4126,2543,27692,13457,25692,46134,49524,52361,47513,34394,23348,9918,302341
SOSR113,219,254,528,830,1771,3488,3805,4155,2422,17472,21,27,66,89,128,166,188,203,86,974,1107,1244,2265,2485,2834,3009,3584,3998,2406,22932,9785,17212,29990,33980,38619,38098,31315,21881,9199,230079
SOSR114,151,159,331,551,1274,2771,3437,3345,1861,13880,7,13,39,68,94,101,137,117,50,626,791,745,1495,1796,1905,2180,2791,2956,1801,16460,6608,10974,22184,26312,28253,27744,24084,16081,6561,168801
SOSR115,196,200,486,864,1999,4448,5115,5106,2984,21398,17,17,58,97,149,195,223,196,69,1021,1231,1189,2087,2837,3294,3597,4353,4423,2280,25291,10610,17024,33323,42522,48486,48667,38057,24519,9833,273041
SOSR121,72,78,148,240,627,1243,1439,1088,505,5440,4,3,20,19,31,60,63,46,15,261,306,246,403,619,854,858,1016,882,368,5552,2966,4235,8347,12248,14509,13901,9788,5209,1625,72828
SOSR122,29,36,84,166,403,880,878,643,293,3412,0,6,19,17,22,35,52,26,12,189,168,150,295,454,600,629,648,529,173,3646,1520,2227,4662,6998,8533,8523,6125,2970,872,42430
SOSR131,246,251,580,1216,3056,6434,6581,4432,1539,24335,26,45,70,137,223,369,365,315,100,1650,1776,1608,3058,4414,5465,5821,4904,2979,1078,31103,15537,21894,40554,69299,87668,84309,50750,20400,5347,395758
SOSR179,0,0,0,0,0,3,8,7,0,18,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,5,4,0,14,0,7,3,9,11,25,27,24,3,109
SOSR199,35,31,55,75,95,110,96,46,17,560,5,7,10,20,22,17,6,7,0,94,121,221,568,598,597,393,240,86,66,2890,585,1311,2652,2104,1890,1674,969,241,122,11548
