region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SOSR101,118671,31031,64462,1158,471,215793,598206,129903,270705,3074,1313,1003201,18276,4249,9917,147,66,32655,18728,6626,22336,315,115,48120,635210,140778,302958,3536,1494,1083976,26201,6647,14839,235,116,48038,780082,178456,382259,4929,2081,1347807
SOSR102,40733,10693,8953,1380,71,61830,145050,18021,13347,1086,168,177672,6007,1016,759,92,9,7883,6290,1423,1598,145,21,9477,157347,20460,15704,1323,198,195032,6684,1548,1497,221,14,9964,204764,32701,26154,2924,283,266826
SOSR103,13917,3136,3738,491,12,21294,46362,6132,7100,424,34,60052,2258,361,392,30,4,3045,1896,473,821,45,0,3235,50516,6966,8313,499,38,66332,2197,469,612,86,0,3364,66630,10571,12663,1076,50,90990
SOSR111,7169,882,1673,102,0,9826,24571,1359,1936,93,14,27973,1059,61,106,4,0,1230,1158,142,306,12,4,1622,26788,1562,2348,109,18,30825,1119,120,262,17,0,1518,35076,2564,4283,228,18,42169
SOSR112,26820,4498,5832,855,18,38023,82243,6739,6410,743,79,96214,3966,438,422,42,6,4874,4342,684,994,86,11,6117,90551,7861,7826,871,96,107205,3851,720,923,156,7,5657,121222,13079,14581,1882,121,150885
SOSR113,24061,3659,4140,725,46,32631,58609,5315,4414,583,75,68996,3176,323,312,40,4,3855,3130,484,608,64,7,4293,64915,6122,5334,687,86,77144,3449,487,635,157,9,4737,92425,10268,10109,1569,141,114512
SOSR114,19641,2393,3039,620,8,25701,44250,3275,2429,423,56,50433,2458,247,163,35,0,2903,2383,326,371,55,3,3138,49091,3848,2963,513,59,56474,2606,314,441,131,6,3498,71338,6555,6443,1264,73,85673
SOSR115,31910,2580,3168,1271,48,38977,74890,3725,2769,1097,86,82567,4137,237,194,72,7,4647,3607,369,404,91,7,4478,82634,4331,3367,1260,100,91692,4318,334,423,257,23,5355,118862,7245,6958,2788,171,136024
SOSR121,7713,339,378,306,38,8774,21560,510,369,281,61,22781,1189,44,24,21,3,1281,920,31,51,24,3,1029,23669,585,444,326,67,25091,1152,43,46,64,7,1312,32534,967,868,696,112,35177
SOSR122,5327,62,134,316,12,5851,12240,118,121,282,22,12783,763,5,10,20,0,798,517,15,16,26,0,574,13520,138,147,328,22,14155,747,13,14,41,33,848,19594,213,295,685,67,20854
SOSR131,35430,287,180,1306,49,37252,121204,864,312,1281,138,123799,7870,50,13,93,13,8039,5377,47,42,169,6,5641,134451,961,367,1543,157,137479,5291,57,29,256,18,5651,175172,1305,576,3105,224,180382
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
