region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
SOSR101,32997,13417,69767,750393,769031,332589,270425,766940,272024,3161402
SOSR102,8868,4206,19255,121655,149186,73423,60188,117224,46433,568109
SOSR103,2476,872,5054,42271,50099,25225,21491,44849,15049,198984
SOSR111,1093,383,2140,19259,23593,11436,9968,18125,6858,89239
SOSR112,5025,1918,9933,64038,84143,41645,34657,64154,27868,316505
SOSR113,4444,1886,9208,43861,59215,32137,28265,53177,23571,240226
SOSR114,3062,1566,6565,31799,43612,23978,21710,38058,17028,176185
SOSR115,4741,2071,9842,50908,71864,39169,36255,60333,26611,285140
SOSR121,765,316,1625,14105,19726,11214,10332,15076,6071,76524
SOSR122,373,183,871,7825,11428,6439,6095,8770,3924,44481
SOSR131,2175,935,5352,78429,107877,62969,59788,72727,34716,416506
SOSR179,0,0,0,6,6,9,6,70,15,112
SOSR199,66,49,124,2361,1817,643,573,3420,2923,11737
