region_id,Indonesia_2006,Indonesia_2007,Indonesia_2008,Indonesia_2009,Indonesia_2010,Indonesia_2011,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iraq_Before_1941,Iraq_1941_1950,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2005,Iraq_2006,Iraq_2007,Iraq_2008,Iraq_2009,Iraq_2010,Iraq_2011,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1941,Ireland_1941_1950,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2005,Ireland_2006,Ireland_2007,Ireland_2008,Ireland_2009,Ireland_2010,Ireland_2011,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1941,Italy_1941_1950,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2005,Italy_2006,Italy_2007,Italy_2008,Italy_2009,Italy_2010,Italy_2011,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1941,Japan_1941_1950,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2005,Japan_2006,Japan_2007,Japan_2008,Japan_2009,Japan_2010,Japan_2011,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1941,Korea_Rep_Sth_1941_1950,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2005,Korea_Republic_South_2006,Korea_Republic_South_2007,Korea_Republic_South_2008,Korea_Republic_South_2009,Korea_Republic_South_2010,Korea_Republic_South_2011,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1941,Lebanon_1941_1950,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2005,Lebanon_2006,Lebanon_2007,Lebanon_2008,Lebanon_2009,Lebanon_2010,Lebanon_2011,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1941,Malaysia_1941_1950,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2005,Malaysia_2006,Malaysia_2007,Malaysia_2008,Malaysia_2009,Malaysia_2010,Malaysia_2011,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1941,Malta_1941_1950,Malta_1951_1960,Malta_1961_1970,Malta_1971_1980,Malta_1981_1990,Malta_1991_2000,Malta_2001_2005,Malta_2006,Malta_2007,Malta_2008,Malta_2009,Malta_2010,Malta_2011,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1941,Netherlands_1941_1950,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2005,Netherlands_2006,Netherlands_2007,Netherlands_2008,Netherlands_2009,Netherlands_2010,Netherlands_2011,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1941,New_Zealand_1941_1950,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2005,New_Zealand_2006,New_Zealand_2007,New_Zealand_2008,New_Zealand_2009,New_Zealand_2010,New_Zealand_2011,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Philippines_Before_1941,Philippines_1941_1950,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2005,Philippines_2006,Philippines_2007,Philippines_2008,Philippines_2009,Philippines_2010,Philippines_2011,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1941,Poland_1941_1950,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2005,Poland_2006,Poland_2007,Poland_2008,Poland_2009,Poland_2010,Poland_2011,Poland_Yr_arrival_NS,Poland_Tot
SOSR101,1050,1018,1358,1201,998,590,835,24707,3,15,15,803,1039,1118,10163,5965,1438,1194,1830,2049,1077,993,891,28593,66,125,521,1687,1577,2733,2286,1759,528,639,988,991,1143,851,556,16450,366,1614,13870,13707,3226,1035,830,567,178,184,195,279,307,182,2615,39155,3,12,122,163,490,1601,2659,1931,437,426,441,578,672,415,606,10556,0,0,7,52,2079,7313,9349,7288,2207,1993,2207,2031,1885,1210,2072,39693,52,336,1688,8214,14572,11157,7742,3909,872,745,726,571,473,291,2865,54213,25,33,257,1296,3409,7471,3596,2656,647,781,815,850,919,542,679,23976,31,1217,4102,3529,1325,566,123,53,15,23,23,13,15,7,505,11547,16,538,3168,994,574,596,600,489,137,173,179,188,246,124,264,8286,316,315,933,3926,9023,13830,18296,11283,2527,2429,2664,2471,2935,2001,4349,77298,3,7,29,567,4339,19130,16237,6960,2060,2326,2514,2152,1822,1084,1893,61123,69,1236,664,728,1055,4228,1407,759,162,169,127,175,158,70,451,11458
SOSR102,25,35,58,38,32,33,29,712,0,0,0,13,8,5,29,33,4,4,0,19,12,4,5,136,9,25,120,318,249,287,178,114,33,43,39,37,55,39,68,1614,35,109,1093,664,136,51,37,14,13,8,7,16,18,0,161,2362,0,3,16,14,30,49,116,89,19,28,20,11,14,8,26,443,0,0,0,9,34,134,149,145,42,81,66,79,75,51,57,922,3,9,23,48,60,35,17,17,3,0,3,0,9,3,4,234,0,16,39,121,218,244,96,97,37,51,55,65,97,60,45,1241,5,143,347,207,61,23,8,3,0,0,3,0,0,0,36,836,5,171,1085,262,132,114,84,43,3,14,7,20,18,10,90,2058,80,67,179,898,2083,2475,1976,989,198,229,252,210,248,140,641,10665,0,0,0,47,175,869,673,284,100,100,154,152,112,77,94,2837,5,251,74,100,76,251,57,29,12,5,4,9,4,4,63,944
SOSR103,11,6,27,32,57,18,27,343,0,0,0,4,0,5,19,20,5,6,19,35,8,0,0,121,0,6,43,148,103,59,49,36,0,6,4,15,17,3,27,516,23,95,1528,1098,214,61,33,15,4,3,5,6,7,0,185,3277,0,3,3,3,4,25,40,27,4,7,7,5,5,13,13,159,0,0,0,0,5,43,44,59,13,14,11,14,13,7,18,241,4,8,31,104,151,126,75,38,15,5,10,11,3,3,37,621,0,3,7,27,42,55,44,24,6,9,45,26,20,29,16,353,0,43,286,201,66,18,3,0,3,3,0,0,3,0,32,658,0,81,731,127,30,34,12,18,3,3,3,3,0,0,31,1076,17,17,52,180,445,465,473,223,56,77,91,49,65,73,138,2421,0,0,0,0,105,419,223,103,24,28,37,30,29,40,46,1084,0,106,39,44,90,157,39,15,0,4,3,0,3,0,22,522
SOSR111,0,3,6,0,0,0,6,47,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,8,0,4,16,22,28,15,14,9,4,3,3,3,9,5,3,138,0,7,73,34,6,0,4,3,0,0,0,5,0,0,18,150,0,0,0,0,5,0,9,5,4,3,0,0,0,0,0,26,0,0,0,0,3,10,10,10,3,3,7,3,10,4,10,73,0,3,3,9,3,4,3,8,0,0,0,0,0,0,3,36,0,3,0,17,21,13,6,0,4,3,7,0,3,0,6,83,0,4,14,10,0,0,5,3,0,0,0,0,0,0,0,36,0,24,177,59,22,10,3,7,7,4,0,0,0,0,10,323,5,9,28,77,196,258,206,103,19,29,32,24,41,25,83,1135,0,0,0,4,10,146,99,52,18,17,30,43,20,7,15,461,0,64,11,12,11,25,11,4,5,0,0,0,0,0,9,152
SOSR112,8,6,11,19,7,6,18,235,0,0,0,3,0,0,18,21,5,0,0,7,6,0,10,70,12,11,58,98,101,69,52,46,20,11,24,31,27,28,33,621,28,69,343,195,38,17,13,5,3,9,0,0,0,3,66,789,0,0,5,6,16,29,47,35,3,14,14,5,12,8,8,202,0,0,0,0,10,34,37,33,10,16,19,24,28,21,30,262,4,0,10,30,28,20,5,4,0,0,0,3,0,0,38,142,0,3,15,49,83,73,40,44,19,7,15,15,15,15,21,414,0,26,79,40,16,8,0,0,0,0,0,0,0,0,12,181,0,101,613,124,66,61,34,20,0,3,4,6,9,4,43,1088,36,37,99,413,908,877,655,373,106,110,91,94,149,117,353,4418,3,0,0,13,75,309,246,160,55,63,114,82,51,35,48,1254,0,77,27,39,19,60,19,8,0,8,3,6,0,5,20,291
SOSR113,5,6,11,15,7,5,6,167,0,0,4,4,3,0,18,6,3,0,17,0,8,8,3,74,13,6,32,102,84,61,40,25,6,3,3,15,20,9,20,439,67,192,678,318,66,29,14,15,0,3,0,6,3,0,106,1497,3,4,10,3,11,5,21,25,5,8,0,0,7,5,7,114,0,0,0,3,13,18,15,22,3,10,9,4,6,14,12,129,0,4,9,23,14,10,4,3,3,0,0,0,0,3,6,79,3,4,16,59,67,53,30,13,3,9,3,7,5,3,15,290,4,56,113,48,19,3,3,3,0,0,0,0,0,0,12,261,4,66,516,112,40,44,30,21,3,3,3,13,0,0,38,893,46,48,105,371,662,740,629,316,72,72,114,110,85,96,286,3752,0,0,0,9,39,275,222,101,41,34,58,81,50,29,57,996,0,56,27,28,24,40,5,4,0,0,3,0,0,0,3,190
SOSR114,0,6,8,11,8,0,6,105,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,9,3,9,33,75,40,43,24,18,8,4,11,9,10,3,18,308,6,46,211,132,20,6,9,3,0,0,0,0,0,0,44,477,0,3,9,3,3,11,20,20,3,3,6,4,7,3,7,102,0,0,0,0,0,10,12,9,8,0,5,7,11,5,9,76,3,0,10,15,12,11,3,5,0,0,0,0,3,0,4,66,3,0,14,30,34,27,19,8,3,5,3,0,5,0,8,159,0,24,67,27,12,4,0,3,0,0,0,0,0,0,5,142,0,63,395,89,31,33,24,22,3,3,3,4,3,0,26,699,36,26,58,231,467,501,350,200,61,39,54,46,59,44,167,2339,0,0,4,0,29,144,94,58,20,25,41,44,45,26,22,552,3,43,13,11,9,23,3,3,0,0,3,0,0,0,6,117
SOSR115,8,5,17,5,8,5,11,187,0,0,4,8,6,4,11,11,5,0,4,3,0,0,3,59,4,15,53,148,96,82,76,26,8,13,18,25,15,20,17,616,19,48,276,180,41,29,18,17,3,6,12,5,6,4,73,737,0,6,9,6,9,15,38,36,8,12,11,24,19,7,15,215,0,0,0,0,4,22,11,15,4,0,8,5,8,5,16,98,6,4,5,23,21,12,16,7,5,0,0,0,4,0,15,118,6,4,16,34,73,39,22,14,4,3,0,0,8,3,13,239,0,51,157,106,18,17,5,3,0,0,0,0,0,0,10,367,3,78,700,166,77,56,49,27,14,11,13,6,5,0,45,1250,45,34,104,428,857,881,643,353,82,67,108,78,108,66,269,4123,0,3,0,22,45,189,147,90,16,27,62,36,44,29,26,736,0,46,25,28,22,51,9,17,0,0,0,3,3,3,14,221
SOSR121,0,0,0,0,0,0,0,34,0,0,0,11,0,5,14,0,0,0,0,0,0,0,0,30,0,4,11,31,29,30,17,8,0,0,0,3,4,0,11,148,3,24,137,88,16,8,3,3,0,0,0,6,0,4,29,321,0,0,4,3,0,0,0,4,0,0,0,9,0,0,8,28,0,0,0,0,0,3,4,3,0,3,3,0,13,3,3,35,0,0,0,8,14,12,4,4,0,0,3,0,0,3,7,55,0,0,0,19,20,10,3,0,0,0,0,0,0,0,7,59,0,28,61,49,18,8,3,0,0,0,0,0,0,0,14,181,0,21,161,55,23,23,5,11,4,0,7,0,4,0,5,319,11,5,31,110,250,201,142,61,14,22,17,5,16,10,56,951,0,0,0,5,13,72,32,15,6,10,3,4,11,10,9,190,0,16,13,3,3,13,0,4,0,0,0,0,0,0,0,52
SOSR122,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,21,11,11,5,0,0,0,0,3,0,5,87,4,8,54,37,7,4,0,3,0,0,3,0,0,0,8,128,0,0,3,0,0,3,8,3,3,0,0,3,0,0,3,26,0,0,0,0,3,6,3,3,3,0,0,0,4,0,0,22,0,0,4,3,3,3,0,0,0,0,0,0,0,0,0,13,0,0,0,11,10,10,0,0,0,0,0,0,0,0,9,40,0,15,24,16,7,0,0,0,0,0,0,0,0,0,0,62,0,13,111,23,15,14,7,7,0,0,0,4,0,0,4,198,0,8,19,74,189,163,96,41,17,8,21,11,12,17,46,722,0,3,0,0,4,41,44,21,0,4,8,3,7,0,13,148,0,8,3,8,4,5,3,0,0,0,0,0,0,0,0,31
