region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOSR101,56347,12549,69767,630499,203365,22053,855917,2054494,250991,3161402
SOSR102,15165,3930,19257,109124,47840,6018,162982,363150,41979,568111
SOSR103,4235,780,5054,39275,18038,2139,59452,126146,13390,198988
SOSR111,1785,335,2140,19175,7657,992,27824,55231,6183,89238
SOSR112,8092,1757,9932,61480,25064,3585,90129,200795,25578,316502
SOSR113,7389,1764,9208,42137,18470,2324,62931,155940,21356,240227
SOSR114,5053,1464,6566,32962,12914,1774,47650,113190,15345,176185
SOSR115,7878,1887,9841,52142,20669,3111,75922,185292,23923,285137
SOSR121,1338,280,1626,15309,5732,856,21897,49219,5408,76524
SOSR122,715,148,873,8445,3217,428,12090,28911,3481,44482
SOSR131,4413,843,5351,82812,32599,3861,119272,265870,31367,416509
SOSR179,0,0,0,6,0,0,6,89,14,109
SOSR199,70,51,121,1112,552,42,1706,7209,2821,11736
