region_id,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOSR101,11964,1903,2659,28,17,16571,4486,718,1040,9,4,6257,4164,647,915,11,4,5741,7400,1150,1740,11,8,10309,9850,1609,2621,27,17,14124,29039,5063,9069,66,40,43277,33540,6621,12502,59,45,52767,62786,11812,21203,99,78,95978,43866,8167,13314,46,53,65446,50640,9600,11628,61,50,71979,44644,8625,6794,78,41,60182,17817,2707,3213,44,16,23797,320196,58622,86698,539,373,466428
SOSR102,3001,274,157,10,0,3442,1582,143,100,0,3,1828,1504,136,74,8,0,1722,2951,236,117,11,0,3315,3983,303,175,11,7,4479,10725,814,572,28,11,12150,12829,1049,647,19,7,14551,19931,1330,669,15,7,21952,9890,518,209,4,4,10625,6639,319,129,7,3,7097,3418,141,118,14,5,3696,3966,272,139,5,10,4392,80419,5535,3106,132,57,89249
SOSR103,825,84,64,0,0,973,510,40,29,0,0,579,421,41,35,3,0,500,817,90,71,3,4,985,1204,102,93,3,0,1402,3115,342,307,8,0,3772,3751,414,379,6,0,4550,6119,566,347,6,0,7038,3527,209,128,3,0,3867,2582,131,112,3,3,2831,1137,61,68,0,0,1266,1205,77,52,4,0,1338,25213,2157,1685,39,7,29101
SOSR111,506,23,13,3,0,545,331,10,24,0,0,365,299,7,25,0,0,331,610,25,38,0,0,673,908,35,80,3,0,1026,2624,76,129,3,0,2832,3051,92,66,0,0,3209,3418,58,26,6,0,3508,1176,18,5,3,0,1202,759,7,3,0,0,769,340,8,5,7,0,360,691,19,20,0,0,730,14713,378,434,25,0,15550
SOSR112,1558,76,57,5,3,1699,1052,52,38,4,0,1146,1008,48,48,3,3,1110,2189,107,114,5,3,2418,2962,139,147,3,3,3254,8322,381,324,21,3,9051,9151,360,196,16,0,9723,9456,258,102,11,0,9827,3462,71,25,5,0,3563,1920,51,24,4,0,1999,938,42,25,12,3,1020,2025,83,40,8,0,2156,44043,1668,1140,97,18,46966
SOSR113,1357,71,43,6,3,1480,905,39,39,9,0,992,852,38,23,13,0,926,1741,83,67,4,0,1895,2144,82,71,3,3,2303,5630,242,145,9,3,6029,5204,258,117,6,0,5585,5417,254,98,7,3,5779,2133,96,40,6,3,2278,1447,64,31,3,3,1548,786,38,12,8,3,847,1575,68,36,3,0,1682,29191,1333,722,77,21,31344
SOSR114,1006,55,26,9,0,1096,696,25,16,6,0,743,699,24,17,3,0,743,1470,53,33,6,0,1562,2004,61,41,4,0,2110,4815,126,86,6,4,5037,4108,137,61,9,0,4315,4046,180,50,9,0,4285,1650,112,20,3,4,1789,1123,74,8,4,0,1209,445,30,14,8,5,502,1190,40,27,14,0,1271,23252,917,399,81,13,24662
SOSR115,1748,51,37,26,5,1867,1376,44,25,7,0,1452,1346,28,17,9,0,1400,2607,59,39,21,0,2726,3336,67,42,16,0,3461,7187,160,102,30,4,7483,6201,177,79,26,3,6486,6868,175,60,15,0,7118,3112,82,24,11,0,3229,2094,48,20,9,3,2174,995,15,16,16,5,1047,2120,49,36,15,4,2224,38990,955,497,201,24,40667
SOSR121,592,7,6,4,4,613,422,6,5,0,0,433,421,8,4,0,0,433,796,6,5,3,0,810,994,10,12,3,0,1019,2125,22,17,14,3,2181,1885,21,4,3,3,1916,2150,33,11,7,5,2206,1060,8,6,3,3,1080,861,7,7,3,0,878,463,0,0,10,3,476,705,11,5,3,0,724,12474,139,82,53,21,12769
SOSR122,351,0,3,6,3,363,382,4,0,4,0,390,346,0,0,3,0,349,560,4,0,3,0,567,573,6,3,5,3,590,1211,5,0,14,0,1230,957,7,5,5,0,974,981,5,3,3,3,995,444,3,0,3,0,450,380,0,0,0,3,383,235,3,4,3,0,245,418,4,0,6,0,428,6838,41,18,55,12,6964
