region_id,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOSR101,5148,104235,15212,124595,6561,119910,14016,140487,16987,264027,28927,309941,24513,241714,22238,288465,30328,209563,19177,259068,26538,161090,15148,202776,13389,97705,12295,123389,7087,52517,10043,69647,1919,16890,4483,23292,132470,1267651,141539,1541660,5933,99546,12300,117779,8941,119593,11142,139676,27727,266516,23841,318084,40621,240308,19566,300495,49180,201457,16500,267137,43332,153214,14283,210829,19575,98006,13053,130634,8308,66399,13924,88631,1677,35696,9102,46475,205294,1280735,133711,1619740,11081,203781,27512,242374,15502,239503,25158,280163,44714,530543,52768,628025,65134,482022,41804,588960,79508,411020,35677,526205,69870,314304,29431,413605,32964,195711,25348,254023,15395,118916,23967,158278,3596,52586,13585,69767,337764,2548386,275250,3161400
SOSR102,954,19975,2660,23589,1010,19385,1517,21912,2490,34528,2559,39577,4141,37352,2743,44236,5905,37312,2936,46153,6112,32379,2690,41181,3537,23417,2914,29868,1933,14102,3218,19253,595,4683,1465,6743,26677,223133,22702,272512,1060,19082,1993,22135,1403,18973,1212,21588,4228,34622,2057,40907,7091,37641,2337,47069,10103,36433,2552,49088,10454,30891,2471,43816,5026,24719,3496,33241,2266,18284,4691,25241,472,9271,2770,12513,42103,229916,23579,295598,2014,39057,4653,45724,2413,38358,2729,43500,6718,69150,4616,80484,11232,74993,5080,91305,16008,73745,5488,95241,16566,63270,5161,84997,8563,48136,6410,63109,4199,32386,7909,44494,1067,13954,4235,19256,68780,453049,46281,568110
SOSR103,396,7335,887,8618,491,7941,623,9055,1030,13260,983,15273,1654,13472,949,16075,2420,13258,988,16666,2245,10637,899,13781,1257,7570,930,9757,667,4467,1047,6181,158,1311,345,1814,10318,79251,7651,97220,451,7024,748,8223,598,7485,477,8560,1704,12686,716,15106,2837,13215,758,16810,3871,12330,804,17005,3516,9906,879,14301,1648,8067,1062,10777,725,5592,1426,7743,127,2573,543,3243,15477,78878,7413,101768,847,14359,1635,16841,1089,15426,1100,17615,2734,25946,1699,30379,4491,26687,1707,32885,6291,25588,1792,33671,5761,20543,1778,28082,2905,15637,1992,20534,1392,10059,2473,13924,285,3884,888,5057,25795,158129,15064,198988
SOSR111,173,3366,459,3998,193,3258,244,3695,461,6326,439,7226,688,6242,475,7405,899,5847,465,7211,905,5038,394,6337,480,3081,426,3987,249,1605,394,2248,42,488,138,668,4090,35251,3434,42775,164,3501,354,4019,267,3368,220,3855,801,6226,354,7381,1214,6313,404,7931,1622,5663,368,7653,1570,4734,387,6691,659,3246,503,4408,291,2205,557,3053,46,1181,246,1473,6634,36437,3393,46464,337,6867,813,8017,460,6626,464,7550,1262,12552,793,14607,1902,12555,879,15336,2521,11510,833,14864,2475,9772,781,13028,1139,6327,929,8395,540,3810,951,5301,88,1669,384,2141,10724,71688,6827,89239
SOSR112,571,11655,1691,13917,630,10902,1217,12749,1478,18901,2109,22488,2327,19596,1990,23913,3123,20005,1933,25061,3216,18237,1673,23126,1787,12704,1623,16114,979,7390,1577,9946,264,2299,625,3188,14375,121689,14438,150502,694,11339,1416,13449,907,11311,789,13007,2697,19741,1250,23688,4125,20097,1421,25643,5352,20535,1443,27330,5314,17653,1449,24416,2691,13691,1923,18305,1155,9871,2395,13421,230,5221,1291,6742,23165,129459,13377,166001,1265,22994,3107,27366,1537,22213,2006,25756,4175,38642,3359,46176,6452,39693,3411,49556,8475,40540,3376,52391,8530,35890,3122,47542,4478,26395,3546,34419,2134,17261,3972,23367,494,7520,1916,9930,37540,251148,27815,316503
SOSR113,415,8219,1299,9933,425,7361,832,8618,1080,12306,1438,14824,1706,13264,1435,16405,2449,14785,1459,18693,2620,14414,1406,18440,1620,11682,1592,14894,937,7049,1678,9664,246,2216,668,3130,11498,91296,11807,114601,540,8179,1117,9836,648,7360,629,8637,1926,12296,970,15192,2874,13619,1104,17597,4099,14700,1143,19942,4472,13928,1271,19671,2385,12241,1813,16439,1158,8776,2299,12233,219,4598,1259,6076,18321,95697,11605,125623,955,16398,2416,19769,1073,14721,1461,17255,3006,24602,2408,30016,4580,26883,2539,34002,6548,29485,2602,38635,7092,28342,2677,38111,4005,23923,3405,31333,2095,15825,3977,21897,465,6814,1927,9206,29819,186993,23412,240224
SOSR114,312,5837,961,7110,305,4721,489,5515,703,9103,904,10710,1158,10471,937,12566,1760,11102,972,13834,1834,10660,1009,13503,1202,9135,1214,11551,693,5176,1312,7181,163,1541,532,2236,8130,67746,8330,84206,395,5548,810,6753,463,4674,351,5488,1375,9392,726,11493,2232,10733,801,13766,2922,10743,767,14432,3179,10112,961,14252,1720,9425,1407,12552,840,6263,1812,8915,146,3150,1034,4330,13272,70040,8669,91981,707,11385,1771,13863,768,9395,840,11003,2078,18495,1630,22203,3390,21204,1738,26332,4682,21845,1739,28266,5013,20772,1970,27755,2922,18560,2621,24103,1533,11439,3124,16096,309,4691,1566,6566,21402,137786,16999,176187
SOSR115,519,9760,1508,11787,431,7427,868,8726,1151,13631,1346,16128,2145,16570,1672,20387,2914,18768,1724,23406,3455,19022,1758,24235,2045,14678,1970,18693,1064,8179,1952,11195,254,2462,714,3430,13978,110497,13512,137987,554,8809,1325,10688,636,7188,539,8363,2146,14154,924,17224,3536,17387,1239,22162,5273,18473,1365,25111,5478,17506,1472,24456,2809,14522,2060,19391,1245,9566,2532,13343,210,4855,1347,6412,21887,112460,12803,147150,1073,18569,2833,22475,1067,14615,1407,17089,3297,27785,2270,33352,5681,33957,2911,42549,8187,37241,3089,48517,8933,36528,3230,48691,4854,29200,4030,38084,2309,17745,4484,24538,464,7317,2061,9842,35865,222957,26315,285137
SOSR121,153,2889,435,3477,122,1923,158,2203,282,3421,259,3962,555,4913,345,5813,912,5797,438,7147,915,5699,436,7050,524,3957,502,4983,245,1911,414,2570,49,455,121,625,3757,30965,3108,37830,160,2633,369,3162,171,1714,157,2042,542,3651,196,4389,1008,5129,299,6436,1538,5453,374,7365,1503,4951,397,6851,680,3657,473,4810,257,1921,461,2639,36,765,201,1002,5895,29874,2927,38696,313,5522,804,6639,293,3637,315,4245,824,7072,455,8351,1563,10042,644,12249,2450,11250,812,14512,2418,10650,833,13901,1204,7614,975,9793,502,3832,875,5209,85,1220,322,1627,9652,60839,6035,76526
SOSR122,91,1465,215,1771,55,999,101,1155,180,1921,166,2267,358,2764,250,3372,544,3457,287,4288,581,3432,313,4326,376,2522,320,3218,135,1120,266,1521,26,243,82,351,2346,17923,2000,22269,114,1444,209,1767,87,914,77,1078,306,1929,161,2396,651,2773,210,3634,897,3120,235,4252,934,3013,262,4209,441,2143,320,2904,155,1015,284,1454,26,394,100,520,3611,16745,1858,22214,205,2909,424,3538,142,1913,178,2233,486,3850,327,4663,1009,5537,460,7006,1441,6577,522,8540,1515,6445,575,8535,817,4665,640,6122,290,2135,550,2975,52,637,182,871,5957,34668,3858,44483
