region_id,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOSR101,1926238,1982404,3908642,137968,130639,268607,246613,232024,478637,124595,117778,242373,140484,139677,280161,309941,318086,628027,288466,300496,588962,259067,267138,526205,202777,210828,413605,123390,130633,254023,69646,88631,158277,23292,46474,69766,1861418,1926032,3787450,64820,56372,121192,19719,20411,40130,841,803,1644,405,431,836,20965,21645,42610,1109944,1137794,2247738,697919,734222,1432141,1139463,1163249,2302712,674134,720688,1394822,1566305,1625789,3192094,30759,29246,60005,219710,207590,427300,95905,93914,189819,59256,62232,121488,70846,95043,165889,888207,921309,1809516,81704,79126,160830,277018,294306,571324,74489,83480,157969,66727,83025,149752,18026,26930,44956,1787062,1857484,3644546,134340,123013,257353
SOSR102,338760,358689,697449,22177,20957,43134,44073,42134,86207,23587,22136,45723,21913,21588,43501,39578,40907,80485,44237,47067,91304,46152,49089,95241,41180,43816,84996,29868,33241,63109,19252,25242,44494,6744,12512,19256,321217,343435,664652,17541,15255,32796,9494,9824,19318,350,330,680,301,286,587,10145,10440,20585,276764,293547,570311,44234,47400,91634,305042,323495,628537,18777,20960,39737,304921,324753,629674,5529,5307,10836,39826,38242,78068,16237,15945,32182,7111,7960,15071,8936,14818,23754,103731,112738,216469,19345,18222,37567,84818,91688,176506,26037,30136,56173,14820,16789,31609,1151,1114,2265,315713,335782,651495,19289,20183,39472
SOSR103,121305,124637,245942,7973,7668,15641,16115,15199,31314,8617,8224,16841,9054,8559,17613,15272,15107,30379,16074,16811,32885,16668,17005,33673,13781,14301,28082,9756,10777,20533,6183,7742,13925,1812,3244,5056,115860,119986,235846,5445,4652,10097,2819,2909,5728,97,100,197,42,44,86,2958,3053,6011,90053,92376,182429,25309,26659,51968,97620,100575,198195,18862,19706,38568,107006,110905,217911,2217,2163,4380,14648,13815,28463,6269,6274,12543,3839,3732,7571,3757,5202,8959,37588,39254,76842,6655,6137,12792,29675,30331,60006,8491,9687,18178,6615,7666,14281,684,992,1676,114043,117711,231754,5795,5865,11660
SOSR111,54835,57925,112760,4096,3923,8019,7968,7536,15504,3999,4018,8017,3695,3855,7550,7225,7382,14607,7405,7930,15335,7210,7654,14864,6337,6691,13028,3986,4408,8394,2247,3054,5301,667,1474,2141,52042,55357,107399,2793,2568,5361,1607,1744,3351,59,45,104,34,43,77,1700,1832,3532,47195,50237,97432,4833,5000,9833,50282,53319,103601,2198,2447,4645,50006,53232,103238,869,924,1793,7121,6804,13925,2662,2796,5458,956,1318,2274,1397,2317,3714,14238,16917,31155,3853,3939,7792,14305,14260,28565,4277,4755,9032,2585,2873,5458,155,152,307,51356,54486,105842,3254,3126,6380
SOSR112,191528,205003,396531,14199,13526,27725,26822,25477,52299,13918,13449,27367,12750,13006,25756,22488,23689,46177,23913,25642,49555,25062,27329,52391,23124,24418,47542,16116,18303,34419,9947,13421,23368,3189,6744,9933,180046,194952,374998,11479,10053,21532,10986,11551,22537,216,253,469,202,208,410,11404,12012,23416,161979,174443,336422,18468,19516,37984,173278,187959,361237,7484,8288,15772,171699,186826,358525,3287,3081,6368,23869,22721,46590,9157,9180,18337,3187,4252,7439,5252,9108,14360,52309,61507,113816,10950,11412,22362,47097,51367,98464,14971,16566,31537,9962,10305,20267,683,649,1332,173701,188941,362642,19991,17214,37205
SOSR113,143325,152841,296166,9525,9054,18579,19196,18162,37358,9936,9833,19769,8619,8637,17256,14823,15192,30015,16403,17599,34002,18695,19941,38636,18439,19671,38110,14894,16440,31334,9663,12234,21897,3129,6077,9206,134539,144679,279218,8785,8161,16946,7498,8020,15518,167,152,319,137,121,258,7802,8293,16095,119652,127977,247629,14849,15891,30740,128752,138597,267349,6476,7000,13476,128157,138153,266310,2313,2184,4497,16879,16033,32912,6374,6722,13096,2050,2497,4547,3102,5584,8686,35188,39920,75108,8390,8804,17194,37375,40642,78017,12699,14418,27117,8863,9248,18111,495,481,976,130257,139669,269926,13819,13085,26904
SOSR114,106719,113641,220360,7747,7379,15126,14764,14286,29050,7110,6752,13862,5516,5487,11003,10710,11492,22202,12566,13766,26332,13834,14431,28265,13504,14251,27755,11552,12552,24104,7180,8916,16096,2236,4330,6566,99875,107311,207186,6845,6330,13175,6131,6562,12693,147,163,310,96,107,203,6374,6832,13206,91325,97292,188617,8927,9743,18670,98402,105105,203507,2961,3381,6342,96889,103833,200722,1785,1745,3530,13036,12622,25658,4563,4527,9090,866,1211,2077,1934,4157,6091,23967,28685,52652,6392,6746,13138,28394,30231,58625,9607,10111,19718,7278,7062,14340,345,283,628,97724,104380,202104,9834,8918,18752
SOSR115,173436,180655,354091,11544,11022,22566,23898,22489,46387,11788,10688,22476,8727,8362,17089,16130,17222,33352,20387,22163,42550,23404,25112,48516,24235,24457,48692,18693,19390,38083,11198,13341,24539,3431,6409,9840,161955,170553,332508,11481,10101,21582,10113,10518,20631,222,204,426,156,159,315,10491,10881,21372,146529,152746,299275,16795,18022,34817,159135,166918,326053,5434,6101,11535,156941,165002,321943,2955,2812,5767,21208,19970,41178,7686,7464,15150,1749,2206,3955,3264,6756,10020,40116,48570,88686,10216,10710,20926,46604,47939,94543,15644,15877,31521,11538,10628,22166,572,452,1024,157955,166425,324380,16519,14764,31283
SOSR121,48015,48520,96535,3143,3051,6194,7051,6764,13815,3474,3164,6638,2205,2042,4247,3963,4389,8352,5813,6437,12250,7146,7365,14511,7049,6852,13901,4982,4812,9794,2567,2641,5208,622,1002,1624,44905,45840,90745,3112,2678,5790,2706,2810,5516,57,57,114,49,34,83,2812,2901,5713,41141,41673,82814,4437,4536,8973,44510,45087,89597,1579,1688,3267,44252,44916,89168,835,790,1625,6366,6087,12453,2352,2272,4624,462,518,980,801,1688,2489,10913,13100,24013,2781,2876,5657,13446,13135,26581,4418,4099,8517,3145,2519,5664,147,118,265,44510,45337,89847,2915,2568,5483
SOSR122,27899,27655,55554,1732,1690,3422,3897,3753,7650,1771,1767,3538,1153,1079,2232,2267,2395,4662,3373,3633,7006,4288,4251,8539,4328,4208,8536,3217,2906,6123,1521,1453,2974,352,519,871,25747,25888,51635,2153,1766,3919,1565,1660,3225,26,46,72,27,26,53,1618,1732,3350,23589,23454,47043,2689,2727,5416,25845,25603,51448,726,849,1575,25455,25328,50783,425,425,850,3496,3343,6839,1217,1297,2514,219,282,501,477,1028,1505,6291,7435,13726,1502,1613,3115,7783,7349,15132,2554,2410,4964,2008,1517,3525,115,75,190,25401,25507,50908,4440,3746,8186
