region_id,Bosnia_Herzegovina_Befre_1941,Bosnia_Herzegovina_1941_1950,Bosnia_Herzegovina_1951_1960,Bosnia_Herzegovina_1961_1970,Bosnia_Herzegovina_1971_1980,Bosnia_Herzegovina_1981_1990,Bosnia_Herzegovina_1991_2000,Bosnia_Herzegovina_2001_2005,Bosnia_Herzegovina_2006,Bosnia_Herzegovina_2007,Bosnia_Herzegovina_2008,Bosnia_Herzegovina_2009,Bosnia_Herzegovina_2010,Bosnia_Herzegovina_2011,Bosnia_Herzegovina_arrival_ns,Bosnia_Herzegovina_Tot,Cambodia_Before_1941,Cambodia_1941_1950,Cambodia_1951_1960,Cambodia_1961_1970,Cambodia_1971_1980,Cambodia_1981_1990,Cambodia_1991_2000,Cambodia_2001_2005,Cambodia_2006,Cambodia_2007,Cambodia_2008,Cambodia_2009,Cambodia_2010,Cambodia_2011,Cambodia_Yr_arrival_ns,Cambodia_Tot,Canada_Before_1941,Canada_1941_1950,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2005,Canada_2006,Canada_2007,Canada_2008,Canada_2009,Canada_2010,Canada_2011,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1941,China_exc_SARs_Taiwan_41_50,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_05,China_exc_SARs_Taiwan_2006,China_exc_SARs_Taiwan_2007,China_exc_SARs_Taiwan_2008,China_exc_SARs_Taiwan_2009,China_exc_SARs_Taiwan_2010,China_exc_SARs_Taiwan_2011,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1941,Croatia_1941_1950,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2005,Croatia_2006,Croatia_2007,Croatia_2008,Croatia_2009,Croatia_2010,Croatia_2011,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1941,Egypt_1941_1950,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2005,Egypt_2006,Egypt_2007,Egypt_2008,Egypt_2009,Egypt_2010,Egypt_2011,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1941,Fiji_1941_1950,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2005,Fiji_2006,Fiji_2007,Fiji_2008,Fiji_2009,Fiji_2010,Fiji_2011,Fiji_Yr_arrival_NS,Fiji_Tot,Frmr_Y_R_M_FYROM_Bef_1941,Frmr_Y_R_M_FYROM_1941_1950,Frmr_Y_R_M_FYROM_1951_1960,Frmr_Y_R_M_FYROM_1961_1970,Frmr_Y_R_M_FYROM_1971_1980,Frmr_Y_R_M_FYROM_1981_1990,Frmr_Y_R_M_FYROM_1991_2000,Frmr_Y_R_M_FYROM_2001_2005,Frmr_Yug_Rep_Mac_FYROM_2006,Frmr_Yug_Rep_Mac_FYROM_2007,Frmr_Yug_Rep_Mac_FYROM_2008,Frmr_Yug_Rep_Mac_FYROM_2009,Frmr_Yug_Rep_Mac_FYROM_2010,Frmr_Yug_Rep_Mac_FYROM_2011,Frmr_Y_R_M_FYROM_arrival_ns,Frmr_Yug_Rep_Mac_FYROM_Tot,Germany_Before_1941,Germany_1941_1950,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2005,Germany_2006,Germany_2007,Germany_2008,Germany_2009,Germany_2010,Germany_2011,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1941,Greece_1941_1950,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2005,Greece_2006,Greece_2007,Greece_2008,Greece_2009,Greece_2010,Greece_2011,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1941,Hng_Kng_SAR_China_1941_1950,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2005,Hong_Kong_SAR_China_2006,Hong_Kong_SAR_China_2007,Hong_Kong_SAR_China_2008,Hong_Kong_SAR_China_2009,Hong_Kong_SAR_China_2010,Hong_Kong_SAR_China_2011,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1941,India_1941_1950,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2005,India_2006,India_2007,India_2008,India_2009,India_2010,India_2011,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1941,Indonesia_1941_1950,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2005
SOSR101,0,17,51,643,373,411,4368,576,42,23,43,34,20,20,106,6727,0,0,0,21,989,4626,2596,795,223,212,200,297,169,87,459,10674,24,57,134,572,1072,1089,1480,1147,263,304,358,394,471,307,273,7945,126,559,1572,1665,3495,26229,36439,28038,6430,7925,9009,8636,7523,3048,6159,146853,32,118,1431,5993,1867,787,2595,700,40,17,29,24,29,18,423,14103,21,592,1569,3487,2149,2834,2533,1125,323,393,389,322,309,140,602,16788,44,42,172,453,2126,9045,8727,4141,751,739,710,657,540,355,1095,29597,8,12,235,3648,3334,1571,1270,467,80,84,63,78,65,19,388,11322,221,2349,3301,2072,1352,1562,1608,1467,405,466,468,413,547,343,631,17205,136,531,6861,14158,3072,881,547,209,38,40,65,69,61,57,1468,28193,55,87,354,951,3944,11342,12321,2988,630,732,721,807,632,290,950,36804,23,276,269,1956,2876,6253,16231,17375,6702,8500,9542,6557,4800,2836,2571,86767,6,110,285,339,1721,4004,7074,4118
SOSR102,0,0,8,56,24,20,163,9,3,0,3,7,0,0,11,304,0,0,0,5,20,29,38,17,3,3,0,6,0,0,10,131,10,11,27,128,147,152,232,143,33,44,42,56,46,31,38,1140,6,47,77,74,97,275,343,364,115,152,190,217,254,94,134,2439,3,17,122,383,111,36,56,19,0,0,5,5,0,0,33,790,0,40,116,145,62,35,42,22,3,14,14,3,15,10,24,545,7,11,21,50,101,193,157,70,20,24,11,16,21,12,29,743,9,8,128,568,338,230,125,34,7,11,8,8,7,8,72,1561,9,713,980,346,181,212,131,110,34,29,42,29,25,12,118,2971,12,51,345,404,87,30,17,11,0,0,0,0,0,3,50,1010,12,4,10,34,96,145,104,50,7,11,9,14,11,15,35,557,0,52,59,143,180,151,291,338,147,233,287,233,135,68,82,2399,4,21,56,33,44,103,112,89
SOSR103,0,3,4,50,36,9,260,28,0,4,0,0,0,0,12,406,0,0,0,0,15,13,13,6,0,0,5,0,0,4,0,56,0,3,9,23,58,37,64,47,10,16,26,29,20,32,17,391,5,3,21,12,32,96,202,286,89,165,317,561,527,182,126,2624,4,5,220,437,98,35,251,123,4,0,0,4,4,0,16,1201,0,8,40,29,27,11,20,14,0,0,5,8,3,5,7,177,0,0,7,16,32,55,50,20,9,0,12,3,3,6,11,224,0,7,113,1553,1459,322,210,72,18,19,13,8,7,4,171,3976,6,245,900,281,94,82,70,25,8,7,5,5,5,7,61,1801,0,14,347,435,103,24,13,4,0,0,0,0,3,0,44,987,0,0,4,11,30,46,42,22,13,11,5,11,16,8,11,230,3,9,12,66,88,49,90,112,41,84,102,123,47,33,31,890,0,3,10,11,16,20,50,55
SOSR111,0,3,3,7,3,0,6,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,0,3,4,9,13,10,23,18,3,3,3,0,4,5,4,102,0,4,0,10,14,33,35,41,27,20,13,14,5,14,5,235,0,5,6,43,13,0,0,0,0,0,0,0,0,0,0,67,0,4,9,6,9,0,3,0,6,4,0,3,3,3,0,50,0,0,0,6,3,16,14,6,0,3,4,3,3,0,3,61,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,157,237,69,20,20,11,10,0,3,0,5,6,3,21,562,0,6,31,17,7,7,0,3,0,0,0,0,3,0,7,81,0,0,0,4,12,23,13,3,0,0,4,0,0,0,3,62,0,7,5,7,22,23,39,80,77,86,78,72,30,17,23,566,0,0,6,0,0,4,12,10
SOSR112,0,0,5,11,0,0,18,0,0,0,3,0,0,0,0,37,0,0,0,0,3,20,9,9,3,3,5,4,0,0,4,60,0,3,10,45,77,78,85,65,7,11,9,18,21,10,19,458,0,23,44,38,49,118,137,150,52,68,56,147,138,50,56,1126,0,14,37,108,13,8,9,5,0,0,0,0,0,0,8,202,0,13,38,34,4,9,46,49,9,6,9,12,10,0,22,261,3,8,11,23,32,86,76,54,8,17,14,13,10,4,21,380,0,0,0,16,8,3,5,0,0,0,0,0,0,0,7,39,3,212,482,203,109,139,90,45,8,13,9,16,7,12,57,1405,4,14,64,76,24,4,8,3,0,5,0,0,0,0,12,214,4,7,5,29,48,69,39,31,5,0,6,4,7,4,15,273,6,28,18,54,71,66,134,179,128,115,110,114,80,74,40,1217,0,15,31,11,14,17,44,28
SOSR113,0,0,3,7,0,3,21,3,0,0,0,0,0,0,3,40,0,0,0,0,0,15,20,3,0,0,3,0,3,0,4,48,7,6,16,44,43,41,55,51,10,16,7,7,9,4,8,324,4,6,22,14,27,87,77,102,24,48,51,31,78,63,57,691,0,5,50,109,16,7,13,3,0,0,0,0,0,0,8,211,0,19,34,18,8,11,0,3,3,3,11,3,8,0,3,124,10,7,11,20,32,74,57,34,6,9,9,29,26,12,27,363,0,0,0,21,15,0,5,0,0,3,0,0,3,0,5,52,3,194,420,153,68,79,54,37,8,6,12,12,13,4,40,1103,3,4,71,79,21,0,3,0,4,0,0,0,0,0,15,200,4,0,3,18,25,32,30,20,3,0,3,14,9,0,18,179,5,38,8,46,47,38,193,191,80,92,196,166,81,47,49,1277,0,14,16,10,6,14,26,26
SOSR114,0,4,3,8,3,0,4,0,0,0,0,0,0,0,0,22,0,0,0,0,6,11,5,3,0,0,0,3,0,0,0,28,3,5,6,31,36,30,49,30,17,7,9,6,6,3,12,250,3,12,17,14,18,51,70,59,14,23,16,18,15,12,24,366,0,4,21,63,18,3,10,3,0,0,0,0,0,0,0,122,0,8,20,8,5,3,7,0,0,0,6,0,3,3,0,63,3,6,8,11,24,29,22,17,0,0,8,9,10,3,10,160,0,0,0,11,5,5,0,0,0,0,3,0,0,0,0,24,3,144,298,131,38,56,38,14,3,3,3,5,4,4,35,779,3,4,27,53,17,3,3,0,0,0,0,0,3,0,12,125,3,0,5,11,17,19,11,3,0,0,3,3,6,4,0,85,3,15,15,40,35,28,36,36,7,29,31,48,22,10,21,376,0,6,16,7,9,12,9,7
SOSR115,0,0,0,9,12,6,15,4,0,0,0,0,0,0,0,46,0,0,0,0,0,0,8,12,5,5,0,0,4,0,3,37,4,4,17,64,67,61,61,51,16,5,13,21,15,12,20,431,3,20,20,17,26,85,103,68,19,27,15,19,16,17,27,482,0,5,55,147,42,7,22,0,0,0,0,0,0,0,13,291,3,15,44,29,9,7,9,15,3,0,0,3,3,3,3,146,3,3,16,15,39,56,37,16,4,11,4,16,6,5,22,253,0,0,4,15,18,3,0,0,5,0,0,0,0,0,0,45,3,273,601,254,113,172,93,72,10,12,21,11,15,0,56,1706,5,4,67,92,29,5,11,3,0,0,0,0,0,0,5,221,4,5,3,15,30,20,18,3,0,3,3,3,3,0,9,119,6,42,35,100,78,80,74,72,16,54,80,111,23,17,64,852,3,10,16,20,19,22,24,14
SOSR121,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,3,0,0,9,28,6,20,17,7,4,3,3,6,3,3,112,0,5,13,4,7,18,26,7,7,0,3,4,4,3,21,122,0,5,19,44,13,0,0,0,0,0,0,0,0,0,0,81,0,4,8,10,0,3,4,5,0,5,0,9,0,0,0,48,3,0,5,4,5,13,21,9,0,0,4,0,0,0,0,64,0,0,6,10,8,3,0,0,0,0,0,0,0,0,0,27,3,68,164,75,19,37,18,6,3,0,3,0,9,0,12,417,0,4,17,22,5,0,5,0,0,0,0,0,0,6,0,59,0,6,0,7,4,3,3,0,0,0,0,0,0,0,0,23,0,3,3,13,7,14,16,10,3,3,16,14,12,6,8,128,0,4,7,5,5,3,10,0
SOSR122,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,10,0,3,0,9,15,16,17,17,5,0,0,3,0,0,0,85,3,0,7,4,3,8,9,5,6,0,3,4,0,0,4,56,0,3,9,15,3,3,0,0,0,0,0,0,0,0,0,33,0,3,4,3,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,3,3,12,0,0,5,0,0,3,0,0,26,0,3,0,3,3,0,0,0,0,0,0,0,0,0,3,12,0,40,102,55,24,38,10,9,4,0,4,0,0,0,9,295,0,3,15,20,3,0,0,0,0,0,0,0,0,0,4,45,3,0,0,6,0,0,6,0,0,0,0,0,3,0,3,21,0,4,3,12,12,3,12,10,7,0,0,3,4,0,0,70,0,0,5,3,4,7,5,6
