region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly_,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
SOSR101,35,2191,634,369,1728,1.2,1493,2.7
SOSR102,40,1800,527,275,1370,1.1,1071,2.5
SOSR103,38,1926,481,250,1381,1.1,1086,2.6
SOSR111,36,1600,552,220,1431,1.1,1133,2.5
SOSR112,38,1517,513,225,1230,1.1,967,2.4
SOSR113,42,1500,459,220,1106,1.1,879,2.4
SOSR114,42,1430,463,200,1076,1.1,855,2.4
SOSR115,43,1456,456,200,1081,1.1,868,2.4
SOSR121,42,1517,480,200,1188,1.1,967,2.6
SOSR122,44,1300,442,170,1071,1.1,866,2.4
SOSR131,43,1647,513,150,1294,1.1,1089,2.7
SOSR179,63,438,476,870,0,0,0,0
SOSR199,37,0,349,0,0,0,0,0
