POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA2000,380,154,60,31,43,34,33,723,24,8,6,0,8,3,0,50,61,16,15,4,3,3,3,97,70,19,7,7,15,19,12,145,7,0,3,0,0,0,0,9,532,190,88,46,64,57,53,1022,39,34,27,22,34,37,25,221,3,0,0,3,3,3,5,15,6,5,3,0,4,3,4,28,8,6,3,4,10,4,3,30,0,3,3,0,0,0,0,5,52,46,41,25,46,49,39,300,584,238,127,66,112,106,88,1321
POA2006,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,10
POA2007,102,45,17,15,25,21,5,226,12,4,0,0,0,0,0,16,18,10,7,3,0,3,0,37,22,8,8,0,0,0,0,34,0,0,0,0,0,0,0,0,146,65,26,18,23,25,11,315,9,7,4,0,13,8,10,54,0,3,0,0,0,0,0,7,8,0,0,0,3,0,0,16,8,6,0,4,0,0,0,21,0,0,0,0,0,0,0,4,20,21,12,6,15,10,12,101,169,86,38,23,42,36,22,415
POA2008,81,22,11,3,7,9,0,136,14,8,3,0,0,0,0,34,22,10,10,8,0,3,0,50,51,31,20,6,3,0,0,115,0,0,0,0,0,0,0,0,169,67,41,17,21,16,0,335,7,8,3,5,12,14,8,59,0,3,5,3,0,0,0,9,0,0,3,0,0,0,0,11,8,3,0,0,0,0,0,15,3,0,0,0,0,0,0,6,12,23,12,4,16,17,14,99,180,92,57,24,37,28,15,432
POA2009,259,135,53,28,36,23,21,553,37,21,5,6,4,0,0,67,96,40,19,8,7,9,3,171,116,46,14,8,10,8,0,195,5,0,0,0,0,0,0,4,505,240,82,48,53,39,22,992,14,15,14,11,23,19,3,111,7,15,7,3,0,3,0,38,3,8,0,3,9,4,0,25,22,30,30,10,10,0,0,104,8,3,0,0,0,0,0,11,51,67,55,26,41,30,6,282,554,309,140,79,94,75,33,1280
POA2010,168,88,28,14,31,21,10,371,81,44,13,6,8,10,6,161,75,40,11,5,12,3,4,154,200,111,45,32,37,11,12,448,0,3,0,0,0,0,0,3,526,285,96,58,92,49,35,1145,8,16,11,10,18,4,6,71,10,3,6,3,6,4,0,41,7,11,3,0,6,0,3,38,13,33,12,6,17,7,3,96,3,0,0,0,0,0,0,4,45,72,30,18,45,26,12,247,569,355,133,80,140,70,46,1392
POA2011,93,33,15,4,9,3,11,170,48,21,10,5,3,9,3,98,49,11,4,3,3,6,0,81,112,49,15,6,16,4,10,212,3,0,0,0,0,0,0,3,299,119,50,25,24,23,24,563,8,7,4,7,12,6,3,56,7,7,5,6,3,0,3,35,3,3,0,3,4,6,0,22,18,31,18,12,13,6,3,94,3,3,0,3,0,0,0,12,40,55,29,26,36,15,12,223,339,174,80,55,65,40,33,786
POA2015,130,75,29,16,19,28,12,302,64,34,16,10,18,5,0,149,83,42,12,3,4,0,0,146,170,114,32,21,23,15,5,374,6,0,0,0,0,0,0,9,449,262,87,51,67,43,15,974,8,11,11,6,8,12,3,59,15,11,7,6,4,0,0,52,5,3,3,0,0,3,0,15,17,25,8,7,14,3,0,86,0,3,0,0,0,0,0,3,48,52,33,27,32,16,3,214,498,312,123,77,95,61,26,1190
POA2016,99,55,18,16,16,14,5,228,64,40,12,3,3,3,0,139,62,26,11,7,5,3,3,116,133,72,38,20,20,12,3,299,0,0,0,0,0,0,0,0,365,194,78,54,47,33,8,779,6,14,5,10,8,4,4,54,6,6,6,3,4,6,0,36,7,9,0,3,0,0,0,21,17,15,6,5,3,9,5,59,10,7,0,0,0,0,0,12,48,49,25,22,18,24,15,183,409,242,107,70,59,54,24,967
POA2017,489,169,52,17,39,32,15,809,73,30,9,6,5,0,0,127,85,19,8,3,0,3,0,123,154,65,21,11,6,9,0,273,4,3,3,0,0,0,0,11,809,287,92,39,51,44,18,1344,29,45,22,30,41,42,26,240,15,18,7,10,3,7,7,67,6,4,8,3,9,0,0,39,49,61,32,24,28,10,3,200,7,5,3,3,0,0,0,22,109,128,78,69,81,57,38,557,915,418,169,112,132,96,59,1902
