POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA2556,..,81,81,179,12,184,103,0,103,131,0,136,98,0,98,82,0,82,599,96,693
POA2557,..,255,255,721,33,754,459,4,465,514,0,510,304,0,307,209,0,216,2210,298,2504
POA2558,..,474,474,880,51,926,748,7,753,714,4,714,367,0,363,233,0,233,2936,529,3462
POA2559,..,114,114,161,22,180,135,0,135,108,0,108,88,0,83,102,0,102,591,129,725
POA2560,..,4950,4950,7053,501,7557,4378,73,4450,4205,34,4243,2132,11,2141,1640,3,1642,19404,5573,24979
POA2563,..,12,12,34,0,32,13,0,13,17,0,17,6,0,6,6,0,6,80,9,93
POA2564,..,938,938,1038,106,1146,834,9,848,844,3,844,362,0,368,317,0,317,3405,1059,4463
POA2565,..,1203,1203,1683,104,1781,1188,14,1206,1213,10,1217,584,4,587,394,3,401,5057,1338,6398
POA2566,..,1200,1200,2035,116,2151,1554,23,1571,1775,8,1779,816,0,822,571,3,575,6748,1351,8100
POA2567,..,1277,1277,2830,125,2951,2224,25,2250,3007,6,3015,1393,0,1399,682,3,684,10144,1439,11581
POA2568,..,69,69,131,4,138,48,0,48,62,0,62,38,0,38,18,0,18,289,77,363
POA2569,..,57,57,143,4,148,71,0,78,76,0,76,43,0,43,27,0,23,364,64,429
POA2570,..,2023,2023,3651,160,3811,2256,25,2287,2600,4,2608,1315,8,1324,657,0,655,10479,2224,12703
POA2571,..,513,513,1088,36,1127,634,8,638,816,0,815,409,0,409,203,0,203,3149,555,3701
POA2572,..,271,271,448,20,466,224,4,228,250,0,250,147,0,147,77,0,77,1141,297,1434
POA2573,..,357,357,511,32,540,297,4,304,294,0,293,133,0,133,93,0,93,1317,394,1713
POA2574,..,337,337,571,29,604,286,0,286,323,0,324,179,0,179,133,0,133,1486,371,1857
POA2575,..,1299,1299,1801,111,1909,821,12,835,803,3,805,386,3,384,213,0,213,4014,1424,5436
POA2576,..,1415,1415,2086,76,2161,591,3,590,606,3,610,293,4,293,123,0,119,3687,1509,5196
POA2577,..,1509,1509,2084,118,2199,706,17,720,707,9,716,360,0,360,158,0,161,4024,1649,5670
POA2578,..,337,337,466,14,474,109,0,106,104,0,104,49,0,49,23,0,23,741,346,1090
POA2579,..,370,370,583,29,614,198,0,198,167,0,167,95,0,95,64,0,64,1105,406,1510
POA2580,..,3187,3187,3588,221,3811,1503,32,1533,1322,5,1322,619,8,623,320,7,325,7348,3446,10797
POA2581,..,188,188,263,12,275,106,0,106,118,0,118,54,0,54,23,0,23,565,205,765
POA2582,..,906,906,1481,79,1566,611,12,623,724,0,729,346,0,344,139,0,139,3309,998,4310
POA2583,..,526,526,644,18,662,199,0,202,181,0,181,89,0,89,44,0,44,1153,544,1698
POA2584,..,63,63,77,3,79,29,0,29,23,0,23,14,0,14,5,0,5,148,68,216
POA2585,..,35,35,25,0,28,4,0,4,13,0,13,8,0,8,0,0,0,53,40,94
POA2586,..,339,339,393,26,417,110,0,115,101,0,101,62,0,62,18,0,18,695,359,1053
POA2587,..,358,358,455,28,476,111,0,114,122,0,122,60,0,60,38,0,38,774,386,1160
POA2588,..,21,21,42,0,46,16,0,16,10,0,10,11,0,11,0,0,0,78,24,99
POA2590,..,907,907,1091,53,1147,307,5,317,275,0,281,152,0,154,58,0,58,1887,970,2854
POA2594,..,1269,1269,1433,101,1532,587,11,596,510,3,515,286,0,286,150,0,150,2962,1388,4348
POA2619,..,388,388,813,22,839,537,8,550,791,0,791,350,0,350,104,0,104,2594,421,3019
POA2620,..,4218,4218,4167,332,4496,2193,45,2237,2054,10,2063,926,3,928,382,3,382,9726,4610,14338
POA2621,..,264,264,672,21,686,338,4,344,413,0,413,171,0,171,64,0,64,1653,288,1946
POA2622,..,436,436,557,29,585,174,0,180,157,0,157,68,0,68,34,0,34,987,463,1451
POA2623,..,79,79,77,7,77,30,0,33,26,0,26,13,0,13,8,0,8,151,84,237
POA2625,..,59,59,32,3,38,4,0,3,12,0,12,0,0,0,0,0,0,50,65,115
POA2626,..,29,29,62,0,62,19,3,22,29,0,29,16,0,16,8,0,8,124,32,154
POA2627,..,379,379,472,63,536,199,26,222,254,10,260,86,7,94,15,4,26,1029,493,1521
POA2628,..,212,212,249,20,267,107,0,107,90,0,90,41,0,41,12,0,12,502,231,731
POA2629,..,77,77,101,3,103,12,0,12,15,0,15,4,0,4,4,0,4,136,80,212
POA2630,..,1114,1114,1205,81,1283,437,6,448,346,3,353,154,0,154,70,0,70,2210,1207,3412
POA2631,..,72,72,90,3,93,21,0,21,27,0,27,7,0,7,8,0,8,151,77,230
POA2632,..,229,229,255,14,269,96,4,97,75,0,75,36,0,36,18,0,18,475,244,718
POA2633,..,70,70,53,7,60,16,0,16,18,0,18,6,0,6,0,0,0,89,79,167
POA2640,..,3949,3949,4281,407,4687,1827,111,1943,1867,41,1907,767,12,776,280,4,288,9016,4522,13540
POA2641,..,2105,2105,1899,204,2103,799,17,818,644,4,651,273,4,273,133,0,133,3750,2328,6082
POA2642,..,333,333,592,25,618,221,3,224,242,0,242,138,0,138,69,0,69,1265,356,1616
POA2643,..,295,295,408,18,424,124,3,130,128,0,129,54,0,55,23,0,25,732,321,1046
POA2644,..,277,277,339,13,353,92,0,90,111,0,111,51,0,51,32,0,32,624,290,913
POA2645,..,52,52,45,3,54,19,0,19,14,0,14,7,0,7,3,0,3,87,51,143
POA2646,..,846,846,1007,56,1057,315,5,324,276,0,277,141,0,141,47,0,47,1780,908,2694
