POA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2000,6,39,131,84,38,19,7,0,0,325,29,167,451,174,77,50,21,10,3,965,266,2291,7066,2906,1321,867,326,65,12,15127
POA2006,9,8,0,0,0,0,0,0,0,24,8,5,4,0,0,0,0,0,0,22,247,284,22,7,11,9,4,0,0,580
POA2007,0,11,44,25,11,4,0,0,0,91,7,50,97,37,22,12,0,0,0,215,122,663,1684,690,307,167,52,3,0,3694
POA2008,0,26,61,33,17,6,3,0,0,150,8,51,121,50,15,11,0,0,0,253,157,963,2560,871,474,251,67,5,0,5347
POA2009,4,13,68,55,28,17,4,0,0,184,0,54,154,78,31,32,18,0,0,363,85,724,3160,1847,971,711,267,30,8,7799
POA2010,3,30,181,123,69,40,10,0,0,451,6,64,316,166,103,47,21,8,0,730,109,1415,7672,4041,2346,1313,353,47,3,17296
POA2011,0,15,135,69,51,37,6,6,0,320,3,40,182,110,69,44,21,0,0,475,121,917,5002,2720,1690,1252,450,74,17,12233
POA2015,0,11,82,52,37,18,3,0,0,203,3,20,135,58,44,16,11,3,0,285,66,527,2777,1693,988,516,99,15,0,6680
POA2016,6,27,75,50,35,29,11,0,0,235,0,28,130,66,43,14,15,0,0,295,65,682,3240,1619,1112,620,142,15,0,7492
POA2017,0,27,175,76,46,16,5,0,0,353,7,47,307,106,59,28,12,3,0,573,142,1286,6356,2641,1178,562,162,22,0,12344
POA2018,11,20,83,80,61,45,9,0,0,298,11,38,134,94,71,42,19,0,0,410,254,775,2573,1876,1456,856,257,14,3,8064
POA2019,7,26,49,71,46,26,12,3,0,245,7,24,64,61,58,26,13,0,0,249,182,508,1272,1551,1270,683,151,16,0,5644
POA2020,6,15,88,50,56,35,13,0,0,265,4,35,147,70,54,38,11,0,0,366,235,860,3163,1886,1188,723,135,11,0,8209
POA2021,10,14,86,39,46,32,10,4,0,228,3,28,109,94,50,36,25,4,0,346,122,718,3160,2150,1505,935,432,53,3,9077
POA2022,5,13,68,52,33,22,3,0,0,198,5,16,105,72,36,29,14,4,0,288,120,504,2170,1624,1116,709,263,52,5,6566
POA2023,3,14,41,31,30,19,12,0,0,145,6,11,77,48,60,36,36,9,0,281,105,401,1390,1206,1066,769,446,73,11,5466
POA2024,5,14,47,32,38,22,5,0,0,162,4,14,65,63,47,21,11,3,0,225,140,344,1515,1498,1249,682,235,30,3,5699
POA2025,0,11,23,24,26,7,6,0,0,100,0,12,58,35,30,28,17,3,0,190,50,252,1087,854,701,510,285,69,4,3822
POA2026,8,59,207,119,73,50,23,3,0,539,23,63,440,242,156,71,26,9,0,1024,276,1255,7575,4772,2766,1456,533,63,9,18701
POA2027,5,11,28,22,22,16,4,0,3,104,0,10,51,40,40,41,33,11,3,224,52,222,1203,814,652,621,405,112,21,4105
POA2028,0,3,17,15,14,8,3,0,0,61,0,12,52,25,16,20,10,3,3,140,43,178,904,489,316,337,212,51,12,2540
POA2029,4,14,48,35,25,18,10,0,0,154,3,10,58,72,44,25,27,5,4,241,108,337,1280,1362,931,597,355,67,18,5052
POA2030,14,16,44,48,36,20,15,6,0,194,19,27,57,74,91,63,25,5,0,358,183,534,986,1452,1616,1136,537,109,21,6581
POA2031,16,48,192,123,93,58,23,3,0,551,17,57,212,159,129,83,29,6,0,696,409,1455,6241,4877,3437,2079,616,69,11,19196
POA2032,9,24,51,53,39,30,10,0,0,216,7,44,102,60,52,22,18,0,0,297,200,948,1858,1398,1212,770,191,29,0,6610
POA2033,3,16,55,33,18,19,5,0,0,147,3,27,68,32,31,18,8,6,0,194,127,725,1923,1243,904,515,189,39,3,5665
POA2034,14,19,99,81,50,32,16,0,0,304,12,42,153,107,91,44,14,3,0,461,280,846,3828,2926,2052,1165,365,37,6,11511
POA2035,13,40,143,128,111,71,19,3,0,537,16,60,184,160,138,95,31,7,3,703,496,1468,4021,4044,3435,2115,540,71,13,16200
POA2036,22,45,108,113,99,84,34,4,3,510,22,49,137,129,150,66,20,4,0,587,547,1158,2789,3032,3083,2016,571,44,3,13242
POA2037,6,29,86,53,18,31,9,0,0,239,8,47,134,69,67,32,3,4,0,366,206,1066,3049,1740,1238,903,299,29,0,8529
POA2038,3,20,34,32,23,22,5,0,0,138,0,19,60,50,48,29,3,0,0,207,109,440,1393,1476,1086,639,196,11,3,5363
POA2039,0,13,31,39,31,24,6,0,0,149,7,10,44,62,44,18,3,0,0,185,88,281,1296,1510,1017,655,196,21,0,5059
