POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA2000,11,42,115,35,23,40,36,15,17,325,7,43,121,48,19,24,10,6,3,274,139,728,1650,687,428,294,204,73,32,4240,861,4745,10622,4132,2143,1672,1109,428,158,25866
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,79,8,3,3,0,0,0,0,146,550,582,56,16,12,12,6,3,0,1234
POA2007,5,25,21,11,5,24,21,25,12,151,0,4,31,5,11,8,11,3,9,84,63,284,391,145,71,41,39,17,4,1063,643,2721,2841,993,479,333,219,113,42,8390
POA2008,0,19,25,6,8,23,7,11,4,91,0,4,26,11,3,4,0,8,0,54,99,369,506,136,88,68,51,15,8,1338,899,3599,4015,1175,680,473,262,74,20,11201
POA2009,3,8,16,16,16,28,21,20,10,148,0,13,15,8,6,4,12,6,3,72,28,126,394,215,163,164,89,50,15,1236,170,1141,4084,2346,1371,1218,808,279,62,11489
POA2010,0,14,37,27,33,61,83,81,64,398,0,24,36,26,17,13,31,42,13,210,78,324,1390,840,563,411,263,140,60,4062,295,2151,9919,5413,3522,2433,1446,726,292,26193
POA2011,4,4,21,15,27,40,34,32,20,205,0,3,4,6,13,16,7,6,3,54,173,779,1641,667,480,359,241,180,197,4709,330,1895,7026,3736,2586,2151,1460,690,428,20297
POA2015,0,0,0,10,8,21,25,23,14,99,0,0,8,4,9,11,7,8,3,54,19,74,282,175,109,61,32,22,7,778,112,748,3290,2046,1236,737,351,139,36,8687
POA2016,0,5,19,24,34,68,89,77,33,343,0,0,10,3,9,18,38,45,20,140,37,126,429,257,204,194,146,118,46,1557,200,1170,4066,2171,1707,1305,856,572,177,12212
POA2017,11,27,31,26,44,100,125,75,19,459,0,5,18,9,12,33,27,31,17,154,152,354,890,381,263,291,224,156,48,2767,1299,3828,8554,3471,1957,1543,1171,630,151,22610
POA2018,3,10,25,31,69,142,244,242,112,871,0,7,17,21,32,39,65,98,30,299,54,119,340,151,138,121,120,110,34,1184,548,1583,3497,2439,2025,1522,1237,839,274,13963
POA2019,0,0,5,7,22,52,84,83,27,284,0,3,5,5,7,3,9,9,9,48,23,73,159,113,90,80,84,96,94,803,248,694,1618,1857,1543,1040,699,414,184,8288
POA2020,6,3,18,15,24,83,141,131,54,480,3,3,14,14,13,27,35,48,19,164,50,91,303,163,103,96,55,48,21,923,523,1553,4060,2316,1521,1188,694,461,139,12456
POA2021,0,4,6,0,3,14,24,40,27,119,0,0,3,0,0,3,6,10,3,26,27,134,405,289,209,127,140,70,43,1436,164,1009,3820,2693,1979,1406,1218,546,200,13032
POA2022,0,6,6,3,4,9,25,50,41,146,0,0,3,5,0,3,5,13,4,31,42,99,404,249,176,144,134,139,71,1455,194,782,2821,2097,1478,1143,926,650,305,10399
POA2023,0,0,4,3,0,3,9,9,13,52,0,0,3,3,0,0,0,0,0,15,41,50,170,129,119,96,89,52,27,770,196,623,1726,1553,1440,1158,994,429,194,8300
POA2024,3,0,3,7,3,4,31,47,43,139,3,0,3,0,0,3,4,13,6,31,27,40,173,164,138,109,99,116,184,1043,182,466,1835,1883,1599,1022,777,512,445,8717
POA2025,0,0,0,0,0,5,5,3,29,46,0,0,4,5,0,4,0,8,0,12,16,47,101,99,89,87,126,107,70,732,92,367,1288,1093,919,791,825,499,281,6156
POA2026,3,7,29,18,15,39,55,105,71,327,0,0,9,14,8,5,10,9,10,69,84,244,1373,700,418,266,249,202,126,3666,402,1890,9673,6060,3669,2322,1758,1005,483,27262
POA2027,0,0,0,0,4,5,9,8,7,42,0,0,3,5,3,0,3,3,0,13,36,40,212,121,126,137,152,115,87,1033,107,325,1498,1059,944,1020,1106,633,412,7105
POA2028,0,0,0,0,3,0,6,16,6,33,0,0,0,0,0,3,0,0,0,8,9,24,115,76,50,45,60,56,32,460,62,246,1078,643,469,502,522,321,171,4014
POA2029,0,0,0,3,3,9,10,23,26,82,0,0,0,0,0,3,0,3,0,9,32,43,150,117,93,67,88,69,63,719,153,495,1583,1678,1226,925,933,525,303,7825
POA2030,0,0,0,9,4,16,23,26,35,101,3,0,3,4,0,3,3,3,0,18,35,56,98,100,134,118,101,71,57,763,319,810,1248,1866,2159,1701,1246,633,373,10363
POA2031,0,11,3,9,13,53,103,148,128,472,0,3,8,13,12,9,14,28,18,106,104,309,683,419,319,249,237,217,242,2782,622,2625,7707,5962,4250,3102,2139,1207,847,28467
POA2032,7,21,17,20,26,55,123,200,83,552,3,5,7,0,12,12,24,42,23,136,62,212,230,98,101,106,119,85,49,1053,954,3536,3239,1795,1614,1285,991,707,316,14440
POA2033,0,6,8,8,5,25,44,70,47,210,0,4,6,5,3,9,10,29,18,92,31,127,235,127,81,77,78,62,35,857,550,1713,2642,1576,1179,830,686,475,240,9888
POA2034,0,4,6,8,15,41,60,72,44,260,0,0,3,3,8,9,10,17,5,56,77,147,480,349,277,223,196,121,68,1943,347,1227,4659,3632,2691,1958,1379,737,353,16991
POA2035,3,3,21,25,60,130,280,345,193,1058,0,0,17,15,20,31,42,79,57,262,85,207,390,357,263,283,292,234,148,2240,912,2795,5372,5109,4384,3580,2763,1903,952,27779
POA2036,8,9,22,44,82,169,242,238,123,937,3,0,5,17,33,52,51,52,30,248,123,309,761,765,594,447,444,292,219,3954,811,1987,4158,4447,4378,3490,2795,1487,707,24263
POA2037,4,13,13,18,26,57,73,54,32,282,0,0,8,4,10,23,15,27,10,93,75,208,405,247,215,204,178,92,63,1681,430,2008,4067,2323,1824,1705,1248,487,188,14282
POA2038,0,0,0,6,3,9,39,42,19,126,0,0,3,0,0,3,0,4,6,21,26,48,138,156,112,100,66,28,12,680,155,641,1686,1781,1368,1012,658,282,114,7691
POA2039,0,0,0,3,10,11,27,18,13,82,0,0,5,0,3,3,3,7,4,28,21,33,170,171,100,101,72,23,12,701,93,378,1580,1854,1282,980,640,184,48,7049
POA2040,5,4,4,16,45,78,162,225,94,634,0,0,3,3,5,12,33,44,25,131,34,96,312,313,228,153,149,98,97,1485,301,1236,3405,4338,3279,2178,1454,753,397,17348
POA2041,0,0,0,5,11,18,44,45,35,165,0,0,3,3,7,4,6,4,8,39,34,69,245,255,230,207,162,74,24,1298,179,671,2192,2797,2529,1994,1550,520,161,12601
POA2042,4,0,21,9,23,39,84,85,43,303,0,3,11,9,10,9,15,47,20,121,70,223,612,311,213,158,98,65,22,1772,369,2008,5788,3496,2415,1553,786,392,134,16934
POA2043,3,0,4,3,5,21,14,17,10,77,0,0,6,0,0,3,4,3,0,21,16,58,221,141,105,76,30,19,6,664,84,532,2565,1772,1082,598,254,104,30,7020
POA2044,0,3,8,9,17,42,103,79,39,297,0,0,4,4,14,21,32,27,9,119,19,38,120,100,73,61,43,24,16,499,131,618,1694,1446,1073,779,449,239,99,6521
POA2045,0,0,3,0,9,37,119,212,144,533,0,0,4,0,0,6,5,39,23,78,14,20,48,39,39,52,22,34,24,292,126,355,561,803,1075,803,534,453,270,4979
POA2046,0,3,18,20,42,118,341,452,238,1230,0,0,9,3,9,27,60,111,49,263,41,52,248,296,209,235,213,160,145,1599,480,1198,3422,4439,3930,3130,2373,1558,804,21333
POA2047,0,0,0,8,0,26,66,120,90,309,0,0,3,3,7,5,7,17,17,56,27,40,211,143,130,94,108,90,88,937,201,521,2011,1946,1620,1317,1152,608,388,9765
POA2048,4,0,7,6,3,23,67,87,23,226,0,0,8,3,4,3,13,37,8,76,17,63,196,133,85,57,55,35,7,649,117,620,1949,1403,1046,663,497,290,87,6671
POA2049,3,0,6,10,25,56,110,92,45,347,0,0,0,5,9,15,32,34,15,108,38,68,272,158,143,119,98,56,17,968,213,822,2542,1966,1573,1143,712,362,154,9486
POA2050,0,3,7,4,4,12,18,18,8,73,0,3,0,4,0,4,0,8,3,22,25,111,276,150,86,64,36,29,9,771,251,1415,2837,1643,925,603,338,136,45,8200
POA2052,0,3,4,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,3,70,126,44,3,0,3,0,0,0,243,906,1912,450,63,20,26,7,7,0,3401
POA2060,0,0,10,5,4,11,17,18,23,80,0,3,4,5,11,5,3,0,0,36,44,95,385,187,163,135,104,55,33,1194,192,813,3641,2313,1681,1491,1270,585,271,12259
POA2061,0,3,3,3,3,6,19,14,4,58,0,0,0,0,3,0,0,5,3,19,8,33,126,118,78,87,90,44,20,610,49,316,1425,933,717,820,710,362,112,5444
POA2062,0,0,4,3,0,5,12,14,9,51,0,0,0,0,0,0,0,3,0,13,11,20,81,69,44,62,37,18,14,352,75,309,1264,1361,930,756,593,238,85,5611
POA2063,0,0,0,0,3,7,15,15,15,62,0,0,0,0,0,3,8,0,3,15,13,8,31,37,47,31,36,19,24,238,126,276,429,863,1015,729,607,315,246,4607
POA2064,0,0,5,0,3,15,27,24,14,86,0,4,5,8,3,11,4,9,6,45,14,28,151,79,72,61,33,25,19,490,139,513,1948,1801,1172,870,556,281,135,7411
POA2065,3,7,11,12,23,36,54,57,44,239,0,0,8,15,9,10,13,13,9,72,49,108,567,416,241,192,166,104,69,1913,356,1607,7284,5790,3610,2893,2147,992,444,25133
POA2066,3,3,12,15,16,27,57,87,70,295,0,0,5,14,3,23,18,19,11,98,34,84,302,249,160,156,136,111,107,1342,503,1723,5322,5147,4119,3199,2283,1272,757,24325
POA2067,6,5,23,17,36,56,101,110,75,430,3,12,37,21,22,28,35,26,38,219,64,134,323,191,173,121,132,102,111,1350,671,2165,5092,4295,3120,2434,1824,1066,559,21221
POA2068,0,5,4,11,14,31,87,101,58,312,0,5,3,5,6,19,15,28,8,89,32,40,66,114,122,108,91,61,40,674,338,780,1407,2708,2688,1859,1336,737,394,12232
POA2069,4,0,3,0,6,21,21,27,23,106,0,3,0,4,4,7,9,15,8,47,19,31,69,89,71,65,59,54,81,541,348,787,1312,1941,2188,1636,1228,696,367,10505
POA2070,0,0,3,5,6,13,25,41,29,124,0,0,0,0,3,8,8,11,12,45,25,29,39,63,96,63,64,57,30,467,322,794,1208,1750,2096,1563,1131,743,395,9997
POA2071,3,0,0,4,9,27,23,26,19,125,0,0,3,16,4,14,3,6,0,51,30,30,46,54,73,56,61,62,83,496,381,893,1234,1649,2156,1554,1139,708,467,10174
POA2072,0,0,4,0,7,13,9,12,6,54,0,0,9,0,9,6,0,3,0,28,20,19,49,49,49,47,35,32,129,429,215,462,837,1007,1183,939,609,345,261,5857
POA2073,0,0,4,5,8,20,16,23,20,95,0,0,0,4,4,3,8,10,3,40,31,40,47,70,108,57,58,35,36,483,447,926,1270,2170,2751,1851,1362,689,350,11824
POA2074,0,0,0,3,8,7,23,53,45,146,0,0,3,0,4,16,6,13,7,50,34,39,67,99,110,91,125,182,286,1036,514,1124,1518,2726,3399,2501,2146,1669,1226,16835
POA2075,3,3,0,4,9,18,26,62,39,161,0,0,0,8,9,4,10,12,4,55,31,25,46,74,90,69,109,107,82,637,441,1002,1550,2804,3089,2320,1964,1428,604,15215
POA2076,3,4,3,16,15,26,41,63,63,238,0,0,7,6,24,16,15,20,11,90,170,60,80,95,137,119,125,167,198,1147,719,1352,1955,3081,3781,2817,2189,1505,881,18275
POA2077,3,3,23,29,57,117,133,120,98,584,0,8,25,43,34,41,35,34,20,242,61,87,287,310,228,163,179,178,156,1639,721,2006,6071,6758,4845,3857,2707,1477,735,29168
POA2079,0,0,3,0,6,17,14,27,16,85,0,0,0,0,4,4,0,3,0,12,11,7,26,26,35,30,31,27,15,200,195,457,732,1028,1115,1002,482,256,99,5369
POA2080,0,0,0,0,0,6,9,3,11,25,0,0,0,0,0,0,0,0,0,7,3,5,6,8,10,17,6,6,6,69,48,93,140,257,254,234,159,52,32,1273
POA2081,0,0,0,0,3,7,15,17,10,58,0,0,0,0,0,0,0,0,0,0,6,8,20,21,32,28,19,10,7,148,150,309,477,764,909,663,427,186,51,3934
POA2082,0,0,0,0,9,10,22,16,13,69,0,0,0,0,3,4,0,0,0,14,7,8,21,14,32,33,29,20,11,177,125,231,425,895,823,646,544,176,61,3918
POA2083,0,3,0,0,10,7,9,8,0,40,0,0,0,0,0,0,0,0,0,4,3,4,15,19,13,17,15,12,3,96,45,70,114,167,265,274,214,89,17,1258
POA2084,0,0,0,8,4,9,20,10,12,66,0,0,0,3,3,3,0,3,3,13,13,12,17,28,39,34,21,17,15,191,89,176,259,443,617,454,392,192,109,2724
POA2085,0,0,0,4,6,10,55,61,44,185,0,0,4,3,9,7,4,7,5,30,7,17,18,38,42,54,100,150,138,565,270,543,682,1482,1723,1184,1441,957,525,8793
POA2086,3,3,7,3,7,37,36,46,23,166,0,0,4,4,6,3,6,6,0,36,26,20,32,52,65,51,51,48,21,370,325,705,961,2013,2193,1381,1160,694,194,9632
POA2087,0,0,0,3,18,30,47,68,40,205,0,0,0,4,10,12,10,3,3,50,14,12,25,55,63,39,50,63,48,379,313,548,778,1869,2007,1279,1064,943,408,9203
POA2088,3,4,0,3,3,12,28,49,31,140,3,0,6,5,3,3,11,3,3,45,90,110,296,300,279,258,235,174,167,1911,539,1281,3405,4088,4268,3391,3000,1542,909,22417
POA2089,3,0,3,4,3,9,7,16,11,55,0,0,0,3,0,4,3,0,0,20,11,65,252,200,108,128,86,62,70,986,122,598,2970,2325,1395,1167,912,450,295,10236
POA2090,0,0,4,5,3,8,25,11,9,70,0,0,4,0,0,0,0,4,0,19,25,47,226,167,132,119,121,76,36,941,159,561,2740,2394,1770,1576,1418,610,212,11448
POA2092,0,0,3,0,0,4,12,18,18,53,0,0,0,7,0,0,0,3,0,10,16,9,18,58,32,33,25,30,14,233,162,377,450,1121,1187,801,518,263,138,5013
POA2093,0,4,9,3,9,40,34,48,52,204,0,4,0,3,3,6,9,6,0,34,47,49,136,204,162,139,119,104,123,1087,406,1002,2484,3795,3611,2342,1659,881,524,16715
POA2094,0,0,0,0,0,6,10,14,15,40,0,0,0,0,3,0,0,0,0,7,11,15,66,52,33,35,34,22,21,291,84,212,1029,1020,781,655,504,253,120,4664
POA2095,0,0,4,4,9,19,28,21,30,113,0,0,3,3,0,3,4,3,4,18,35,99,371,237,171,164,142,106,132,1462,223,806,3826,2834,1919,1542,1300,659,364,13473
