POA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA2000,2180,3821,1687,2476,1305,1233,195,1813,413,15127
POA2006,22,141,11,225,63,81,4,29,6,580
POA2007,420,1034,366,572,393,393,98,337,80,3694
POA2008,691,2007,426,633,583,522,77,318,93,5347
POA2009,1605,2697,632,822,879,521,101,383,160,7799
POA2010,3269,7244,1142,1463,1763,1161,203,757,296,17296
POA2011,2380,4888,946,1155,1282,841,125,426,192,12233
POA2015,1245,2620,496,484,880,490,121,229,112,6680
POA2016,1170,3181,564,666,847,497,118,340,112,7492
POA2017,2199,4500,979,1100,1478,1112,249,495,231,12344
POA2018,1004,2029,965,795,1159,806,494,624,191,8064
POA2019,821,1200,719,611,979,504,327,389,91,5644
POA2020,1146,2100,933,865,1215,747,401,667,134,8209
POA2021,1875,4063,456,658,1011,657,88,146,130,9077
POA2022,1205,2542,448,590,724,518,116,295,125,6566
POA2023,1221,2232,252,392,624,434,57,138,123,5466
POA2024,1129,2336,383,460,631,409,56,178,117,5699
POA2025,818,1752,152,231,400,302,44,68,63,3822
POA2026,3660,7321,1446,1704,1756,1491,271,739,318,18701
POA2027,971,1763,157,215,485,300,20,87,93,4105
POA2028,573,1127,98,143,285,215,22,32,44,2540
POA2029,1100,1851,317,379,626,458,63,159,107,5052
POA2030,1641,2419,300,500,814,554,67,147,140,6581
POA2031,3216,7586,1654,1696,2346,1319,383,728,254,19196
POA2032,750,2196,592,707,905,624,236,489,125,6610
POA2033,787,2042,481,585,769,480,154,286,84,5665
POA2034,2092,4529,911,1025,1420,819,168,340,199,11511
POA2035,2474,5182,1602,1581,2309,1415,519,841,286,16200
POA2036,1839,2995,1574,1402,2167,1282,819,938,236,13242
POA2037,1349,3694,570,747,1004,609,115,318,128,8529
POA2038,989,2346,329,382,632,356,104,131,93,5363
POA2039,1271,1968,347,306,580,331,47,114,94,5059
POA2040,2288,4640,870,917,1492,803,206,381,191,11786
POA2041,2040,3636,414,489,922,540,76,145,116,8373
POA2042,1797,5055,875,1077,1463,775,204,385,204,11840
POA2043,970,2401,353,387,673,373,75,114,72,5418
POA2044,683,1403,480,404,660,342,182,326,58,4532
POA2045,573,1082,264,238,419,241,76,110,55,3050
POA2046,2735,4282,1202,1018,2033,1227,327,546,238,13606
POA2047,1405,2282,436,457,842,550,94,175,97,6329
POA2048,764,1966,339,396,593,291,68,166,77,4655
POA2049,972,2520,558,542,835,426,150,289,100,6391
POA2050,906,2459,349,399,581,366,61,120,68,5323
POA2052,24,266,48,234,96,169,11,54,13,913
POA2060,1703,3906,382,495,1015,515,49,154,150,8370
POA2061,840,1576,115,158,428,193,30,53,69,3454
POA2062,880,1670,235,252,546,274,36,73,54,4021
POA2063,698,1200,108,194,332,215,29,59,57,2888
POA2064,806,2143,351,409,634,349,81,201,83,5058
POA2065,3486,8214,942,1092,2178,1208,168,380,287,17952
POA2066,3185,6826,1060,1227,2193,1262,262,481,266,16761
POA2067,2042,4715,922,953,1507,1137,205,599,286,12355
POA2068,1770,3014,458,588,1046,654,112,245,160,8036
POA2069,1405,2740,370,445,819,558,79,189,136,6742
POA2070,1273,2546,320,441,835,506,70,162,106,6258
POA2071,1285,2461,267,389,849,528,67,143,135,6121
POA2072,718,1429,189,246,474,281,45,122,58,3564
POA2073,1695,3212,395,559,1000,573,88,228,143,7892
POA2074,2140,3896,534,790,1309,788,119,292,169,10038
POA2075,2173,3465,509,665,1287,941,119,255,160,9562
POA2076,2079,4400,719,944,1635,843,177,435,185,11408
POA2077,2354,6600,1956,1915,2601,1522,552,1280,263,19032
POA2079,549,1090,531,373,587,312,139,235,68,3873
POA2080,119,241,113,100,124,75,39,55,14,876
POA2081,407,827,341,300,481,232,69,171,44,2872
POA2082,398,755,426,276,450,222,84,153,33,2792
POA2083,135,199,111,74,95,45,21,67,21,771
POA2084,351,435,265,159,265,146,51,104,24,1784
POA2085,1060,1465,540,468,837,538,136,240,92,5367
POA2086,1302,1952,673,580,997,627,181,306,84,6709
POA2087,1148,1910,530,503,790,544,132,257,81,5887
POA2088,3360,5530,622,1018,1686,1085,100,293,300,13999
POA2089,1549,3004,416,469,902,505,67,155,124,7194
POA2090,1807,3171,429,493,1017,574,94,178,123,7888
POA2092,819,1211,229,259,447,273,46,99,65,3457
POA2093,2436,3798,959,1009,1489,1017,223,459,173,11563
POA2094,720,1273,214,273,379,269,42,91,48,3304
POA2095,1975,3546,616,738,878,674,121,263,172,8978
POA2096,1649,2668,901,772,1020,642,169,339,122,8272
POA2097,1462,2059,1043,793,1236,787,254,402,114,8140
POA2099,3116,4804,2941,2407,2841,2117,936,1687,344,21198
POA2100,1777,2836,1321,1020,1572,1006,371,700,179,10777
POA2101,1683,2479,1518,961,1352,842,318,515,166,9834
POA2102,664,919,443,392,603,381,115,191,50,3758
POA2103,893,1321,672,499,797,531,192,284,100,5279
POA2104,338,394,140,133,207,124,31,53,22,1439
POA2105,191,299,99,62,105,68,17,33,17,889
POA2106,927,1327,634,500,636,492,91,247,85,4936
POA2107,1409,2155,906,668,960,669,126,331,132,7354
POA2108,180,245,77,46,80,67,9,33,27,760
POA2109,114,431,69,160,162,176,23,82,23,1242
POA2110,1068,1590,239,348,605,373,51,96,84,4460
POA2111,1477,2412,596,589,1123,619,151,288,116,7377
POA2112,2382,4971,1808,1354,2550,1502,539,854,318,16266
POA2113,1386,3363,853,716,1364,745,209,430,129,9193
POA2114,1609,4306,1320,1084,1951,1038,379,757,224,12663
POA2115,653,1131,670,465,800,418,234,365,103,4835
POA2116,359,706,454,276,521,283,191,234,63,3095
POA2117,1260,2632,1155,834,1573,888,422,674,172,9615
POA2118,1476,3593,1158,898,1606,1004,431,638,226,11029
POA2119,1007,2329,352,407,828,442,79,162,58,5658
POA2120,1646,3732,840,858,1423,810,183,454,142,10090
