POA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA2000,0,4,5,3,0,0,0,0,18,0,5,8,0,0,0,0,0,17,0,3,21,50,17,3,4,0,97,0,7,22,50,16,3,4,4,111,0,3,6,0,0,0,0,0,13,0,8,9,9,0,0,0,0,30,269,2789,4205,1163,81,9,15,337,8864,0,0,0,0,0,0,0,0,0,273,2795,4221,1172,81,9,17,337,8909,8,5,3,0,0,0,0,15,37,0,5,10,3,0,0,0,7,31,283,2819,4266,1236,103,13,19,374,9111
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA2007,0,3,3,0,0,0,0,3,5,0,0,9,3,7,0,0,3,25,5,15,78,59,25,3,5,17,209,5,13,87,65,33,6,4,19,234,0,11,41,18,10,0,0,7,85,3,127,208,34,11,0,0,11,399,126,895,712,215,59,12,13,75,2099,0,0,0,0,0,0,0,0,0,132,1035,965,266,79,12,12,94,2587,0,0,0,0,0,0,0,0,0,4,3,10,3,0,0,0,8,30,140,1048,1064,333,115,14,15,121,2855
POA2008,0,3,12,13,11,10,3,7,52,0,9,22,21,3,0,0,3,57,3,55,267,287,177,32,23,43,885,3,70,290,304,185,30,23,42,947,5,45,25,0,0,0,0,5,85,28,210,197,45,6,3,4,9,512,327,1509,697,160,32,15,11,85,2839,0,0,0,0,0,0,0,0,0,360,1765,923,213,37,20,19,102,3434,3,13,7,3,3,0,0,3,30,4,16,12,3,0,9,7,7,49,371,1871,1237,533,236,68,47,159,4520
POA2009,0,20,12,16,0,0,0,3,58,0,13,12,9,3,0,0,0,42,0,32,123,112,24,0,0,14,307,4,46,135,120,26,3,0,14,350,0,6,9,3,0,0,0,0,25,0,96,106,15,0,0,0,6,226,58,1086,2461,970,23,3,6,89,4691,0,0,0,0,0,0,0,0,3,58,1191,2576,992,27,3,6,97,4946,0,3,4,0,0,0,0,0,5,0,8,4,0,0,0,0,0,13,58,1270,2733,1125,56,5,7,109,5363
POA2010,0,5,15,24,6,0,0,3,52,0,51,136,85,25,4,3,4,304,38,340,891,901,414,109,41,102,2842,40,393,1020,990,440,117,46,110,3149,45,342,195,45,7,0,10,33,675,121,609,521,46,6,0,6,35,1345,452,3413,2461,343,22,9,3,141,6850,0,0,0,0,0,0,0,0,3,621,4366,3175,432,34,6,16,215,8869,0,12,15,8,0,0,6,3,49,8,26,22,10,4,3,5,42,115,663,4797,4248,1463,485,128,71,373,12234
POA2011,0,3,3,14,7,0,3,5,41,0,3,7,0,0,0,0,0,14,27,214,234,211,78,17,11,27,808,27,219,239,206,78,17,11,27,824,37,116,76,26,4,3,0,10,269,223,651,376,111,10,0,0,27,1390,906,3143,2261,479,37,4,3,170,7011,0,0,0,0,0,0,0,0,0,1167,3909,2710,611,48,13,3,208,8663,10,22,10,5,0,0,0,3,40,3,15,9,4,3,0,0,36,75,1207,4165,2974,843,137,30,17,270,9642
POA2015,0,5,52,69,25,5,0,4,168,3,55,305,133,20,3,3,14,537,0,24,209,490,174,9,3,19,922,3,78,516,620,196,6,7,30,1464,12,43,62,28,3,0,0,5,149,10,197,353,51,21,0,0,11,642,12,761,804,147,5,0,0,36,1761,0,0,0,0,0,0,0,0,0,35,998,1217,225,25,0,0,50,2560,0,3,3,8,0,0,0,0,16,0,12,8,3,4,0,0,9,38,40,1099,1797,926,253,18,4,96,4235
POA2016,3,6,8,16,6,0,0,4,49,0,23,181,103,14,0,0,11,341,8,45,368,520,256,61,30,49,1335,11,72,551,618,267,63,30,56,1676,14,62,48,14,3,0,12,14,170,43,325,521,75,3,0,0,32,1001,49,885,1296,376,21,7,25,117,2773,0,3,0,0,0,0,0,0,4,107,1276,1860,471,25,7,41,159,3945,3,25,20,10,3,0,0,4,57,0,12,9,8,0,0,3,15,46,125,1381,2460,1125,310,69,70,236,5771
POA2017,0,3,9,13,3,0,0,0,30,0,30,93,64,10,3,0,5,209,3,73,202,331,105,11,3,20,747,5,101,295,392,116,14,0,26,957,25,90,39,16,0,3,3,19,200,20,224,284,131,3,0,0,30,695,198,2404,5075,798,26,0,0,263,8769,0,0,0,0,0,0,0,0,0,241,2725,5402,950,31,3,7,309,9661,0,5,4,3,0,0,0,0,11,0,10,10,0,0,0,0,12,33,243,2843,5722,1357,149,17,11,345,10688
POA2018,7,6,257,1001,468,121,41,42,1938,3,29,70,97,29,3,0,0,229,0,9,5,39,15,6,0,5,71,3,38,76,133,40,8,0,3,300,6,47,614,129,17,0,0,27,835,21,72,802,146,5,0,0,50,1092,10,531,1215,192,4,4,0,68,2020,0,3,3,3,0,0,0,0,11,30,652,2635,472,24,4,0,148,3961,0,20,26,10,3,0,0,4,66,0,14,18,6,0,0,0,8,45,39,730,3003,1622,538,135,43,203,6308
POA2019,4,15,150,558,296,111,31,22,1187,3,8,127,126,19,4,0,7,295,0,17,99,419,112,4,0,16,661,3,26,223,545,126,8,0,22,953,30,84,102,23,0,0,0,8,245,4,40,334,153,5,0,0,14,545,0,170,394,78,0,0,0,8,660,0,0,0,0,0,0,0,0,0,28,295,826,256,7,0,0,28,1457,0,5,13,13,0,3,0,0,35,0,6,8,4,3,5,0,0,20,38,347,1212,1380,437,124,36,78,3653
POA2020,3,7,271,876,344,99,36,34,1662,0,3,110,116,52,6,4,12,306,0,3,7,3,4,3,0,0,25,0,4,115,124,59,7,4,14,335,13,98,164,52,10,3,3,6,348,0,42,179,48,3,0,0,5,271,8,581,1583,305,5,0,0,46,2534,0,0,0,0,3,0,0,0,3,19,719,1935,400,18,9,3,56,3156,0,3,6,6,3,0,0,0,21,0,10,11,10,4,0,0,5,36,24,739,2341,1407,424,111,39,101,5208
POA2021,0,9,34,68,68,48,13,4,251,3,28,102,83,21,3,0,0,237,7,73,853,1549,615,75,9,68,3246,6,105,949,1625,633,75,9,73,3481,16,149,117,22,5,0,0,3,311,56,207,337,55,0,0,0,7,670,231,794,463,57,6,0,4,25,1586,0,0,0,0,0,0,0,0,3,306,1154,923,130,7,0,4,44,2570,0,15,14,12,3,0,0,3,56,3,3,13,10,3,0,0,12,41,319,1288,1928,1853,721,121,22,135,6387
POA2022,0,6,54,246,182,71,11,11,577,0,7,148,231,87,15,0,9,508,0,16,167,409,237,34,3,24,898,0,22,313,643,330,47,5,38,1406,8,118,176,39,7,3,7,11,364,15,201,356,70,3,0,0,23,666,85,328,670,314,6,0,0,57,1464,0,0,4,0,0,0,0,0,3,102,650,1197,424,19,3,7,89,2493,0,65,78,44,3,0,0,8,203,0,3,4,3,3,0,0,3,27,112,754,1651,1363,537,129,25,143,4705
POA2023,6,11,41,261,513,358,110,10,1309,0,0,12,24,5,3,0,5,56,0,0,11,52,39,10,0,4,117,0,0,27,82,50,10,0,3,172,0,27,118,94,24,0,0,4,276,10,128,589,311,25,5,3,30,1106,9,145,491,279,13,3,0,27,967,0,4,3,0,0,0,0,0,11,19,300,1203,693,66,10,4,58,2355,0,8,0,5,0,0,0,0,18,0,0,3,7,3,0,3,0,18,28,318,1275,1046,629,375,119,80,3867
POA2024,0,6,73,327,392,162,29,16,1010,4,7,148,181,65,15,0,8,419,0,7,75,161,144,32,0,10,425,3,8,220,346,208,45,0,20,847,7,128,307,69,13,0,3,15,550,32,240,670,34,10,0,0,20,1009,20,81,277,63,4,0,0,9,454,0,0,4,0,0,0,0,0,11,66,454,1257,170,24,0,10,42,2022,3,16,26,3,3,0,0,4,48,0,0,3,0,4,0,0,3,11,74,488,1576,850,635,207,40,79,3940
POA2025,0,3,51,114,167,65,22,9,438,0,17,107,114,35,7,0,3,283,0,9,122,358,149,31,3,17,694,3,29,235,473,184,37,3,18,983,0,72,165,76,9,3,0,68,387,0,120,347,84,11,0,0,16,593,3,79,249,124,3,0,0,11,478,0,4,0,0,3,0,0,0,6,5,281,769,283,25,3,0,97,1465,0,3,5,4,0,0,0,0,15,0,4,8,3,3,0,0,0,20,10,323,1061,877,386,107,27,124,2918
POA2026,0,14,90,437,447,158,43,38,1236,3,4,384,545,101,27,0,30,1092,0,8,97,343,408,88,3,14,971,6,13,478,886,506,113,5,40,2055,31,452,1197,331,56,13,6,72,2149,115,1046,2793,503,47,3,5,150,4666,126,573,1222,309,16,0,4,69,2317,0,0,3,0,0,0,0,0,3,271,2076,5210,1140,121,15,15,294,9137,3,18,32,17,8,0,0,0,71,0,6,29,23,6,0,3,11,74,278,2122,5843,2499,1094,292,67,379,12583
POA2027,0,4,28,71,99,65,33,11,309,0,4,7,15,0,0,0,0,29,0,8,82,167,53,11,4,5,329,0,10,92,181,53,11,4,6,360,3,18,77,66,12,5,0,3,185,20,136,266,191,30,3,0,11,651,28,392,889,577,45,0,0,48,1980,0,3,5,7,3,0,3,0,21,49,547,1237,838,83,7,4,61,2840,0,0,0,0,0,0,0,0,0,0,3,5,8,0,3,0,3,19,50,560,1369,1099,237,92,39,83,3530
POA2028,0,0,20,100,110,48,6,6,290,0,0,5,0,0,0,0,0,7,0,0,27,110,32,8,3,8,183,0,0,27,109,31,8,6,8,194,0,18,68,55,9,3,0,3,151,3,59,365,134,11,0,0,25,588,0,71,449,187,8,0,0,23,755,0,0,0,0,0,0,0,0,0,4,146,889,374,23,8,0,55,1497,0,7,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,4,160,940,582,172,55,12,61,1996
POA2029,0,3,41,212,366,151,34,14,827,0,0,46,65,13,0,0,0,132,0,0,23,102,57,4,0,0,189,0,0,73,168,75,6,0,0,325,0,94,280,142,18,0,0,11,551,12,246,1052,396,31,3,3,56,1798,17,50,106,75,5,0,0,6,262,0,0,11,7,0,0,0,0,23,28,393,1452,627,55,4,3,75,2640,0,7,15,0,0,0,0,0,29,0,0,6,3,4,4,0,0,14,28,411,1579,1012,505,165,42,94,3833
POA2030,3,12,106,621,1028,588,130,49,2539,0,0,36,45,7,3,0,3,103,3,10,76,137,127,22,3,11,388,3,12,113,186,134,29,3,16,486,0,22,265,151,31,4,0,6,482,0,52,385,185,11,0,0,18,655,4,68,276,85,3,0,0,9,447,0,0,3,0,0,0,0,0,4,9,146,936,416,46,6,3,34,1588,0,8,28,21,3,0,0,6,69,0,0,0,7,6,3,0,0,19,14,174,1175,1251,1217,625,133,98,4695
