POA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
POA2000,3,23,0,23,..,1169,133,1303,14,1311,..,157,15,175,0,175,..,38,0,41,0,41,..,820,637,1450,12,1467,..,25,0,26,0,26,..,175,17,193,0,196,..,312,29,342,9,348,..,6033,1695,7733,60,7788,..,27,7,37,2038,2075,3950,6061,1702,7769,2100,13818,2938,..,..,..,..,2938,..,7,0,7,0,7,..,45,15,57,0,53,..,0,0,0,0,0,..,446,129,580,4,582,..,1843,553,2393,10,2399,..,110,39,148,3,149,..,2401,723,3121,16,3131,..,13,0,13,0,13,..,8,0,8,0,8,..,101,4,101,0,101,..,41,0,41,0,41,..,28,0,30,3,32,..,20,0,20,0,20,..,128,6,134,0,134,..,5,0,5,0,5,..,8,0,8,0,7,..,8,0,8,0,8,..,42,8,46,0,48,..,204,15,221,3,219,..,75,3,77,0,84,..,144,72,217,3,218,..,415,241,654
POA2006,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,47,0,48,0,48,..,0,0,0,83,87,413,50,0,53,83,544,578,..,..,..,..,578,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,32,0,32,0,32,..,0,0,0,0,0,..,38,0,38,0,38,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,6,0,6,0,6,..,5,0,5
POA2007,0,12,0,12,..,139,13,154,0,155,..,72,7,77,0,79,..,15,0,15,0,15,..,106,59,163,0,163,..,7,0,7,0,7,..,66,4,69,0,68,..,112,6,120,0,120,..,2082,451,2538,12,2550,..,10,3,11,532,539,1161,2091,452,2550,548,4250,930,..,..,..,..,930,..,0,0,0,0,0,..,21,4,24,0,24,..,0,0,0,0,0,..,232,108,335,3,345,..,1252,260,1513,10,1517,..,100,27,128,0,132,..,1584,394,1978,11,1994,..,0,0,0,0,0,..,12,0,12,0,12,..,40,0,41,0,41,..,20,0,20,0,20,..,3,0,3,0,3,..,7,0,7,0,7,..,42,0,40,0,40,..,3,0,3,0,3,..,3,0,3,0,5,..,4,0,4,0,4,..,16,0,17,0,17,..,70,0,73,0,72,..,29,0,33,0,33,..,61,23,86,0,86,..,93,28,120
POA2008,0,14,0,14,..,234,13,245,0,245,..,87,5,98,0,98,..,15,0,15,0,15,..,78,42,121,0,121,..,8,0,8,0,8,..,70,6,75,0,75,..,163,26,182,0,182,..,2332,340,2671,10,2684,..,7,0,11,629,643,2303,2340,343,2687,636,5624,1919,..,..,..,..,1919,..,0,0,0,0,0,..,21,8,24,0,24,..,0,0,0,0,0,..,263,42,309,0,309,..,1557,228,1792,6,1797,..,103,49,150,0,150,..,1927,322,2246,6,2260,..,3,0,4,0,4,..,10,0,16,0,16,..,49,0,49,0,49,..,27,0,24,0,24,..,11,3,12,0,12,..,13,0,13,0,13,..,26,0,26,0,26,..,3,0,3,0,3,..,8,0,8,0,6,..,9,0,9,0,9,..,15,0,15,0,15,..,66,0,66,0,68,..,27,0,31,0,31,..,44,12,55,0,55,..,74,17,90
POA2009,0,10,0,10,..,135,3,142,3,142,..,137,10,146,0,146,..,31,3,37,0,37,..,87,27,112,0,115,..,26,0,24,0,26,..,50,4,60,0,60,..,233,42,275,7,280,..,2097,384,2482,20,2505,..,18,4,23,610,635,3343,2115,388,2508,635,6479,2953,..,..,..,..,2953,..,6,0,6,0,6,..,24,0,24,0,24,..,0,0,0,0,0,..,251,57,307,0,307,..,480,152,624,3,628,..,30,15,41,0,41,..,751,224,980,3,984,..,6,3,7,0,7,..,15,0,15,0,15,..,68,6,76,3,82,..,20,0,15,0,15,..,37,0,37,0,37,..,4,0,4,0,4,..,71,8,76,0,76,..,9,0,9,0,9,..,3,0,3,0,3,..,9,0,9,0,9,..,16,3,21,0,21,..,106,11,117,0,117,..,81,8,85,0,85,..,117,39,150,0,149,..,177,75,245
POA2010,0,7,0,7,..,263,25,281,3,282,..,288,22,310,0,313,..,15,0,22,0,22,..,234,145,385,0,381,..,28,0,26,0,31,..,81,16,99,0,99,..,374,29,402,3,408,..,3188,523,3708,23,3735,..,28,3,35,2414,2446,9793,3216,526,3740,2438,15976,6886,..,..,..,..,6886,..,10,0,10,0,10,..,37,3,35,0,35,..,0,0,0,0,0,..,172,98,270,0,273,..,263,119,383,0,384,..,22,9,34,0,34,..,459,227,686,0,692,..,19,0,19,0,19,..,47,0,47,0,47,..,224,12,229,0,229,..,73,0,77,0,77,..,89,24,114,0,114,..,7,0,7,0,7,..,34,3,32,0,36,..,9,0,9,0,9,..,4,0,4,0,4,..,3,0,3,0,3,..,43,0,44,0,44,..,95,7,98,3,98,..,132,12,138,0,145,..,113,23,128,0,134,..,83,26,108
POA2011,0,7,0,7,..,90,3,98,0,98,..,207,4,216,3,219,..,6,0,6,0,6,..,55,30,85,0,86,..,31,0,31,0,31,..,30,7,39,0,39,..,259,32,288,4,293,..,1790,191,1979,12,1992,..,16,6,22,2861,2884,7064,1805,194,2007,2875,11944,5774,..,..,..,..,5774,..,3,0,3,0,3,..,12,3,16,0,16,..,6,0,6,0,6,..,61,14,76,0,80,..,132,36,167,3,172,..,15,3,20,0,20,..,209,58,261,3,269,..,15,0,15,0,15,..,27,0,27,0,27,..,165,4,171,0,175,..,76,3,82,0,82,..,29,0,34,0,34,..,10,0,10,0,10,..,34,0,34,0,34,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,17,..,60,0,60,0,60,..,129,6,137,0,137,..,52,6,55,0,58,..,36,11,48
POA2015,0,4,0,4,..,86,9,91,0,94,..,81,0,89,0,89,..,6,0,6,0,6,..,21,3,23,0,23,..,9,0,9,0,9,..,36,3,44,0,44,..,130,26,152,4,159,..,844,116,968,12,973,..,8,0,8,421,432,3619,853,119,975,432,5024,3393,..,..,..,..,3393,..,0,0,0,0,0,..,20,0,20,0,20,..,3,0,3,0,4,..,72,44,120,0,120,..,121,35,152,3,153,..,11,0,10,0,10,..,202,79,279,3,280,..,7,0,7,0,7,..,6,0,6,0,6,..,61,0,59,0,60,..,27,0,27,0,27,..,35,4,39,0,39,..,3,0,3,0,3,..,14,0,12,0,12,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,30,0,36,0,36,..,36,0,36,0,39,..,29,3,32,0,32,..,22,4,25
POA2016,0,21,0,21,..,79,0,84,3,83,..,151,17,164,3,172,..,9,0,9,0,9,..,36,10,44,0,49,..,21,3,26,0,26,..,44,6,54,3,57,..,170,29,192,4,196,..,1468,315,1783,25,1806,..,22,0,22,766,790,4591,1490,315,1811,786,7180,3549,..,..,..,..,3549,..,0,0,0,0,0,..,57,17,76,0,76,..,3,0,3,0,3,..,78,107,182,0,182,..,218,91,312,0,314,..,20,11,28,0,28,..,318,202,519,0,523,..,14,0,14,0,14,..,17,0,17,0,17,..,86,5,88,0,88,..,36,0,36,0,36,..,74,31,103,0,104,..,13,3,17,0,17,..,21,0,21,0,24,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,5,0,5,..,16,3,17,0,17,..,54,5,59,0,60,..,48,0,53,0,53,..,42,7,43,0,43,..,35,19,54
POA2017,0,9,0,9,..,249,9,258,0,258,..,226,17,246,3,250,..,8,0,8,0,8,..,29,17,43,0,43,..,34,4,45,0,45,..,65,33,93,3,91,..,387,76,464,6,472,..,4428,935,5362,42,5403,..,32,4,38,1324,1359,5916,4458,933,5395,1362,12671,4720,..,..,..,..,4720,..,3,0,3,0,3,..,83,22,100,0,107,..,0,0,0,0,0,..,401,121,520,3,521,..,2105,525,2629,14,2644,..,128,62,190,0,190,..,2636,706,3342,14,3360,..,14,4,17,0,17,..,17,0,17,0,17,..,84,0,90,0,90,..,65,0,65,0,64,..,59,7,72,0,72,..,11,0,18,0,18,..,51,0,52,0,57,..,13,0,13,0,13,..,3,0,3,0,3,..,7,0,7,0,7,..,13,0,18,0,14,..,105,4,107,3,110,..,81,4,84,0,84,..,43,3,48,0,48,..,169,49,218
