POA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA2000,19,168,50,14,10,440,166,23,444,127,58,39,850,27,6,95,35,18,5,184,27,0,103,40,51,13,245,78,7,263,124,45,132,649,2266,247,5492,2052,930,550,11534
POA2006,0,21,7,3,3,49,3,0,6,0,0,0,11,0,0,4,0,0,0,4,3,0,0,0,0,0,9,0,0,0,0,0,0,3,28,0,51,11,8,3,105
POA2007,10,82,8,9,5,210,47,9,105,20,25,3,207,10,0,28,15,10,3,63,14,0,24,11,19,3,75,19,0,60,22,17,23,135,641,75,1288,381,251,93,2724
POA2008,18,176,32,8,3,450,98,9,176,26,13,3,326,27,7,76,15,11,0,130,17,0,43,17,28,4,111,38,0,83,31,18,14,185,1050,129,2095,476,371,93,4223
POA2009,21,138,24,22,4,353,96,19,194,47,31,16,407,25,6,69,40,30,12,185,22,0,48,26,47,0,149,49,7,104,34,22,39,251,1313,225,2980,810,668,240,6238
POA2010,62,422,62,42,15,1015,349,72,651,145,91,28,1331,80,24,204,64,37,14,417,31,14,102,70,131,19,369,92,14,261,83,57,48,552,2951,594,7275,1802,1364,383,14365
POA2011,67,251,49,13,10,695,189,46,401,96,61,20,811,57,15,154,40,42,12,317,25,4,85,47,92,8,266,55,7,166,55,41,38,369,2092,437,4649,1258,1277,267,9972
POA2015,34,213,27,25,8,497,116,30,248,53,46,6,505,23,12,58,20,14,5,133,15,6,55,31,54,7,162,28,5,95,30,35,23,207,996,259,2554,729,754,118,5415
POA2016,48,220,43,16,4,557,147,42,303,58,44,11,614,34,8,102,29,20,4,198,20,4,55,28,63,4,180,21,6,100,22,30,32,216,1196,290,3003,727,662,178,6052
POA2017,40,283,44,41,8,712,191,40,452,93,67,24,865,28,6,101,27,37,3,205,27,4,63,46,123,8,277,87,13,183,51,54,39,423,2128,359,4463,1288,1320,278,9840
POA2018,35,225,45,37,8,530,101,29,278,122,119,24,666,14,4,38,19,28,0,109,12,0,50,29,104,20,220,30,4,69,31,78,44,254,974,172,2204,889,1274,210,5727
POA2019,29,163,44,56,12,399,82,21,176,89,73,14,455,6,3,19,20,33,0,84,9,0,34,37,96,3,187,8,0,42,20,50,28,153,445,116,1202,738,1196,163,3857
POA2020,19,160,47,32,8,367,99,34,255,95,78,28,591,12,0,34,16,9,3,75,15,0,46,28,95,9,195,42,6,94,29,47,18,240,1019,159,2371,928,1223,224,5933
POA2021,48,239,45,16,9,583,227,42,399,68,34,29,796,46,10,143,38,21,6,263,24,3,59,31,65,7,192,63,7,119,35,21,27,275,1684,353,3899,783,676,198,7592
POA2022,41,169,38,21,14,433,131,28,293,73,58,24,608,17,4,51,16,12,3,105,13,3,54,29,42,7,155,38,3,101,32,24,24,220,1020,217,2607,708,580,198,5337
POA2023,29,160,29,18,3,338,166,29,301,63,22,31,614,11,0,59,18,13,0,112,9,3,30,21,43,6,113,31,3,97,32,21,30,214,889,162,2311,486,437,159,4438
POA2024,40,189,25,26,5,441,141,31,290,52,46,14,568,25,7,55,31,25,3,144,15,0,43,22,44,7,128,32,3,81,12,17,20,164,918,198,2269,530,599,132,4649
POA2025,22,103,16,10,8,248,114,15,171,28,18,16,353,9,4,42,4,5,7,72,13,3,33,11,23,5,78,24,5,76,14,10,8,141,705,136,1740,302,253,88,3218
POA2026,98,547,122,62,36,1192,320,75,683,168,102,34,1382,56,20,241,58,54,21,452,40,6,135,93,154,21,444,107,14,365,114,100,86,788,2593,585,7689,1980,1848,566,15266
POA2027,11,92,17,12,7,223,136,15,183,45,12,6,403,10,3,41,9,6,0,71,3,3,34,17,24,3,75,30,5,77,24,19,24,179,772,154,1684,386,300,119,3421
POA2028,9,75,12,11,3,160,71,13,98,19,10,11,218,9,0,35,5,5,0,59,7,0,15,3,19,4,48,12,3,50,22,12,9,104,436,80,1103,244,176,74,2105
POA2029,33,161,49,23,18,380,109,26,230,54,33,23,472,9,4,36,21,14,9,95,10,0,37,18,42,3,113,24,4,76,23,30,30,184,664,153,1956,595,513,189,4069
POA2030,32,197,60,23,8,437,189,39,391,76,41,38,759,9,3,49,16,12,4,91,9,0,41,28,62,6,149,30,6,134,41,29,27,264,921,195,2635,678,569,209,5202
POA2031,129,716,147,89,29,1892,518,122,1214,303,173,60,2396,47,17,171,62,73,14,383,39,10,129,92,164,15,447,86,17,203,75,84,42,502,3023,687,7188,1998,2281,457,15623
POA2032,35,243,45,36,21,697,140,35,356,97,79,32,733,8,0,36,13,19,3,82,17,6,44,36,62,8,166,55,3,79,22,28,18,207,1112,156,2092,626,786,183,4957
POA2033,38,207,37,35,5,579,146,30,299,60,58,13,608,15,0,60,15,31,0,125,8,3,39,24,42,9,118,32,7,45,18,21,17,142,1013,151,1963,559,630,123,4433
POA2034,104,413,80,45,15,1058,277,79,610,159,83,29,1233,29,5,115,45,51,8,248,21,4,68,49,93,3,242,53,14,128,39,55,35,318,1774,429,4211,1202,1369,258,9253
POA2035,89,643,138,90,25,1449,357,93,749,257,178,59,1690,19,0,93,42,49,12,222,32,9,117,76,191,8,433,74,16,160,75,103,58,484,2207,455,4992,1816,2406,466,12341
POA2036,61,416,123,125,35,1072,172,50,521,199,257,52,1251,13,3,58,33,60,9,171,22,7,54,71,212,24,393,38,0,112,58,107,68,385,1235,274,2940,1550,2705,432,9131
POA2037,53,313,56,38,13,975,197,44,349,79,61,16,747,41,6,94,27,27,4,199,33,10,66,29,46,3,183,49,10,120,34,25,23,263,1691,307,3210,773,708,155,6842
POA2038,59,201,34,28,14,571,152,35,287,38,43,17,576,30,3,80,20,13,3,154,15,8,32,13,36,0,100,25,6,76,21,17,21,154,972,235,2059,494,543,104,4410
POA2039,25,139,35,13,7,362,99,22,194,46,26,13,401,18,3,51,9,12,0,92,13,5,36,18,39,3,121,21,3,56,17,21,15,137,846,201,1913,545,511,111,4131
POA2040,115,455,98,65,27,1168,285,71,492,135,121,26,1139,46,20,125,41,43,10,288,29,12,91,48,105,9,295,35,5,123,50,41,41,301,1799,527,4130,1286,1366,255,9358
POA2041,63,251,59,25,14,665,221,34,339,96,39,12,741,35,10,84,24,21,0,176,16,0,55,25,43,11,153,44,8,112,30,34,20,252,1632,397,3248,831,696,156,6963
