POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2750,4134,8288,90,510,413,1963,177,812,2756,10851,3434,14127,280,1192,329,1128,1086,3561,1693,5878,5126,20011,26,123,145,505,94,324,925,2465,1190,3419,91,310,218,494,921,2001,1227,2809,2414,6231,201,423,11871,34953
POA2752,395,794,26,128,60,273,34,174,352,1435,464,2013,52,233,41,144,196,644,288,1016,752,3031,5,14,17,48,5,26,70,194,94,279,4,13,19,49,54,113,75,176,165,453,10,23,1319,4302
POA2753,1459,2947,41,214,208,1010,102,473,920,3715,1263,5417,130,539,134,447,509,1701,770,2686,2035,8105,15,67,51,178,36,125,262,723,358,1097,32,95,71,162,329,731,431,991,786,2087,72,153,4350,13281
POA2754,558,1123,17,116,39,191,41,208,321,1250,425,1761,43,189,60,199,161,521,257,906,684,2667,6,16,20,74,9,29,104,279,133,396,14,35,24,49,126,275,158,367,294,765,13,35,1549,4583
POA2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2756,2820,5692,109,636,390,1857,202,934,2348,9309,3049,12737,263,1133,269,890,1028,3355,1553,5375,4604,18108,22,87,129,474,80,257,564,1541,793,2357,70,234,121,258,600,1293,789,1776,1584,4131,97,220,9107,28155
POA2757,105,204,4,23,9,32,18,75,46,183,68,320,3,17,14,39,21,53,36,114,104,428,0,0,0,5,3,16,12,32,16,57,0,9,0,7,13,25,16,35,31,88,0,0,241,729
POA2758,905,1800,34,190,136,669,54,230,526,2126,754,3220,82,350,103,340,276,925,460,1618,1216,4836,3,17,12,41,5,15,82,205,97,276,9,23,28,62,100,214,135,299,230,576,12,26,2367,7240
POA2759,1999,4030,74,465,336,1660,155,722,1695,6793,2265,9642,289,1230,293,1021,1159,3868,1736,6116,4004,15755,22,114,72,291,45,152,450,1248,586,1810,73,233,92,214,488,1110,649,1550,1230,3362,78,172,7319,23317
POA2760,2476,5045,100,616,317,1615,141,674,2229,8782,2788,11691,183,819,204,706,697,2316,1085,3840,3877,15528,49,242,117,460,95,331,820,2442,1080,3471,67,220,131,297,817,1854,1011,2370,2088,5849,188,417,8635,26839
POA2761,1609,3313,139,832,578,2789,179,844,2312,9321,3211,13785,398,1742,441,1550,948,3223,1790,6513,4997,20298,26,123,118,463,64,240,497,1450,707,2281,74,254,121,299,434,1007,632,1559,1336,3837,96,214,8040,27664
POA2762,376,752,20,101,59,300,20,85,470,1798,565,2282,35,155,32,96,139,445,201,703,772,2990,0,3,16,60,7,45,76,207,102,315,15,49,16,37,64,134,93,220,194,535,20,40,1358,4318
POA2763,2030,4161,73,390,456,2132,131,591,2794,10819,3445,13927,330,1419,412,1449,894,2985,1630,5856,5081,19790,26,125,105,362,42,156,436,1177,603,1819,82,268,142,325,484,1087,705,1678,1309,3493,97,216,8518,27659
POA2765,1250,2531,57,318,175,843,67,345,903,3618,1202,5121,123,544,124,421,547,1826,797,2797,1995,7917,11,65,36,129,26,109,243,698,316,999,30,95,60,139,260,583,346,820,663,1818,66,135,3981,12409
POA2766,986,2039,54,309,263,1308,76,357,1023,4108,1417,6079,172,774,190,668,445,1527,806,2964,2217,9049,14,81,42,177,39,157,189,581,290,986,56,183,62,137,263,604,374,921,667,1914,57,135,3932,13132
POA2767,1431,2928,69,416,333,1567,84,430,1579,6159,2069,8570,255,1113,315,1141,752,2526,1326,4781,3393,13355,11,78,76,307,69,266,381,1151,542,1795,58,212,79,187,464,1077,607,1474,1145,3268,106,222,6078,19773
POA2768,1630,3299,81,453,594,2744,116,532,2657,10381,3444,14118,352,1482,482,1739,735,2449,1568,5669,5011,19786,9,48,82,293,25,77,257,680,370,1106,55,186,93,250,257,604,412,1034,784,2135,67,155,7499,25377
POA2769,710,1437,23,123,187,851,30,131,1579,6059,1820,7165,75,325,144,497,211,702,432,1523,2247,8689,0,7,17,64,5,25,100,248,128,344,15,43,33,79,74,172,123,294,247,636,16,42,3220,10806
POA2770,3408,6974,259,1609,696,3633,353,1862,3279,13572,4585,20679,410,1843,392,1383,1542,5190,2344,8415,6929,29099,140,703,308,1332,290,1187,1871,5791,2606,9019,190,670,260,569,1511,3524,1954,4764,4564,13780,342,788,15248,50636
POA2773,607,1202,18,77,101,472,18,76,389,1581,525,2207,55,232,93,335,170,538,320,1104,841,3313,3,12,10,41,0,0,53,141,64,198,13,47,22,61,69,145,112,250,180,447,18,35,1638,4995
POA2774,1340,2666,33,208,184,847,41,185,931,3649,1188,4899,87,384,167,592,390,1246,652,2220,1837,7114,7,26,32,106,14,65,174,473,230,677,27,73,50,111,209,451,282,641,516,1316,42,82,3731,11183
POA2775,176,349,3,19,10,36,5,26,55,210,76,284,8,26,3,18,30,100,42,149,120,430,0,0,3,13,3,4,12,38,19,50,0,0,3,8,10,26,17,37,40,86,3,3,333,875
POA2776,420,830,14,62,73,317,10,57,285,1142,379,1586,23,91,47,157,99,303,165,551,548,2135,0,8,9,32,4,12,64,163,70,206,12,42,27,57,69,145,110,241,179,448,11,27,1158,3446
POA2777,1866,3719,37,206,253,1182,61,271,1173,4649,1523,6308,158,627,233,785,433,1343,823,2751,2345,9063,4,22,60,215,12,42,208,547,293,834,31,88,86,178,243,514,355,777,651,1614,48,101,4903,14497
POA2778,290,580,5,24,30,149,5,34,137,551,186,764,24,83,41,150,58,178,123,413,308,1173,5,16,8,26,4,17,22,64,36,123,8,17,7,22,37,83,58,122,93,241,3,7,694,2011
POA2779,451,890,8,54,68,319,17,90,376,1486,473,1956,35,145,45,142,105,345,181,627,657,2582,4,17,14,55,10,26,85,242,117,344,10,30,36,75,71,151,118,260,236,600,6,18,1349,4091
POA2780,1381,2710,15,114,112,529,32,126,569,2139,730,2906,29,116,93,295,210,643,334,1063,1064,3967,4,19,34,118,33,99,258,654,327,891,19,60,65,148,246,506,333,717,656,1609,45,96,3154,8388
POA2782,787,1542,10,53,63,285,17,72,328,1271,421,1679,26,103,66,208,121,374,209,683,627,2359,0,0,18,83,10,40,83,227,113,352,6,19,22,54,73,153,106,230,217,580,11,30,1647,4509
POA2783,251,492,3,22,24,104,9,38,145,571,178,740,18,79,29,93,64,193,105,367,290,1098,3,9,4,16,4,27,55,160,72,215,6,16,8,24,47,101,66,141,137,352,8,12,677,1962
POA2784,127,255,0,19,15,76,4,18,82,311,98,414,8,31,19,47,27,91,51,172,150,584,0,0,3,13,0,6,20,44,26,66,3,9,7,24,12,21,24,59,54,120,3,7,337,967
POA2785,597,1160,3,10,27,123,4,15,238,924,271,1077,13,38,29,93,71,223,112,357,387,1433,0,9,21,59,5,15,100,246,125,320,5,13,21,38,80,155,99,203,220,523,12,27,1222,3136
POA2786,141,277,3,16,9,35,4,11,60,219,67,273,3,10,12,35,19,70,33,115,102,388,0,0,6,20,0,6,26,61,32,84,0,4,3,7,13,33,20,40,49,127,3,13,304,808
POA2787,539,1058,9,67,52,243,12,60,202,803,280,1168,21,72,23,66,84,257,125,398,404,1561,3,17,10,45,9,38,60,176,88,275,3,16,20,45,63,130,89,193,176,467,5,13,1125,3100
POA2790,1635,3263,22,148,136,629,47,225,704,2776,914,3772,55,227,100,320,349,1116,498,1659,1421,5435,10,49,55,201,26,114,312,849,413,1217,18,61,58,118,284,605,359,786,771,2000,54,110,3883,10807
POA2791,46,93,0,0,3,11,4,11,14,59,20,81,0,3,3,12,7,23,9,36,30,120,0,0,3,7,0,0,0,9,3,11,0,0,0,0,6,12,6,12,12,24,0,0,91,242
POA2792,52,105,0,6,9,32,3,9,18,82,28,129,0,7,0,7,3,16,10,27,39,153,0,0,0,0,0,0,3,3,0,6,0,4,0,0,7,11,6,16,12,22,0,3,107,280
POA2793,144,287,0,0,9,41,5,15,33,124,42,186,3,15,4,12,24,73,34,100,76,289,0,0,3,20,6,16,10,23,19,58,0,0,0,3,21,45,22,45,39,107,9,18,270,697
POA2794,1212,2407,15,84,87,432,39,183,497,2001,644,2703,44,168,59,182,227,709,334,1063,973,3768,6,25,37,115,23,75,212,608,279,832,17,46,39,84,146,309,200,442,478,1269,55,122,2724,7561
POA2795,4034,7977,84,445,530,2444,137,638,2440,9700,3180,13231,173,732,345,1107,751,2313,1267,4147,4453,17377,28,114,142,511,60,211,857,2353,1080,3195,57,195,173,373,538,1143,776,1713,1848,4903,136,276,10468,30532
POA2797,55,107,6,17,3,12,3,7,24,102,31,136,3,3,3,9,7,16,12,33,42,166,0,0,0,5,0,3,6,23,10,34,0,0,0,0,5,14,5,14,22,47,0,3,118,326
POA2798,236,455,3,23,34,163,9,29,164,701,214,910,4,26,25,73,35,99,60,200,269,1110,0,0,4,26,0,0,23,68,33,97,0,4,8,15,22,39,25,54,61,150,3,10,573,1726
POA2799,421,836,9,55,51,224,11,53,223,901,293,1235,28,124,26,87,90,285,143,491,438,1723,0,9,10,44,5,30,90,239,107,323,8,18,24,47,68,135,92,204,200,523,14,35,1075,3120
POA2800,4393,8687,86,485,503,2341,136,608,2895,11602,3618,15031,200,821,356,1157,768,2402,1329,4379,4945,19413,25,126,158,568,79,298,908,2502,1165,3497,51,168,169,375,623,1310,848,1848,2010,5347,129,273,11481,33719
POA2803,41,84,0,0,0,3,0,0,11,31,6,31,0,0,5,19,11,31,15,47,28,82,0,0,0,4,0,0,4,19,4,24,0,0,0,0,3,4,3,4,9,31,0,0,75,194
POA2804,300,592,5,17,26,136,4,24,140,587,175,767,12,44,22,74,42,128,76,240,254,1005,0,0,13,37,3,20,47,147,67,198,0,0,14,25,46,88,58,117,121,317,11,21,685,1931
POA2805,58,107,0,0,9,33,0,3,24,98,28,134,4,9,0,6,8,23,13,39,40,175,0,0,0,0,0,3,9,16,9,23,0,0,0,0,3,9,3,9,16,36,0,3,109,319
POA2806,116,228,0,3,0,10,3,13,36,139,40,168,0,7,11,21,22,61,30,92,68,258,0,0,0,0,0,0,14,41,14,41,0,3,0,0,15,28,16,30,22,69,3,3,215,560
POA2807,57,124,0,0,3,19,0,3,11,52,19,73,0,7,0,11,9,22,13,35,30,116,0,0,0,4,0,0,6,28,9,28,0,3,0,0,8,14,9,19,15,47,0,0,105,288
POA2808,33,59,0,9,0,8,0,0,3,10,5,22,0,0,0,7,5,11,6,21,14,43,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,12,7,12,7,8,3,3,53,122
POA2809,38,68,0,0,0,0,0,0,11,41,11,41,0,3,0,6,0,6,3,14,10,51,0,0,0,0,0,0,3,10,3,10,0,0,5,3,3,9,4,9,5,16,4,3,60,145
POA2810,429,855,7,38,30,122,8,35,162,675,207,861,10,29,17,55,52,163,78,240,283,1103,0,5,12,31,6,13,35,100,51,153,0,4,10,19,44,89,48,108,101,263,11,29,827,2251
POA2817,44,90,0,3,3,10,0,0,16,72,23,78,0,0,4,7,5,16,9,27,26,111,0,0,0,4,0,0,3,8,6,11,0,0,0,0,6,10,4,9,11,24,0,8,91,230
POA2818,93,180,0,0,7,29,3,13,66,271,74,310,3,18,7,24,17,52,32,86,101,400,3,6,0,0,0,3,7,31,15,41,4,4,8,13,16,27,22,44,34,88,3,3,228,670
POA2820,657,1306,12,61,54,264,22,96,279,1122,368,1546,30,98,47,140,113,345,187,586,547,2133,3,20,22,99,20,78,176,514,227,716,14,43,23,45,109,240,146,333,373,1051,33,74,1609,4559
POA2821,495,966,11,49,51,255,14,56,255,1045,329,1406,27,93,23,63,90,294,138,451,469,1852,4,13,19,77,10,39,125,397,156,525,5,24,12,27,77,148,91,196,252,728,19,40,1229,3585
POA2822,57,112,0,0,9,34,7,20,13,47,23,105,4,13,3,3,8,23,16,39,36,144,0,0,0,0,0,0,9,17,7,24,0,0,3,3,5,17,11,26,21,48,0,3,113,303
POA2823,158,304,3,13,18,75,0,4,59,253,82,337,8,28,6,25,26,71,38,122,118,457,0,5,8,27,0,8,34,98,40,132,0,11,5,10,16,34,19,54,62,190,11,17,345,974
POA2824,251,488,3,14,15,67,4,15,116,481,143,581,3,9,11,37,31,88,49,135,185,711,3,14,10,50,3,16,40,117,58,195,4,3,4,14,33,82,44,95,100,288,3,14,538,1505
POA2825,234,464,8,33,22,102,14,45,124,505,164,685,13,47,15,55,46,125,72,227,240,912,0,8,0,11,3,4,47,136,52,155,0,3,11,17,34,76,43,94,93,253,10,22,581,1646
POA2826,26,42,0,0,3,10,0,3,14,52,18,68,0,0,3,9,3,5,8,15,19,81,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,3,3,3,3,6,0,3,48,137
POA2827,437,868,4,26,32,146,17,71,164,680,217,926,7,20,29,81,55,172,89,269,304,1197,4,13,16,57,19,64,89,249,127,392,3,10,11,25,54,114,65,146,190,534,20,40,953,2636
POA2828,83,167,0,5,3,19,0,0,39,177,49,204,3,5,3,15,13,36,20,66,66,269,0,0,3,8,0,5,18,66,22,82,0,0,0,5,23,39,20,47,46,125,5,10,197,565
POA2829,287,577,11,45,19,90,14,49,124,497,163,681,7,25,13,44,52,155,72,222,239,902,0,10,10,40,12,63,92,288,116,393,6,4,11,21,48,99,64,125,179,522,12,37,721,2033
POA2830,3921,7758,72,383,427,2003,105,479,2418,9612,3027,12474,176,693,279,843,764,2377,1217,3911,4242,16382,25,124,140,487,83,317,971,2833,1215,3756,66,210,159,327,571,1232,798,1772,2012,5528,173,365,10356,30038
POA2831,230,452,3,9,19,68,11,65,125,489,153,628,10,31,10,32,35,102,53,165,210,794,3,10,5,21,0,3,31,83,36,119,0,7,0,3,27,52,28,58,65,179,0,3,501,1423
POA2832,206,419,4,10,15,59,15,72,115,474,148,615,0,5,0,5,34,105,40,118,187,729,5,21,9,34,12,64,81,287,109,407,3,3,4,12,46,103,56,117,167,528,20,47,584,1726
POA2833,52,109,3,11,4,29,3,7,34,143,41,191,0,0,4,5,6,20,10,26,53,214,0,0,0,13,0,0,22,71,24,82,0,3,0,0,11,28,14,35,41,114,4,12,149,444
POA2834,237,468,0,6,12,71,4,37,67,258,89,370,0,3,10,22,20,63,26,85,116,455,0,12,4,12,9,39,66,182,84,243,3,14,11,23,53,117,71,152,153,401,15,28,522,1359
POA2835,426,836,6,20,43,209,11,55,276,1097,337,1381,10,48,23,77,53,163,91,290,421,1670,0,3,8,20,0,8,74,216,83,246,0,5,8,19,57,122,69,143,155,389,11,25,1008,2922
POA2836,42,90,0,8,3,19,3,33,49,178,60,235,0,3,0,6,19,63,24,72,80,306,0,4,3,16,4,19,24,94,33,133,0,0,0,0,24,59,27,68,56,198,4,4,187,600
POA2838,16,36,0,0,3,9,0,4,14,58,15,72,0,0,0,3,8,12,4,19,22,91,0,0,7,11,0,11,8,29,14,50,0,0,0,3,9,17,9,22,24,71,0,3,67,198
POA2839,103,199,3,34,4,35,3,14,56,211,71,291,3,4,3,11,10,32,15,45,84,337,0,9,7,16,3,4,74,231,76,257,0,0,3,6,28,66,29,70,113,327,17,38,314,903
POA2840,207,405,3,8,22,96,10,44,141,557,175,711,13,36,8,23,27,95,48,161,220,868,0,3,4,27,9,35,64,213,79,276,3,5,4,5,49,109,53,114,131,390,13,25,573,1695
POA2842,77,157,0,0,10,40,0,5,35,133,42,182,0,3,0,0,6,25,12,31,54,210,0,0,3,5,3,11,12,35,14,51,0,6,6,8,4,14,13,28,26,72,3,7,166,453
POA2843,160,316,3,9,11,49,7,35,72,287,93,380,10,24,10,28,9,33,26,87,117,471,0,0,4,19,0,3,24,43,30,69,0,3,0,0,12,24,15,29,38,99,3,11,326,893
POA2844,172,346,0,8,19,85,3,10,58,251,86,350,3,15,10,26,19,51,32,90,114,442,3,11,3,15,3,3,24,67,30,102,0,0,4,13,15,26,20,36,48,133,4,8,344,927
POA2845,182,364,0,3,15,72,9,36,120,501,146,619,10,36,14,35,37,119,62,190,203,807,3,17,9,32,4,14,41,121,56,183,3,4,10,23,32,66,44,92,101,282,6,14,498,1462
POA2846,26,50,0,6,4,11,0,0,14,56,19,75,0,3,0,0,11,24,7,26,25,99,0,4,6,4,0,0,0,0,3,14,0,0,0,10,3,3,5,8,7,25,0,0,60,177
POA2847,268,529,0,11,21,94,6,28,102,414,131,548,19,79,17,54,61,184,98,320,228,865,3,6,9,27,3,4,35,116,50,153,7,11,8,24,46,103,64,144,110,296,10,22,615,1720
POA2848,174,342,3,14,17,96,3,20,60,238,89,364,6,28,11,34,20,69,41,130,129,493,0,7,8,22,4,8,40,105,45,140,0,0,3,13,32,73,38,84,86,221,7,9,391,1071
POA2849,206,409,0,6,14,51,3,25,85,333,99,408,6,19,7,29,19,59,35,103,136,513,0,0,3,11,0,0,24,60,22,70,0,9,7,11,30,49,31,72,59,138,4,6,403,1066
POA2850,1871,3687,23,121,173,771,67,294,1158,4612,1411,5805,51,187,112,354,314,957,478,1494,1887,7294,12,45,43,152,24,96,295,799,378,1096,22,55,53,113,218,456,294,630,673,1723,61,126,4493,12839
POA2852,359,721,3,35,34,155,10,32,213,852,257,1078,11,54,16,58,67,204,99,319,360,1399,0,3,6,27,0,9,72,206,81,241,3,12,11,30,40,81,54,122,138,366,12,22,865,2509
POA2864,95,193,0,8,8,48,3,10,59,235,73,299,4,19,9,26,19,52,32,96,102,396,0,0,0,4,0,13,8,23,11,40,0,4,3,3,7,13,9,20,25,57,3,8,227,651
POA2865,96,198,4,22,11,38,3,23,55,204,71,287,5,24,9,15,9,37,25,79,93,369,0,3,3,10,0,6,6,27,10,37,0,3,0,3,4,13,11,21,21,58,4,5,220,630
POA2866,315,622,13,66,42,186,17,83,208,868,276,1198,14,64,25,88,53,177,98,323,375,1525,0,3,8,32,3,9,48,134,59,173,0,6,8,16,28,67,42,88,104,267,9,12,801,2426
POA2867,82,161,0,7,3,27,0,3,44,173,47,207,0,3,5,9,18,45,21,60,64,266,0,0,0,0,0,3,8,40,9,43,0,0,0,0,7,9,7,9,17,50,0,3,163,483
POA2868,81,164,0,3,6,42,0,9,34,128,39,181,0,4,3,7,12,31,14,43,57,222,0,0,3,11,0,0,15,44,18,52,0,3,0,0,11,18,11,22,29,75,4,4,169,472
POA2869,163,318,3,21,6,44,3,24,54,224,75,305,3,4,3,19,42,123,47,155,120,460,0,5,3,10,4,26,26,71,35,104,3,4,10,22,35,64,43,93,76,199,10,19,372,995
POA2870,1195,2339,33,184,125,601,52,241,648,2651,855,3683,64,256,81,270,231,708,372,1227,1232,4910,8,47,46,170,19,77,251,712,331,1009,9,38,44,94,183,394,236,525,570,1534,30,60,3024,8846
POA2871,1037,2077,13,71,88,419,38,173,488,2008,626,2675,31,134,50,153,160,484,242,771,873,3448,7,30,31,114,7,20,173,519,219,684,16,40,28,62,145,303,187,401,403,1086,41,78,2347,6689
POA2873,77,147,0,0,9,15,0,10,37,135,42,159,0,0,3,8,4,16,9,25,53,188,0,0,0,6,0,0,0,0,0,6,0,0,0,4,11,19,13,20,15,27,0,0,135,363
POA2874,57,117,0,0,4,22,4,11,20,90,27,124,0,0,3,11,7,25,13,37,40,167,0,0,0,0,0,0,3,6,3,6,0,0,0,3,3,7,8,13,10,19,0,3,111,304
POA2875,118,231,7,26,9,34,4,11,49,215,65,283,0,5,7,14,22,55,26,82,92,363,0,3,0,0,0,0,17,48,19,53,0,0,3,7,16,36,23,42,36,95,3,3,245,694
POA2876,36,73,3,14,5,23,4,15,24,94,31,144,0,10,3,3,10,28,16,37,48,184,0,0,3,11,0,0,5,19,11,24,0,0,3,7,3,8,10,16,17,41,3,8,104,311
POA2877,385,755,4,18,22,115,5,41,257,1020,289,1191,12,50,17,48,62,193,91,293,380,1479,3,14,9,35,8,24,88,289,108,360,8,16,12,23,50,127,72,161,177,519,17,37,961,2798
POA2878,21,49,0,0,3,13,0,0,13,63,17,77,3,5,3,8,3,21,11,30,29,108,0,0,0,0,0,0,3,9,3,9,0,0,0,0,5,14,5,14,8,17,0,3,59,176
POA2879,57,114,0,0,3,18,0,8,26,110,35,138,0,0,0,3,5,23,8,24,41,162,0,0,5,17,4,18,10,27,14,60,3,4,4,5,18,38,20,53,35,112,0,3,142,393
POA2880,1981,3900,38,189,120,536,73,312,801,3051,1029,4090,50,197,78,239,381,1171,504,1605,1535,5695,16,90,77,265,40,143,479,1307,611,1809,23,77,64,143,374,789,458,1004,1069,2814,82,163,4668,12570
POA2898,50,93,0,0,3,10,0,0,23,79,25,85,0,0,3,11,6,16,11,31,35,115,0,0,0,0,0,0,3,3,3,3,0,0,0,0,4,8,4,8,7,10,0,3,87,219
