POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2621,644,1263,7,49,95,438,24,106,494,1919,622,2511,38,152,82,265,137,454,261,877,887,3389,3,5,12,39,4,13,61,156,78,219,3,15,27,57,44,88,72,155,153,378,6,14,1691,5047
POA2622,517,1001,5,15,28,136,12,67,193,765,245,988,16,62,38,111,67,205,117,374,361,1363,0,3,7,23,4,7,63,157,72,193,3,9,8,15,39,84,51,109,129,300,5,6,1005,2677
POA2623,63,119,0,0,7,30,3,10,42,168,50,204,3,15,3,3,12,32,18,47,64,255,0,0,3,7,3,5,15,32,13,43,0,0,0,0,9,14,9,14,23,58,0,0,153,438
POA2625,30,55,0,0,0,3,0,0,14,52,15,56,0,0,0,0,4,6,7,10,19,65,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,3,0,3,48,124
POA2626,66,122,0,0,7,34,0,0,26,127,35,164,8,24,6,18,9,39,25,82,59,242,0,0,0,3,0,0,3,9,4,13,0,0,0,0,0,0,0,0,4,13,0,0,130,385
POA2627,445,865,4,25,47,197,10,33,303,1148,356,1401,16,71,35,103,46,150,100,321,455,1714,0,5,10,37,0,3,54,127,63,174,3,12,23,47,42,85,66,143,133,314,10,22,1049,2913
POA2628,218,431,4,18,26,115,3,20,128,504,166,654,9,37,16,43,35,113,61,187,220,841,0,0,0,5,0,0,30,76,31,74,0,3,8,13,23,48,34,66,61,143,5,11,508,1423
POA2629,96,193,0,0,3,11,0,0,18,81,21,95,0,4,0,5,6,24,10,30,32,128,0,0,0,0,0,3,3,7,3,10,0,0,3,5,3,9,8,10,7,20,0,0,141,337
POA2630,1021,1995,16,82,74,326,21,92,419,1653,522,2165,40,171,71,222,158,490,273,877,795,3044,3,17,22,72,13,55,148,413,189,561,13,31,35,78,144,303,194,414,379,971,24,56,2229,6058
POA2631,79,159,3,17,9,33,0,0,25,106,37,154,3,8,3,14,9,25,17,43,49,197,0,0,3,13,0,0,3,20,8,34,0,5,0,0,11,24,12,30,19,64,0,3,152,420
