POA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA2396,364,345,711,125,55,178,22,65,80,12,9,27,17,13,31,170,142,312,171,185,351,10,9.2,9.9,46.7,41.2,43.9,43.7,37.4,40.1,0,3,4,0,5,5,12,28,36,9,19,28,71,36,110,5,11,14,11,7,14,89,57,145,359,331,694,46,56,95,290,248,539,100,123,227
POA2397,153,139,289,73,36,113,13,39,54,7,5,12,9,0,7,105,77,180,24,39,71,8.6,0,3.9,68.6,55.4,62.3,60.8,57.6,61.9,0,3,3,0,0,0,10,16,26,5,9,19,16,17,36,0,0,3,0,3,3,16,20,36,155,132,290,20,20,38,121,101,228,40,40,81
POA2398,103,92,192,65,29,90,9,23,33,3,4,5,0,0,7,80,58,138,16,22,40,0,0,5.1,77.7,63,71.9,74.8,60.9,66.7,0,0,0,0,3,3,7,5,14,3,14,16,22,8,31,0,0,0,0,3,3,25,12,38,107,87,194,13,3,17,82,74,152,26,15,40
POA2399,247,215,469,122,61,180,16,43,58,12,12,27,0,3,6,161,115,271,56,69,123,0,2.6,2.2,65.2,53.5,57.8,60.7,54,56.5,0,3,0,0,3,3,13,24,36,14,11,30,53,21,79,3,3,8,0,5,9,61,32,91,236,215,454,19,15,32,181,163,343,60,52,109
POA2400,3947,3983,7925,1884,1071,2955,287,792,1085,126,157,275,160,130,293,2460,2146,4609,977,1351,2323,6.5,6.1,6.4,62.3,53.9,58.2,58.2,50.7,54.4,41,52,93,20,56,79,234,430,665,174,341,513,899,413,1311,29,75,105,49,101,147,972,591,1567,3707,3653,7359,565,654,1223,2599,2452,5056,1382,1525,2906
POA2401,125,126,253,74,40,111,7,28,34,6,8,11,0,6,6,89,84,166,23,30,56,0,7.1,3.6,71.2,66.7,65.6,69.6,60.3,61.7,0,0,0,0,0,0,10,23,32,3,16,21,28,17,38,0,0,0,0,0,0,24,18,43,119,121,242,16,20,36,95,89,183,44,40,80
POA2402,723,743,1464,261,131,392,69,150,216,21,25,47,19,22,43,367,334,699,285,350,637,5.2,6.6,6.2,50.8,45,47.7,48.5,41.2,44.7,4,3,9,3,11,17,32,57,92,21,56,82,157,82,241,11,10,15,3,17,21,172,110,282,695,683,1381,114,116,233,504,493,998,251,272,519
POA2403,288,263,551,128,55,187,28,58,90,8,6,15,5,8,20,168,139,310,87,100,191,3,5.8,6.5,58.3,52.9,56.3,56.9,45.2,53,3,0,4,3,5,11,11,23,33,10,19,30,68,38,106,7,3,8,7,7,15,81,51,132,304,257,556,42,36,75,235,211,445,80,65,149
POA2404,769,811,1579,254,141,396,65,144,212,21,24,42,15,19,34,363,322,682,326,399,721,4.1,5.9,5,47.2,39.7,43.2,44.2,38.1,41.2,3,6,10,3,11,9,35,65,95,30,68,98,155,90,244,7,17,23,13,23,37,178,126,298,686,708,1394,85,112,200,504,527,1039,227,263,493
POA2405,218,186,405,126,65,196,13,35,53,11,7,21,3,3,3,157,113,271,40,52,90,1.9,2.7,1.1,72,60.8,66.9,68.8,57.5,66.7,4,3,5,0,3,4,8,16,29,14,24,34,37,18,61,0,0,0,0,8,7,44,24,70,210,176,387,32,26,62,165,137,297,70,67,134
POA2406,311,297,610,157,78,233,24,69,94,6,15,19,21,8,24,205,166,375,85,101,181,10.2,4.8,6.4,65.9,55.9,61.5,60.1,54.5,56.7,3,5,7,3,6,8,11,42,49,19,29,49,61,36,97,5,10,13,3,0,3,74,38,115,306,273,574,62,61,126,215,183,404,125,124,253
POA2408,153,134,292,109,36,143,4,33,35,6,9,12,3,3,4,119,76,204,14,47,56,2.5,3.9,2,77.8,56.7,69.9,77.8,58.2,65.1,0,4,4,0,4,4,9,20,25,20,18,36,18,15,36,0,0,0,0,4,9,27,17,44,157,135,294,17,15,34,118,87,203,46,56,99
POA2409,393,369,765,119,54,168,23,58,86,12,11,18,24,22,51,176,141,323,167,195,362,13.6,15.6,15.8,44.8,38.2,42.2,39.2,33.3,35.6,0,3,3,0,7,7,19,32,44,14,27,35,38,35,78,3,5,7,3,4,4,44,46,94,393,411,802,59,57,118,328,331,658,104,97,206
POA2410,120,100,223,53,26,86,10,18,28,6,4,8,4,7,8,73,54,133,35,36,68,5.5,13,6,60.8,54,59.6,57.5,48,54.7,0,0,3,0,5,5,4,13,18,4,7,11,19,9,29,3,5,6,3,3,6,25,19,44,115,102,218,13,17,31,92,73,156,36,38,72
POA2411,46,43,92,28,12,46,3,18,20,3,0,4,0,0,0,39,31,67,7,5,11,0,0,0,84.8,72.1,72.8,73.9,69.8,76.1,0,0,3,0,0,0,7,4,13,4,6,9,8,9,13,0,3,3,0,0,0,6,6,17,45,39,88,10,8,17,29,34,61,25,8,36
POA2415,158,156,315,56,36,95,17,35,49,4,5,11,7,5,12,88,87,171,62,53,115,8,5.7,7,55.7,55.8,54.3,48.7,48.7,49.2,3,3,9,0,0,0,6,15,21,10,18,30,52,24,77,0,3,5,0,3,6,58,35,91,155,150,303,22,20,39,113,104,222,59,60,113
POA2420,1640,1706,3342,567,299,869,211,383,588,59,52,111,63,36,97,895,771,1671,584,776,1361,7,4.7,5.8,54.6,45.2,50,51,43,46.9,28,30,64,11,32,47,102,185,290,84,183,264,457,192,652,12,32,46,36,58,93,508,284,788,1588,1630,3210,201,206,408,1218,1192,2412,482,555,1031
POA2421,725,730,1449,345,178,521,106,237,344,25,18,42,18,23,46,493,454,953,194,236,429,3.7,5.1,4.8,68,62.2,65.8,65.7,59.3,62.6,13,15,24,6,11,16,61,99,160,64,99,163,258,116,369,6,13,18,9,27,30,274,151,421,755,749,1508,97,107,206,531,504,1035,289,311,597
POA2422,2196,2287,4484,725,307,1031,273,497,766,66,66,126,85,69,154,1145,935,2080,893,1190,2076,7.4,7.4,7.4,52.1,40.9,46.4,48.5,38,42.9,29,20,48,17,43,57,141,219,360,134,211,341,589,243,829,19,45,65,52,80,139,663,364,1031,2082,2086,4165,327,358,683,1528,1529,3060,753,825,1572
POA2423,1319,1245,2568,363,163,532,162,291,448,39,40,83,50,29,81,619,524,1143,594,610,1204,8.1,5.5,7.1,46.9,42.1,44.5,42.8,39.7,41.4,24,19,38,11,18,29,60,96,159,70,101,172,388,140,528,7,30,39,24,42,62,418,210,626,1166,1103,2261,207,198,405,881,810,1688,451,449,903
POA2424,186,163,346,55,17,74,17,36,58,11,9,19,14,14,26,98,74,165,71,71,141,14.3,18.9,15.8,52.7,45.4,47.7,44.6,38,43.6,0,0,3,0,3,7,3,17,25,7,19,21,52,15,71,3,5,4,0,3,7,55,21,82,188,148,335,20,15,38,146,104,251,55,60,117
POA2425,707,738,1443,313,153,460,69,182,249,19,14,36,22,25,52,420,368,790,247,330,580,5.2,6.8,6.6,59.4,49.9,54.7,56.7,47.3,51.6,13,6,24,3,14,15,37,71,101,47,65,109,210,107,314,9,13,17,6,24,33,222,143,364,698,727,1427,112,109,216,523,536,1064,256,274,531
POA2426,297,295,594,77,44,118,39,72,111,9,7,21,24,15,37,152,131,281,118,129,249,15.8,11.5,13.2,51.2,44.4,47.3,42.1,41.7,42.1,0,0,0,0,5,5,10,23,26,16,25,36,89,46,140,0,6,6,3,10,15,98,64,156,282,278,558,41,46,82,203,197,400,99,113,209
POA2427,1406,1408,2814,242,141,390,108,230,338,25,29,51,61,43,102,436,442,883,893,890,1783,14,9.7,11.6,31,31.4,31.4,26.7,28.4,27.7,17,13,23,6,16,21,49,116,161,80,121,204,445,142,589,8,24,40,41,59,102,495,230,727,1199,1188,2392,249,260,508,729,696,1421,689,715,1408
POA2428,9919,10842,20760,2254,1408,3661,1130,2058,3190,255,279,534,399,302,702,4037,4044,8082,5091,5952,11047,9.9,7.5,8.7,40.7,37.3,38.9,36.7,34.5,35.6,153,143,292,85,141,219,622,898,1519,638,994,1630,2970,1253,4223,106,209,316,195,400,595,3269,1860,5130,8730,9379,18109,1683,1835,3510,5777,6176,11956,4268,4695,8969
POA2429,3924,4189,8111,1193,699,1893,458,920,1377,188,138,324,186,154,339,2021,1910,3939,1579,1958,3538,9.2,8.1,8.6,51.5,45.6,48.6,46.9,41.9,44.3,53,63,115,24,74,92,219,343,560,185,401,587,1097,592,1683,51,90,139,79,148,223,1221,825,2049,3784,3972,7757,493,538,1026,2697,2751,5442,1397,1581,2973
POA2430,13382,14708,28094,3847,2282,6135,1591,3073,4663,387,401,789,693,545,1235,6524,6301,12822,5941,7410,13350,10.6,8.6,9.6,48.8,42.8,45.6,43.5,39.1,41.2,207,197,412,131,238,371,824,1272,2093,753,1521,2276,3753,1893,5645,174,330,507,306,555,860,4235,2781,7011,12660,13590,26258,2317,2429,4743,8398,9001,17394,5869,6382,12247
POA2431,2177,2276,4451,506,333,837,205,408,614,72,69,139,78,61,136,860,866,1726,1185,1273,2458,9.1,7,7.9,39.5,38,38.8,36,35.6,35.7,19,27,49,11,29,42,125,190,321,125,200,327,700,278,979,21,39,57,41,89,135,765,403,1171,1930,1972,3903,378,401,782,1368,1393,2758,854,919,1771
POA2439,1189,1249,2441,350,186,536,134,296,428,35,32,68,43,35,79,558,550,1107,515,580,1098,7.7,6.4,7.1,46.9,44,45.4,43.7,41.2,42.3,20,16,39,11,22,31,86,125,207,77,146,221,403,152,558,11,33,36,26,50,76,439,235,678,1053,1113,2164,222,243,461,756,782,1538,456,522,978
POA2440,8912,8919,17832,2352,1349,3706,1017,1901,2924,302,279,579,402,292,689,4075,3827,7901,3989,4216,8213,9.9,7.6,8.7,45.7,42.9,44.3,41.2,39.6,40.4,68,101,172,50,106,157,377,682,1057,351,707,1063,2299,1215,3514,125,196,324,154,289,444,2578,1704,4284,8043,8267,16309,1177,1291,2466,5911,5937,11843,2846,3110,5952
POA2441,1876,1724,3600,574,303,876,243,407,644,71,57,125,100,64,164,985,836,1815,685,714,1404,10.2,7.7,9,52.5,48.5,50.4,47.3,44.5,45.7,22,32,49,11,22,31,112,175,286,93,195,297,572,244,812,26,44,74,36,46,79,633,336,964,1725,1584,3306,250,257,506,1240,1111,2350,667,666,1334
POA2443,3841,4043,7888,787,467,1256,393,670,1061,88,83,178,154,118,271,1421,1344,2763,2103,2365,4468,10.8,8.8,9.8,37,33.2,35,33,30.2,31.6,53,59,112,34,57,95,211,297,508,213,354,566,1191,443,1635,33,80,118,79,163,245,1301,691,1995,3401,3482,6885,521,578,1096,2375,2461,4836,1463,1516,2982
POA2444,17996,20596,38593,6207,4004,10219,2264,4587,6852,436,486,923,681,572,1255,9590,9654,19244,7233,9680,16913,7.1,5.9,6.5,53.3,46.9,49.9,49.5,44.1,46.6,492,467,968,234,401,640,1787,2440,4231,1441,2301,3744,4894,2551,7440,176,387,562,351,727,1077,5421,3660,9081,16466,18370,34836,3419,3742,7161,9996,11161,21154,9248,10270,19521
POA2445,2582,2761,5350,888,508,1397,325,691,1010,55,80,133,86,72,159,1352,1349,2700,1109,1304,2416,6.4,5.3,5.9,52.4,48.9,50.5,49.1,46.3,47.5,48,55,104,23,56,82,235,345,578,199,333,535,876,372,1247,21,55,78,46,99,148,948,530,1476,2521,2663,5188,388,414,804,1678,1764,3447,1163,1256,2420
POA2446,5135,5578,10716,1894,1075,2974,576,1302,1886,168,178,343,205,172,379,2844,2735,5585,1905,2459,4367,7.2,6.3,6.8,55.4,49,52.1,51.4,45.8,48.6,52,77,130,48,101,149,305,554,862,280,558,832,1563,855,2416,70,131,202,78,191,274,1713,1174,2888,4999,5317,10320,833,934,1768,3418,3531,6950,2138,2429,4563
POA2447,2911,2987,5901,860,472,1336,380,652,1030,86,92,177,138,86,226,1464,1302,2768,1199,1446,2649,9.4,6.6,8.2,50.3,43.6,46.9,45.6,40.7,43.1,33,43,72,21,61,81,188,264,454,134,299,438,858,428,1285,34,70,105,50,106,159,940,605,1548,2801,2841,5645,388,401,791,2009,2072,4082,1051,1056,2108
POA2448,3638,4052,7694,802,538,1340,447,739,1179,92,94,194,165,125,290,1502,1493,2997,1818,2217,4031,11,8.4,9.7,41.3,36.8,39,36.9,33.8,35.3,53,59,110,45,61,103,249,379,627,218,370,589,1011,481,1489,34,78,110,86,152,239,1128,710,1840,3263,3543,6808,606,692,1295,2217,2393,4611,1471,1679,3144
POA2449,901,872,1771,204,108,315,128,218,347,21,19,42,32,34,72,394,377,768,439,433,869,8.1,9,9.4,43.7,43.2,43.4,39.2,39.6,39.8,11,12,17,10,16,24,50,75,127,36,72,112,233,119,352,17,18,38,7,30,44,266,168,429,906,827,1729,124,133,254,679,626,1305,288,295,586
POA2450,17230,18666,35888,6182,3791,9966,2414,4638,7057,449,521,969,758,575,1326,9799,9522,19325,5915,7526,13444,7.7,6,6.9,56.9,51,53.8,52.5,47.9,50.1,400,390,782,213,338,550,1602,2424,4026,1188,2130,3318,4654,2333,6991,213,422,632,286,592,875,5148,3346,8501,15574,16566,32141,3389,3702,7093,10055,10417,20476,8237,9143,17382
POA2452,5746,6551,12295,2007,1279,3286,790,1625,2417,148,151,297,289,274,565,3235,3326,6565,2183,2868,5053,8.9,8.2,8.6,56.3,50.8,53.4,51.3,46.6,48.8,107,132,245,58,139,193,458,760,1219,384,679,1064,1634,891,2526,84,149,237,132,235,366,1845,1278,3124,5642,6103,11744,961,1120,2081,3763,4074,7836,2585,2959,5547
POA2453,1145,1203,2350,369,163,534,160,307,466,37,37,78,50,35,80,617,540,1158,442,582,1024,8.1,6.5,6.9,53.9,44.9,49.3,49.4,42.1,45.9,17,27,43,14,37,45,79,144,227,55,116,174,287,147,434,14,25,38,28,34,58,325,197,526,1084,1133,2215,169,157,327,857,837,1687,354,412,773
POA2454,2903,3160,6066,887,554,1438,526,847,1365,72,104,181,128,97,226,1620,1599,3213,1090,1374,2464,7.9,6.1,7,55.8,50.6,53,51.2,47.6,49.2,101,153,251,47,100,148,373,637,1009,254,394,644,775,331,1107,40,54,90,52,109,159,865,497,1358,2849,3047,5897,492,564,1056,1942,2029,3966,1253,1420,2676
POA2455,1297,1314,2609,338,208,547,191,288,477,25,31,56,65,38,97,618,563,1175,576,649,1225,10.5,6.7,8.3,47.6,42.8,45,42.7,40.1,41.4,17,21,36,13,30,42,85,147,233,76,127,201,373,160,529,10,20,31,23,34,62,406,218,622,1102,1134,2230,231,240,468,791,796,1590,503,529,1037
POA2456,5892,6145,12043,2041,1168,3203,833,1525,2360,149,189,337,273,207,482,3291,3085,6381,2149,2613,4763,8.3,6.7,7.6,55.9,50.2,53,51.3,46.9,49,95,124,217,75,123,199,586,819,1408,418,683,1096,1657,695,2352,39,122,164,99,189,288,1795,1006,2803,5559,5630,11183,997,1078,2070,3667,3728,7395,2587,2761,5345
POA2460,11677,12297,23976,3737,2130,5872,1344,2590,3936,297,326,623,606,499,1105,5976,5550,11531,4843,5860,10702,10.1,9,9.6,51.2,45.1,48.1,46.1,41,43.5,144,142,284,92,148,245,593,1074,1667,596,1008,1606,3096,1765,4862,150,253,403,221,422,639,3467,2441,5910,11030,11471,22503,1768,1890,3656,7778,8036,15815,4400,4823,9226
POA2462,1078,999,2073,291,142,438,129,238,364,43,22,70,58,47,100,521,450,973,461,487,951,11.1,10.4,10.3,48.3,45,46.9,42.9,40.2,42.1,19,18,32,14,14,32,40,73,114,61,65,126,277,151,426,15,18,29,18,37,59,307,207,512,992,914,1908,145,154,301,787,718,1507,303,317,621
POA2463,3091,3294,6380,875,441,1311,388,748,1132,85,89,176,130,88,222,1477,1364,2839,1393,1692,3085,8.8,6.5,7.8,47.8,41.4,44.5,43.6,38.8,41.1,47,55,96,29,60,89,192,288,479,170,299,471,993,423,1417,34,86,120,61,134,190,1078,638,1724,2905,3025,5929,475,508,983,2057,2127,4185,1195,1285,2481
POA2464,2814,3059,5878,688,421,1112,329,618,952,85,88,168,102,64,168,1208,1195,2399,1396,1650,3045,8.4,5.4,7,42.9,39.1,40.8,39.2,36.8,38,61,63,120,41,52,95,249,357,606,204,299,502,772,359,1132,26,38,65,53,115,170,851,510,1368,2464,2610,5073,487,511,1007,1678,1761,3437,1176,1283,2460
POA2465,134,116,251,41,19,62,16,33,55,6,3,9,5,9,11,78,61,134,46,47,93,6.4,14.8,8.2,58.2,52.6,53.4,47,47.4,50.2,0,0,0,0,3,8,5,8,19,3,7,13,50,18,71,3,3,4,0,6,11,60,26,83,111,110,225,24,20,42,91,79,167,45,46,90
POA2466,782,758,1542,106,71,175,72,119,188,13,8,28,24,17,38,219,213,423,498,495,992,11,8,9,28,28.1,27.4,24.4,26.1,25.4,10,6,12,0,14,12,27,48,78,40,75,113,228,79,308,3,10,17,26,20,44,253,112,363,671,658,1325,121,133,252,502,467,973,272,295,568
POA2469,1851,1617,3470,479,213,690,215,308,520,40,30,78,77,55,131,813,606,1415,839,844,1687,9.5,9.1,9.3,43.9,37.5,40.8,39.7,34.1,37.1,19,28,44,16,23,36,83,140,221,85,149,229,445,182,633,15,39,59,29,40,62,490,260,751,1630,1475,3105,235,214,449,1237,1128,2368,578,508,1093
POA2470,5882,6271,12155,1940,1096,3037,814,1316,2135,154,204,351,270,220,489,3178,2837,6011,2253,2984,5236,8.5,7.8,8.1,54,45.2,49.5,49.4,41.7,45.4,39,44,85,30,53,82,229,421,649,198,474,669,1511,919,2436,75,170,241,97,171,265,1686,1256,2942,5777,5994,11773,979,1010,1992,4164,4300,8458,2198,2336,4533
POA2471,996,1016,2016,350,203,550,112,244,354,31,27,56,38,29,63,528,498,1028,363,421,783,7.2,5.8,6.1,53,49,51,49.5,46.7,47.6,3,7,14,8,13,20,38,84,119,47,95,136,278,120,398,8,18,34,25,28,55,315,172,486,985,1021,2004,107,118,228,706,726,1438,328,347,674
POA2472,815,705,1518,272,138,409,108,169,278,23,28,50,39,19,60,438,353,789,286,281,571,8.9,5.4,7.6,53.7,50.1,52,49.4,47.5,48.6,9,11,17,6,8,16,28,66,98,40,55,93,252,100,357,7,12,18,19,29,43,282,141,420,760,672,1428,107,105,210,532,473,1005,288,257,544
POA2473,1305,1336,2646,349,232,576,170,288,459,35,32,66,50,31,82,603,579,1182,594,639,1234,8.3,5.4,6.9,46.2,43.3,44.7,42.5,41.3,41.6,22,19,50,11,22,29,78,141,213,73,122,194,366,166,529,11,22,34,14,36,57,398,223,625,1178,1187,2363,181,219,394,788,770,1561,546,577,1127
POA2474,2651,2643,5298,803,433,1236,332,580,909,85,67,158,121,96,214,1342,1168,2512,1047,1248,2297,9,8.2,8.5,50.6,44.2,47.4,46,40.9,43.5,36,38,77,20,49,68,172,283,447,133,254,393,613,329,944,28,49,80,54,91,146,693,475,1168,2459,2445,4911,337,362,703,1862,1790,3652,798,899,1699
POA2475,159,160,319,36,22,61,14,26,37,11,3,11,5,7,11,70,57,122,65,76,136,7.1,12.3,9,44,35.6,38.2,38.4,31.9,34.2,0,3,3,0,0,0,8,11,14,8,12,11,26,12,43,3,5,7,3,6,6,33,22,56,146,140,281,18,14,31,100,95,192,60,46,108
