POA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA2119,836,1814,254,32,2941,346,31,3319,14,10,0,0,27,14,0,42,25,34,6,0,64,15,0,85,42,40,7,0,90,31,0,123,6,16,6,0,30,19,0,49,33,7,3,0,43,36,0,81,25,0,0,4,33,10,0,40,0,0,0,0,0,0,0,3,69,28,13,4,104,65,3,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,4,0,0,0,0,5,0,0,6,944,1887,278,39,3146,445,39,3625
POA2120,1332,2841,450,63,4688,641,91,5422,48,35,24,3,112,112,3,224,124,225,84,3,431,112,14,564,168,261,111,3,548,220,17,789,3,16,3,0,24,62,0,80,37,35,3,0,78,48,6,132,29,21,3,0,60,69,0,136,3,0,0,0,3,9,0,9,78,70,16,0,163,189,14,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,5,4,0,9,3,7,0,0,5,4,0,9,3,6,0,0,8,4,3,22,1584,3184,572,71,5416,1063,124,6600
POA2121,1326,2978,492,51,4840,656,190,5684,50,106,28,3,191,65,8,263,166,351,90,11,613,115,37,758,214,459,115,13,804,184,40,1022,23,23,6,4,51,73,3,125,252,439,141,32,862,309,125,1292,312,364,99,18,792,193,129,1114,0,0,0,0,0,4,0,4,579,827,244,49,1711,569,254,2535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,5,0,3,0,0,4,0,3,5,4,9,0,0,15,5,0,23,2126,4272,848,121,7366,1417,491,9272
POA2122,1144,2225,452,77,3898,678,318,4888,185,302,88,8,581,246,43,866,538,745,198,38,1522,701,174,2395,721,1046,288,44,2103,948,209,3257,41,42,17,6,104,92,18,219,408,450,160,38,1058,493,211,1765,109,95,39,13,258,99,51,409,3,3,0,0,3,3,0,7,564,591,216,54,1433,687,277,2394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,25,10,6,41,11,10,0,0,23,10,6,42,15,15,4,0,28,45,5,77,2449,3888,966,175,7480,2367,822,10663
POA2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2125,1183,2648,307,33,4172,406,36,4609,20,7,3,0,32,30,3,61,71,115,31,5,220,83,6,304,90,125,29,5,248,113,5,366,15,9,3,0,29,35,3,66,6,0,0,0,7,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,21,9,4,0,37,46,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,3,0,0,4,0,0,4,1294,2792,345,39,4462,564,42,5070
POA2126,1081,2820,396,35,4325,327,25,4677,39,42,17,3,95,71,0,161,111,389,114,3,614,136,8,761,150,430,128,7,714,201,10,921,52,3,4,0,59,122,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,52,4,4,0,60,124,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,3,0,0,3,0,0,6,0,9,3,0,8,0,0,9,1280,3259,525,40,5112,650,35,5797
POA2127,110,450,42,13,611,36,8,655,0,0,0,0,0,0,0,0,91,251,31,3,382,26,7,415,91,251,31,3,382,26,7,415,0,3,0,0,4,0,0,4,85,97,26,0,212,69,21,296,1450,904,282,75,2711,1181,254,4152,0,0,0,0,0,0,0,0,1536,1009,309,75,2924,1251,279,4454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,13,1737,1709,389,84,3924,1315,293,5531
POA2128,47,111,28,10,194,39,16,246,0,0,0,0,4,0,0,4,30,61,14,3,105,19,18,142,29,64,14,3,108,19,19,146,9,16,7,0,24,3,4,34,19,19,3,0,44,17,4,65,81,76,17,5,183,84,20,286,0,0,0,0,0,0,0,0,112,106,28,4,256,104,29,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,283,69,19,554,153,59,770
POA2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2130,142,263,60,5,466,72,28,565,58,106,20,4,193,60,12,264,50,65,13,8,135,50,14,198,115,167,38,9,319,115,23,462,256,182,72,18,530,372,100,1011,183,106,44,10,342,267,85,692,40,32,9,0,83,39,13,137,0,0,0,0,0,0,0,3,484,320,127,36,964,676,199,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,3,0,0,4,0,0,4,0,0,0,0,5,4,3,7,734,753,223,51,1758,869,248,2879
POA2131,447,845,222,41,1546,297,135,1983,87,99,44,11,243,83,20,349,70,102,46,5,227,55,38,325,164,205,96,13,475,143,59,676,415,309,144,40,917,528,180,1622,887,723,254,79,1941,935,304,3180,234,213,65,25,542,188,126,848,3,4,3,0,12,3,6,15,1544,1253,463,139,3412,1650,616,5671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,3,0,25,7,10,39,14,5,3,0,24,7,10,42,19,3,0,3,31,142,8,179,2187,2319,786,195,5492,2225,827,8546
POA2132,426,926,222,23,1594,286,76,1952,80,118,32,6,230,73,18,323,43,104,31,0,186,19,15,221,123,225,65,11,423,93,32,545,70,81,30,7,185,163,28,368,54,44,25,3,128,69,14,203,82,79,44,6,214,106,14,341,3,0,0,0,6,0,0,9,207,205,107,10,529,339,56,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,0,18,15,0,32,8,9,3,0,18,15,0,32,0,8,0,0,12,3,4,19,761,1369,396,49,2572,729,164,3472
POA2133,357,834,201,33,1424,271,42,1735,63,131,32,0,235,68,10,313,157,396,104,14,670,103,23,796,224,527,139,15,898,178,37,1112,134,101,60,7,300,252,26,575,58,70,39,3,169,106,14,287,28,16,14,7,66,38,4,111,3,0,0,0,3,0,0,6,225,186,112,12,536,397,47,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,6,5,0,16,0,8,3,0,10,5,0,17,0,12,0,0,13,3,0,20,809,1563,450,61,2884,846,123,3856
