POA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
POA2000,0,0,100,108,19,16,7,0,0,247,0,0,0,7,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,4,3,5,94,298,42,34,20,13,3,505,51,41,370,1034,175,110,83,27,12,1903,342,259,3021,7383,1003,763,548,213,74,13597,0,0,0,3,0,0,0,0,0,3,510,312,527,1589,585,525,418,188,67,4715,0,0,3,26,0,0,0,0,0,31,0,0,0,10,0,5,0,0,0,16,0,0,6,12,0,4,0,0,0,24,0,3,12,44,7,5,3,0,0,80,0,0,3,25,11,0,0,0,0,41,10,57,1305,1453,299,235,109,43,20,3536,0,0,0,13,3,3,3,0,0,23,0,5,0,17,5,9,3,6,0,47,7,6,84,283,90,72,51,27,7,625,0,0,0,22,4,0,4,3,0,33,0,5,52,126,6,4,3,0,0,201,0,0,20,63,3,11,17,5,0,119
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,54,3,0,0,0,0,0,61,0,6,660,36,9,3,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,14,786,27,8,6,0,0,0,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,3,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
POA2007,0,0,22,39,3,5,0,0,4,74,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,75,118,13,6,3,0,0,219,16,15,182,245,24,23,11,10,3,535,87,82,1969,1863,219,176,90,69,31,4592,0,0,0,3,0,0,0,0,0,3,147,120,423,577,119,87,55,24,3,1557,0,0,17,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,8,0,0,5,23,3,0,0,0,0,26,0,0,0,8,0,0,0,0,0,12,4,7,1653,672,98,71,51,43,17,2629,0,0,0,7,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,4,0,0,36,84,22,12,9,3,0,166,0,0,4,7,0,0,0,0,0,15,0,0,37,56,3,0,0,0,0,100,0,0,9,27,3,3,0,0,0,42
POA2008,0,0,37,41,6,10,3,0,0,101,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,66,164,14,4,5,0,0,253,7,8,270,293,38,21,13,3,0,657,100,84,2742,2490,304,203,111,35,13,6089,0,0,0,0,0,0,0,0,0,0,179,148,671,1511,298,210,113,32,8,3170,0,0,15,10,0,0,0,0,0,24,0,0,0,5,3,0,0,0,0,12,0,0,7,3,0,0,0,0,0,10,0,0,27,45,0,0,0,0,0,80,0,0,0,19,4,0,0,0,0,21,5,23,2049,716,56,39,10,6,4,2905,0,0,0,3,0,0,0,0,3,8,0,0,0,3,0,0,0,0,0,3,0,0,48,155,38,29,17,7,0,292,0,0,3,10,3,0,0,0,0,18,0,0,24,56,3,0,0,0,0,88,0,0,10,31,3,3,3,0,0,53
POA2009,0,0,11,41,16,9,6,0,0,83,0,0,0,4,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,6,4,0,80,339,36,30,10,3,3,507,25,20,81,284,66,77,32,21,3,612,308,287,731,3108,659,670,396,142,37,6332,0,0,0,3,0,0,0,0,0,3,501,446,448,1777,516,509,370,110,30,4706,0,0,0,4,0,0,0,0,0,4,0,0,3,7,3,3,0,0,0,13,0,0,0,5,0,0,0,4,0,10,0,0,8,27,3,9,0,0,0,48,0,0,3,22,3,3,3,0,0,35,5,24,139,397,125,119,60,35,11,907,0,0,0,8,3,0,3,0,0,15,0,0,0,9,0,8,3,0,0,23,0,3,56,321,92,74,54,28,3,625,0,0,0,14,3,5,3,0,0,25,0,0,37,110,4,4,0,0,0,152,0,0,7,21,10,4,8,0,0,50
POA2010,0,0,17,55,9,12,13,4,0,113,0,0,0,14,3,4,0,0,0,21,0,0,0,3,4,0,0,0,0,8,3,9,81,496,59,26,37,43,20,769,54,43,173,861,156,143,80,48,19,1568,355,346,1316,6528,1183,921,593,342,177,11761,0,0,0,6,0,0,0,0,0,9,550,496,1111,6065,1624,1148,619,252,121,11993,0,0,3,27,0,0,0,0,0,36,0,0,0,11,3,0,0,0,0,19,0,0,0,0,4,3,3,0,0,12,0,0,11,114,33,17,3,3,0,184,0,0,4,47,5,6,3,0,0,65,0,13,145,277,98,70,50,80,29,765,0,0,0,4,10,3,4,11,0,32,0,0,0,5,5,7,4,3,3,31,4,14,124,1104,218,148,84,34,11,1740,0,0,0,19,8,5,5,0,3,47,3,0,46,336,23,4,3,0,0,427,0,0,15,95,31,7,30,3,3,184
POA2011,0,0,3,25,6,9,3,4,3,58,0,0,3,11,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,5,4,3,49,380,45,48,47,25,20,617,28,28,310,732,154,155,103,58,46,1622,190,200,971,4525,1043,987,692,363,282,9253,0,0,0,0,0,0,0,0,0,3,312,284,855,4258,1179,1120,719,327,231,9292,0,0,5,20,0,0,0,0,0,22,0,0,0,6,3,3,3,0,0,15,0,0,0,3,0,0,0,0,0,3,0,0,8,85,16,9,4,0,0,125,0,0,0,37,6,6,6,0,0,56,3,11,27,149,20,26,18,8,5,265,0,0,3,7,3,3,6,0,0,18,0,0,0,9,3,0,3,0,0,25,0,7,89,655,176,120,107,39,26,1223,0,0,8,17,10,9,3,3,0,45,0,0,34,196,17,7,4,0,3,273,0,0,24,89,19,13,34,21,4,210
POA2015,3,0,3,31,12,17,5,3,0,67,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,11,16,185,29,14,13,0,0,273,21,17,51,213,45,24,11,9,3,397,283,294,510,2621,555,339,197,71,28,4897,0,0,0,0,0,0,0,0,0,0,488,464,607,2888,705,388,168,65,10,5785,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,3,0,0,0,40,0,0,0,17,0,3,0,0,0,22,0,0,65,114,29,24,16,19,8,274,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,5,5,11,29,282,70,42,34,13,0,496,0,0,0,10,0,6,0,0,0,22,0,0,4,54,6,3,0,0,0,74,0,0,3,29,6,3,5,0,0,46
POA2016,0,0,9,29,3,8,8,3,0,63,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,22,227,36,41,52,52,21,454,30,8,72,322,73,67,50,58,8,687,233,209,769,2841,621,537,407,329,88,6031,0,0,0,0,0,0,0,0,0,0,399,366,659,2967,872,610,294,114,36,6319,0,0,10,54,4,0,0,0,0,71,0,0,0,3,3,0,0,0,0,12,0,0,0,4,0,0,0,0,0,3,0,0,3,49,16,3,0,0,0,72,0,0,0,24,9,0,7,6,0,44,0,3,184,137,50,67,64,100,19,626,0,0,0,0,3,8,6,7,0,23,0,0,0,0,3,5,0,0,4,8,4,0,59,392,95,64,41,13,4,678,0,0,0,13,5,0,10,0,0,33,0,0,7,100,10,0,3,0,0,124,0,0,11,45,20,5,15,0,0,91
POA2017,0,0,8,35,11,35,13,5,0,107,0,0,0,6,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,8,17,32,125,519,69,77,102,98,27,1067,65,48,268,576,117,134,88,57,23,1378,536,392,2830,5650,879,786,532,319,96,12022,0,0,0,0,0,0,0,0,0,0,824,545,878,3981,791,538,331,143,22,8045,3,0,3,15,0,0,3,0,0,30,0,0,0,17,0,0,0,3,0,22,0,0,3,3,0,0,3,0,0,15,0,0,30,81,8,8,0,0,0,132,0,0,3,29,3,5,10,0,0,45,15,27,2879,1655,186,169,87,72,22,5117,0,0,0,11,0,4,8,5,0,32,0,0,3,6,0,7,8,3,0,31,3,14,78,627,103,60,46,14,3,955,0,0,0,24,12,15,8,4,0,58,0,0,13,112,7,0,3,0,0,130,0,0,29,87,4,4,10,3,0,141
