POA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
POA2000,0,0,3,8,12,6,10,12,4,0,3,0,18,6,0,83,0,0,0,3,4,13,9,9,0,0,0,4,0,0,0,45,0,0,0,4,4,35,330,767,144,283,420,589,600,284,371,3828,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,5,9,9,0,4,3,3,7,3,6,54,0,23,43,56,36,62,79,82,22,31,37,54,98,82,30,751,0,0,0,4,14,22,34,28,5,3,16,24,43,37,17,250,0,0,0,3,68,29,14,76,35,22,51,57,48,29,9,435,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,13,3,24,17,56,79,137,204,204,76,96,150,205,350,231,157,1994,4,80,132,310,496,1103,2174,3001,851,1173,1571,2186,2602,1635,1332,18648
POA2006,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,28,7,5,0,0,3,3,6,0,57,0,0,0,0,0,0,8,4,0,0,0,0,6,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,4,5,0,27,0,0,3,0,3,6,91,21,9,5,15,18,32,48,4,267
POA2007,0,0,0,0,0,3,4,3,0,0,0,0,0,3,0,22,0,0,0,3,3,3,9,11,0,0,0,0,0,0,0,27,0,0,0,0,0,12,59,102,19,31,40,51,49,32,42,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,3,7,16,12,17,28,16,9,12,17,14,15,12,9,186,0,0,0,0,0,3,8,4,0,0,3,0,4,14,12,48,0,0,0,0,17,18,3,31,4,9,15,9,21,9,5,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,16,17,41,48,81,23,46,67,76,147,152,64,779,0,12,15,83,156,324,590,733,232,333,447,657,1104,1014,496,6197
POA2008,0,0,0,0,3,11,18,7,0,0,0,0,3,0,0,47,0,0,0,0,0,0,7,3,0,0,4,4,3,7,0,32,0,0,0,0,3,16,52,65,18,21,13,40,35,31,30,328,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,3,3,0,0,4,0,0,0,0,4,0,0,18,0,8,18,26,25,44,52,30,10,19,18,28,31,18,11,327,0,0,0,3,3,8,14,15,7,11,15,10,17,23,10,133,0,0,0,4,22,13,15,29,11,10,15,26,14,15,5,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,13,23,63,74,108,35,52,77,125,171,137,46,944,0,21,40,103,176,365,608,811,285,378,601,997,1461,1002,392,7232
POA2009,0,0,0,4,4,10,14,11,3,0,0,8,0,7,0,61,0,0,0,3,0,12,7,7,0,0,0,0,3,0,0,30,0,0,0,0,3,23,65,64,12,10,20,22,30,24,19,287,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,13,0,0,0,0,3,5,3,9,3,4,5,0,3,3,4,42,3,17,35,75,62,51,92,110,42,42,42,33,71,47,22,747,0,0,3,6,4,5,15,26,7,18,13,18,14,14,8,155,0,0,0,3,55,20,11,19,0,3,7,7,5,3,3,139,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,10,0,6,11,51,59,116,196,161,40,58,95,111,210,185,96,1397,4,47,116,260,455,746,1100,1028,253,318,420,480,689,542,358,6815
POA2010,0,0,3,6,36,40,65,27,3,11,5,3,18,9,5,228,0,0,0,3,3,20,9,5,0,0,0,3,3,3,0,44,0,0,0,0,5,34,141,210,39,52,85,108,102,48,61,892,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,21,0,0,0,9,0,4,4,10,0,0,3,4,4,4,0,49,0,28,79,153,109,172,311,267,111,110,127,199,192,108,38,2016,0,5,3,17,21,55,66,69,31,27,45,60,70,38,20,534,0,0,0,3,62,31,16,44,8,12,14,6,7,13,5,225,0,0,0,3,3,0,7,5,0,0,3,0,0,0,0,22,3,20,42,154,154,233,277,321,116,133,182,212,358,213,111,2538,13,138,291,590,858,1345,1786,1631,502,624,772,930,1126,689,435,11733
POA2011,0,3,8,12,22,43,51,12,4,7,7,3,10,7,3,181,0,0,0,0,0,7,6,3,0,0,3,3,0,0,0,25,0,0,0,3,10,22,56,49,12,11,9,25,11,4,21,224,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,13,3,0,6,11,3,6,0,3,3,0,3,49,7,35,108,154,95,115,174,199,58,66,91,126,118,64,42,1447,0,3,3,17,30,37,38,50,11,30,33,38,33,26,4,350,0,0,0,3,28,33,8,5,3,7,3,3,3,0,3,94,0,0,0,0,4,0,3,0,0,0,0,4,0,0,0,15,5,41,45,105,113,163,190,237,76,102,123,155,193,157,95,1795,20,137,249,500,598,867,1038,1023,311,351,414,546,562,422,313,7366
POA2015,0,0,0,3,9,5,24,5,0,0,6,0,3,4,4,65,0,0,0,0,0,6,3,0,0,0,0,0,4,0,0,23,0,0,0,0,5,3,20,17,0,7,0,8,0,4,0,63,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,10,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,9,3,12,17,51,54,71,108,101,27,26,41,33,30,7,10,586,0,0,0,6,7,8,20,10,0,8,3,9,5,4,3,95,0,0,0,4,40,30,12,12,0,0,0,3,3,3,3,104,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,12,0,3,12,40,62,108,108,108,25,30,33,56,70,36,33,718,3,30,60,150,327,520,653,532,124,138,147,185,215,108,100,3295
POA2016,0,0,0,4,8,12,20,6,0,3,0,3,0,0,3,70,0,0,3,3,3,11,7,5,0,0,0,0,0,0,3,40,0,0,0,0,4,24,35,23,4,6,12,9,10,4,6,129,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,5,10,3,3,9,0,7,0,0,0,0,0,46,0,16,42,75,54,90,115,114,28,41,40,52,74,31,25,792,0,0,0,9,5,28,33,27,8,9,13,12,14,15,38,208,0,0,0,3,34,22,5,20,4,3,6,12,13,6,3,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,22,106,103,239,161,154,58,51,78,71,132,71,28,1298,8,79,179,380,472,833,867,681,182,231,252,291,422,301,211,5376
POA2017,0,0,3,5,22,32,36,16,0,5,11,11,9,4,4,152,0,0,0,0,7,11,8,4,0,3,0,0,0,0,0,35,0,0,0,0,3,27,37,42,0,5,11,16,7,0,6,154,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,8,7,7,14,6,3,4,3,5,0,0,6,59,0,11,45,81,56,76,149,185,77,100,102,107,108,48,32,1172,0,0,3,9,4,16,31,27,9,22,17,39,61,88,13,332,0,0,0,0,65,58,18,13,0,4,3,6,7,0,12,190,0,0,0,0,0,0,10,0,3,3,0,0,0,0,0,21,3,13,30,126,144,446,326,270,83,117,142,256,307,204,98,2551,5,45,139,403,591,1355,1926,2216,622,887,1001,1356,1684,1043,581,13861
