POA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2000,7447,7323,14773,905,938,1842,1122,1104,2228,96,85,173,83,66,152,17,21,46,36,23,59,10,5,16,8,12,19,15,25,43,0,0,0,1391,1343,2736,1673,1831,3504,38,52,94,4007,4162,8174,2254,2031,4282,13713,13515,27228
POA2006,268,355,626,13,7,18,107,164,270,6,13,21,7,16,19,0,3,4,13,9,17,0,0,0,0,0,0,6,19,24,0,0,0,137,220,355,40,61,102,0,0,0,186,291,475,85,67,160,544,718,1259
POA2007,2013,2042,4051,201,237,437,489,562,1052,27,35,59,27,28,58,7,5,16,12,16,32,3,4,6,0,3,3,17,27,44,0,0,0,582,679,1261,823,1026,1851,16,13,26,1623,1957,3579,596,573,1166,4229,4567,8791
POA2008,2923,2753,5681,213,306,521,790,985,1775,38,51,96,16,29,41,10,11,20,21,25,39,4,3,9,0,4,3,20,24,39,0,0,0,899,1129,2024,789,1121,1910,28,13,39,1934,2565,4498,731,742,1474,5587,6066,11651
POA2009,4013,3925,7939,355,355,707,595,595,1188,56,39,90,42,47,83,8,9,12,20,13,34,7,3,5,3,0,3,17,8,19,0,0,0,731,708,1435,548,598,1145,18,19,43,1655,1678,3329,736,662,1398,6400,6264,12661
POA2010,9443,6826,16267,409,309,719,1912,1601,3508,117,96,217,118,94,203,27,17,46,53,48,97,7,5,12,6,4,12,28,32,63,0,0,0,2263,1902,4162,908,824,1731,48,42,96,3632,3075,6711,2811,1764,4579,15887,11671,27557
POA2011,6237,5207,11451,443,392,834,1184,1025,2214,92,65,161,87,61,146,17,8,25,81,44,122,3,0,3,16,8,23,45,17,57,0,0,3,1520,1230,2751,534,500,1035,30,22,55,2524,2146,4666,3127,1843,4968,11894,9193,21088
POA2015,3336,3229,6563,131,115,248,690,703,1391,23,23,51,30,43,77,10,11,17,10,5,17,5,5,13,0,0,0,13,9,26,0,0,0,784,798,1584,168,180,348,6,10,18,1090,1110,2198,534,483,1020,4963,4819,9780
POA2016,4675,3745,8422,201,151,352,797,743,1532,50,33,77,41,33,72,6,3,12,21,9,34,0,7,8,3,0,5,11,11,22,0,0,0,927,843,1765,347,401,750,38,19,51,1510,1415,2918,945,808,1752,7124,5968,13089
POA2017,7245,6665,13914,632,615,1255,1778,1626,3399,70,95,168,69,72,144,14,16,34,30,35,65,4,3,9,6,6,11,34,33,66,0,0,0,2005,1887,3896,993,1166,2160,45,36,78,3678,3708,7390,1622,1502,3128,12545,11876,24426
POA2018,6133,6214,12349,245,260,505,831,807,1634,24,19,42,24,26,49,8,3,13,28,23,47,0,0,0,7,3,10,11,7,12,0,0,0,931,888,1815,375,347,720,20,19,37,1561,1512,3079,732,670,1406,8432,8401,16827
POA2019,4092,4167,8259,145,133,279,544,510,1056,8,12,20,5,6,13,5,0,5,6,3,12,0,3,3,7,3,8,3,4,3,0,0,0,587,544,1129,67,74,143,9,3,18,815,750,1570,431,438,863,5335,5358,10692
POA2020,5015,5059,10072,278,231,510,930,914,1846,26,29,56,37,30,71,6,9,19,21,21,40,4,0,3,8,0,6,9,3,11,0,0,0,1047,1006,2056,362,387,757,20,7,30,1705,1639,3347,595,556,1154,7317,7260,14571
POA2021,4860,5232,10089,227,249,475,896,1009,1901,38,44,86,35,51,88,10,11,19,23,24,44,0,4,7,4,4,8,10,21,32,0,0,0,1015,1165,2184,233,326,555,16,19,32,1494,1752,3249,821,957,1782,7173,7943,15115
POA2022,3928,4308,8241,183,183,368,590,619,1217,17,24,41,24,34,59,3,3,9,12,16,27,3,0,3,0,4,3,7,5,11,0,0,0,668,709,1378,261,345,605,16,11,25,1130,1251,2377,854,881,1732,5910,6440,12348
POA2023,3749,3894,7642,143,161,298,561,591,1154,14,16,32,14,16,30,9,4,6,7,9,9,0,0,0,3,0,3,3,7,12,0,0,0,611,638,1247,160,195,357,12,8,20,930,1004,1926,488,536,1023,5164,5431,10589
POA2024,3748,4111,7853,195,162,356,493,570,1060,19,20,46,4,11,18,7,0,4,12,15,26,0,0,0,3,0,3,4,3,11,0,0,0,540,626,1173,147,159,299,15,9,24,899,959,1852,549,663,1211,5193,5722,10917
POA2025,2270,2720,4992,85,84,168,378,484,863,12,22,30,9,11,17,3,7,7,9,4,8,0,0,0,0,0,0,4,7,7,0,0,0,413,531,948,112,140,244,12,6,18,620,764,1384,431,531,961,3319,4014,7331
POA2026,10388,10574,20970,638,648,1284,1514,1626,3140,66,80,144,66,73,133,7,12,20,35,39,79,0,0,4,7,4,10,9,9,16,0,0,0,1707,1847,3553,910,932,1842,49,43,85,3304,3456,6760,2152,2184,4341,15842,16220,32069
POA2027,2506,2928,5434,133,158,288,368,415,789,20,23,43,14,20,41,4,4,4,12,20,25,0,0,3,0,0,0,4,4,3,0,0,0,423,492,910,102,132,234,3,0,5,654,783,1442,547,663,1215,3714,4377,8092
POA2028,1368,1759,3130,75,107,177,228,268,493,14,14,25,9,19,28,7,4,14,3,3,6,0,0,0,0,0,0,0,5,10,0,0,0,259,315,574,59,72,129,0,3,5,395,500,888,248,322,576,2011,2578,4592
POA2029,3395,3824,7215,114,147,261,463,557,1023,13,18,31,17,23,36,3,5,6,8,10,17,3,0,4,3,0,3,3,4,6,0,0,0,506,617,1125,120,141,264,9,9,16,760,915,1672,416,521,938,4561,5255,9821
POA2030,5240,5822,11064,189,200,395,468,561,1028,26,14,37,11,13,23,6,3,12,17,12,29,0,0,0,0,0,0,17,5,24,19,3,21,555,617,1176,111,122,233,9,14,23,870,952,1824,522,532,1057,6629,7305,13934
POA2031,11537,12743,24276,396,436,827,1742,2026,3766,65,72,135,61,57,115,12,14,22,37,36,70,4,3,5,11,3,16,17,20,36,0,0,0,1952,2224,4172,664,771,1434,32,41,74,3043,3467,6515,1749,1699,3448,16330,17903,34235
POA2032,5523,5432,10950,358,336,694,757,748,1507,30,37,66,32,28,57,13,17,25,15,8,24,3,9,7,4,3,7,12,15,23,0,0,0,858,860,1715,1017,964,1976,16,17,29,2251,2178,4427,598,600,1203,8368,8206,16580
