region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOS10,551064,34326,18228,6152,324,577,2069,612740
SOS11,116381,10918,7989,1239,112,238,1168,138045
SOS12,14298,1223,922,175,10,29,187,16844
SOS13,56253,4025,2666,641,43,97,496,64221
SOS17,0,0,0,3,0,0,0,3
SOS19,0,0,0,0,0,0,0,0
