region_id,SEO_Males,SEO_Females,SEO_Persons,SOL_Arabic_M,SOL_Arabic_F,SOL_Arabic_P,SOL_Assyrian_M,SOL_Assyrian_F,SOL_Assyrian_P,SOL_Aus_Indig_Lang_M,SOL_Aus_Indig_Lang_F,SOL_Aus_Indig_Lang_P,SOL_Chin_lang_Cant_M,SOL_Chin_lang_Cant_F,SOL_Chin_lang_Cant_P,SOL_Chin_lang_Mand_M,SOL_Chin_lang_Mand_F,SOL_Chin_lang_Mand_P,SOL_Chin_lang_Other_M,SOL_Chin_lang_Other_F,SOL_Chin_lang_Other_P,SOL_Chin_lang_Tot_M,SOL_Chin_lang_Tot_F,SOL_Chin_lang_Tot_P,SOL_Croatian_M,SOL_Croatian_F,SOL_Croatian_P,SOL_Dutch_M,SOL_Dutch_F,SOL_Dutch_P,SOL_French_M,SOL_French_F,SOL_French_P,SOL_German_M,SOL_German_F,SOL_German_P,SOL_Greek_M,SOL_Greek_F,SOL_Greek_P,SOL_Hungarian_M,SOL_Hungarian_F,SOL_Hungarian_P,SOL_In_Ar_Lang_Beng_M,SOL_In_Ar_Lang_Beng_F,SOL_In_Ar_Lang_Beng_P,SOL_In_Ar_Lang_Hind_M,SOL_In_Ar_Lang_Hind_F,SOL_In_Ar_Lang_Hind_P,SOL_In_Ar_Lang_Punj_M,SOL_In_Ar_Lang_Punj_F,SOL_In_Ar_Lang_Punj_P,SOL_In_Ar_Lang_Sinh_M,SOL_In_Ar_Lang_Sinh_F,SOL_In_Ar_Lang_Sinh_P,SOL_In_Ar_Lang_Urdu_M,SOL_In_Ar_Lang_Urdu_F,SOL_In_Ar_Lang_Urdu_P,SOL_In_Ar_Lang_Othr_M,SOL_In_Ar_Lang_Othr_F,SOL_In_Ar_Lang_Othr_P,SOL_In_Ar_Lang_Tot_M,SOL_In_Ar_Lang_Tot_F,SOL_In_Ar_Lang_Tot_P,SOL_Ir_Lang_Dari_M,SOL_Ir_Lang_Dari_F,SOL_Ir_Lang_Dari_P,SOL_Ir_La_Pe_excl_Da_M,SOL_Ir_La_Pe_excl_Da_F,SOL_Ir_La_Pe_excl_Da_P,SOL_Irani_Lan_Othr_M,SOL_Irani_Lan_Othr_F,SOL_Irani_Lan_Othr_P,SOL_Iran_Lan_Tot_M,SOL_Iran_Lan_Tot_F,SOL_Iran_Lan_Tot_P,SOL_Italian_M,SOL_Italian_F,SOL_Italian_P,SOL_Japanese_M,SOL_Japanese_F,SOL_Japanese_P,SOL_Khmer_M,SOL_Khmer_F,SOL_Khmer_P,SOL_Korean_M,SOL_Korean_F,SOL_Korean_P,SOL_Macedonian_M,SOL_Macedonian_F,SOL_Macedonian_P,SOL_Maltese_M,SOL_Maltese_F,SOL_Maltese_P,SOL_Polish_M,SOL_Polish_F,SOL_Polish_P,SOL_Portuguese_M,SOL_Portuguese_F,SOL_Portuguese_P,SOL_Russian_M,SOL_Russian_F,SOL_Russian_P,SOL_Samoan_M,SOL_Samoan_F,SOL_Samoan_P,SOL_Serbian_M,SOL_Serbian_F,SOL_Serbian_P,SOL_Se_As_A_L_Filipino_M,SOL_Se_As_A_L_Filipino_F,SOL_Se_As_A_L_Filipino_P,SOL_Se_As_A_L_Indon_M,SOL_Se_As_A_L_Indon_F,SOL_Se_As_A_L_Indon_P,SOL_Se_As_A_L_Tagal_M,SOL_Se_As_A_L_Tagal_F,SOL_Se_As_A_L_Tagal_P,SOL_Se_As_A_L_Othr_M,SOL_Se_As_A_L_Othr_F,SOL_Se_As_A_L_Othr_P,SOL_Se_As_A_L_Tot_M,SOL_Se_As_A_L_Tot_F,SOL_Se_As_A_L_Tot_P,SOL_Spanish_M,SOL_Spanish_F,SOL_Spanish_P,SOL_Tamil_M,SOL_Tamil_F,SOL_Tamil_P,SOL_Thai_M,SOL_Thai_F,SOL_Thai_P,SOL_Turkish_M,SOL_Turkish_F,SOL_Turkish_P,SOL_Vietnamese_M,SOL_Vietnamese_F,SOL_Vietnamese_P,SOL_Other_M,SOL_Other_F,SOL_Other_P,SOL_Tot_M,SOL_Tot_F,SOL_Tot_P,Language_spoken_home_ns_M,Language_spoken_home_ns_F,Language_spoken_home_ns_P,Total_M,Total_F,Total_P
SOS10,1542122,1587318,3129440,91425,88789,180214,10142,10596,20738,209,219,428,62189,70709,132898,62859,74173,137032,8881,9904,18785,133929,154786,288715,10247,10842,21089,2984,3612,6596,7934,8534,16468,8071,9370,17441,40640,42858,83498,2739,3499,6238,11741,9204,20945,25839,25554,51393,10798,8215,19013,4513,4477,8990,9267,7864,17131,19656,15700,35356,81814,71014,152828,3352,3228,6580,8641,7991,16632,1899,1765,3664,13892,12984,26876,34989,37361,72350,5384,7841,13225,4690,5333,10023,22063,24593,46656,14486,14464,28950,5181,5708,10889,5979,7593,13572,7626,7988,15614,6696,8886,15582,6841,7391,14232,10354,10842,21196,8284,11452,19736,11454,12700,24154,14964,20278,35242,1765,2332,4097,36467,46762,83229,24742,27752,52494,10621,10385,21006,5260,9067,14327,10935,10805,21740,40901,45239,86140,54536,56237,110773,711777,761350,1473127,132407,117058,249465,2386306,2465726,4852032
SOS11,609855,651893,1261748,1106,866,1972,20,17,37,272,291,563,1152,1175,2327,954,1096,2050,188,186,374,2294,2457,4751,457,460,917,682,962,1644,701,867,1568,1553,1949,3502,1004,926,1930,257,298,555,266,227,493,495,512,1007,1052,945,1997,181,161,342,244,183,427,516,457,973,2754,2485,5239,72,34,106,164,125,289,60,34,94,296,193,489,2762,2747,5509,314,502,816,65,80,145,249,257,506,132,133,265,278,251,529,330,513,843,235,265,500,217,334,551,273,265,538,263,246,509,296,755,1051,187,286,473,429,1041,1470,91,207,298,1003,2289,3292,927,1082,2009,234,217,451,332,696,1028,181,176,357,442,458,900,4916,4940,9856,24549,27222,51771,35432,30951,66383,669836,710066,1379902
SOS12,70351,70691,141042,111,100,211,17,21,38,51,59,110,76,77,153,51,57,108,0,7,7,127,141,268,69,69,138,92,105,197,83,104,187,196,241,437,107,110,217,22,22,44,3,0,3,31,28,59,33,22,55,6,5,11,7,13,20,14,12,26,94,80,174,6,0,6,5,4,9,3,0,3,14,4,18,367,391,758,27,36,63,12,9,21,25,16,41,22,21,43,106,95,201,36,36,72,18,12,30,32,31,63,15,25,40,49,47,96,15,59,74,12,17,29,22,78,100,12,8,20,61,162,223,100,121,221,10,4,14,21,65,86,10,17,27,25,41,66,389,353,742,2308,2538,4846,3261,2946,6207,75920,76175,152095
SOS13,242795,229614,472409,918,754,1672,118,102,220,104,83,187,457,441,898,191,263,454,38,47,85,686,751,1437,374,342,716,407,423,830,349,392,741,927,1071,1998,516,395,911,89,90,179,16,16,32,140,135,275,260,206,466,16,17,33,75,69,144,27,17,44,534,460,994,0,0,0,46,30,76,7,11,18,53,41,94,2383,2095,4478,79,156,235,45,53,98,82,81,163,95,88,183,871,769,1640,168,187,355,65,66,131,104,146,250,38,30,68,213,206,419,57,170,227,48,60,108,68,211,279,26,46,72,199,487,686,390,413,803,24,25,49,93,158,251,66,57,123,147,148,295,1366,1285,2651,11503,11354,22857,14870,10463,25333,269168,251431,520599
SOS17,39,45,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,14,5,19,5,4,9,58,54,112
SOS19,4851,3768,8619,102,82,184,7,6,13,4,8,12,49,50,99,80,101,181,16,12,28,145,163,308,15,6,21,9,12,21,29,19,48,15,32,47,21,21,42,3,4,7,9,3,12,24,23,47,4,3,7,3,5,8,13,6,19,15,10,25,68,50,118,0,0,0,23,12,35,0,0,0,23,12,35,41,30,71,9,18,27,0,0,0,24,29,53,8,3,11,3,5,8,7,6,13,16,10,26,9,19,28,21,18,39,10,5,15,9,10,19,10,8,18,14,13,27,0,8,8,33,39,72,56,44,100,3,3,6,6,13,19,17,8,25,54,42,96,131,116,247,889,823,1712,1850,735,2585,7590,5326,12916
