region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
101,8895,139288,14674,207822
102,15683,196969,21387,312184
103,6337,149058,14667,196746
104,5406,92386,8349,130615
105,2661,90459,9224,113582
106,9132,180316,16037,243245
107,15268,144678,15453,275983
108,7655,145769,13719,201110
109,3471,83431,7298,110320
110,4887,139300,12569,176195
111,14682,238121,20625,342610
112,10376,153760,14663,227622
113,4216,111679,10286,150126
114,6702,87995,9854,137003
115,10215,92036,9161,210414
116,11326,100395,19303,303523
117,11493,75683,31473,264547
118,12923,78053,26645,249548
119,17337,117180,39048,523614
120,11505,75600,19842,263568
121,21368,140444,21827,374669
122,15174,106213,13721,237641
123,11225,116373,15037,235793
124,15500,155428,18487,288192
125,12201,83806,32253,394702
126,7182,53726,8266,162846
127,9910,67421,26249,360167
128,11346,121132,10224,210267
197,9,44,8,119
199,512,5475,2883,12918
