region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
101,39,30,69,333,327,660,11,4,15,6,3,9,78,80,158,32926,28227,61153,2794,3266,6060,1715,80,1795,552,56,608,385,64,449,454,220,674,2167,2036,4203,41460,34393,75853,3,5,8,0,0,0,0,0,0,40,12,52,10,9,19,4,0,4,57,26,83,3,0,3,0,0,0,42,38,80,40,55,95,3,10,13,88,103,191,411,228,639,556,357,913,20,3,23,7,5,12,40,14,54,67,22,89,2956,3142,6098,4111,6120,10231,779,699,1478,49929,44733,94662
102,2909,1999,4908,610,839,1449,28,3,31,12,4,16,54,62,116,44114,37850,81964,3558,3451,7009,1740,38,1778,534,47,581,305,66,371,386,178,564,1214,1255,2469,55464,45792,101256,713,481,1194,9,8,17,12,5,17,1378,836,2214,241,278,519,152,29,181,2505,1637,4142,5,0,5,0,0,0,18,15,33,56,105,161,14,13,27,93,133,226,600,226,826,3198,1996,5194,426,279,705,26,18,44,32,14,46,484,311,795,2428,3492,5920,5967,9711,15678,1161,1011,2172,68702,62313,131015
103,47,40,87,357,201,558,15,11,26,3,0,3,117,117,234,29618,24890,54508,2904,2543,5447,1477,61,1538,373,42,415,344,55,399,466,177,643,2339,1897,4236,38060,30034,68094,8,8,16,0,0,0,0,0,0,17,8,25,3,9,12,4,3,7,32,28,60,0,0,0,0,0,0,53,9,62,15,15,30,3,8,11,71,32,103,343,160,503,446,220,666,9,6,15,9,6,15,28,6,34,46,18,64,3119,3021,6140,3796,5447,9243,797,661,1458,46264,39401,85665
104,19,12,31,128,123,251,7,3,10,3,0,3,45,36,81,16803,15425,32228,1517,1734,3251,870,30,900,361,36,397,463,132,595,221,96,317,1130,1086,2216,21567,18713,40280,0,5,5,0,0,0,0,0,0,0,3,3,3,3,6,0,0,0,3,11,14,0,0,0,0,0,0,6,0,6,7,19,26,4,7,11,17,26,43,218,104,322,238,141,379,6,6,12,0,5,5,10,3,13,16,14,30,1412,1732,3144,2292,3573,5865,443,398,841,25968,24571,50539
105,11,5,16,229,99,328,14,7,21,0,4,4,39,59,98,15268,14112,29380,1671,1608,3279,905,45,950,317,51,368,243,53,296,283,127,410,1762,1521,3283,20742,17691,38433,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,3,3,7,3,10,3,0,3,0,0,0,6,4,10,5,0,5,0,0,0,14,4,18,203,80,283,224,87,311,5,3,8,0,4,4,33,5,38,38,12,50,2083,1708,3791,1911,2701,4612,502,392,894,25500,22591,48091
106,232,243,475,259,262,521,18,8,26,4,5,9,40,65,105,41451,31598,73049,3494,2793,6287,1437,50,1487,580,75,655,299,58,357,353,152,505,1629,1496,3125,49796,36805,86601,30,25,55,3,0,3,0,0,0,87,80,167,23,25,48,26,0,26,169,130,299,0,0,0,0,0,0,17,23,40,26,34,60,7,0,7,50,57,107,594,235,829,813,422,1235,41,17,58,6,8,14,21,6,27,68,31,99,1843,2700,4543,5560,7515,13075,1022,710,1732,59102,48183,107285
107,1752,1162,2914,739,926,1665,10,4,14,11,3,14,86,72,158,44003,34954,78957,3119,3551,6670,1163,18,1181,609,69,678,623,140,763,338,125,463,1613,1722,3335,54066,42746,96812,141,153,294,0,4,4,10,5,15,585,368,953,117,112,229,67,22,89,920,664,1584,0,0,0,0,0,0,53,57,110,39,74,113,23,15,38,115,146,261,435,214,649,1470,1024,2494,115,82,197,13,14,27,25,11,36,153,107,260,1403,2135,3538,5833,8642,14475,992,852,1844,63917,55506,119423
108,27,11,38,157,182,339,12,3,15,8,0,8,47,60,107,23993,21969,45962,1979,2377,4356,1266,35,1301,453,68,521,331,95,426,281,136,417,1530,1487,3017,30084,26423,56507,3,5,8,0,0,0,0,0,0,0,0,0,3,3,6,5,0,5,11,8,19,4,0,4,0,0,0,7,8,15,12,27,39,6,0,6,29,35,64,299,142,441,339,185,524,4,5,9,3,5,8,26,8,34,33,18,51,2208,2337,4545,3277,5111,8388,676,615,1291,36617,34689,71306
109,7,12,19,132,115,247,12,0,12,5,7,12,36,38,74,17725,14914,32639,1313,1260,2573,576,14,590,277,33,310,365,123,488,275,104,379,1290,1177,2467,22013,17797,39810,3,0,3,0,0,0,0,3,3,3,0,3,0,0,0,3,0,3,9,3,12,0,0,0,0,0,0,4,3,7,15,16,31,0,3,3,19,22,41,182,87,269,210,112,322,0,3,3,7,3,10,22,3,25,29,9,38,1974,1718,3692,1967,3168,5135,488,404,892,26681,23208,49889
110,17,8,25,208,155,363,7,6,13,4,0,4,95,75,170,24998,22108,47106,2463,2320,4783,1672,59,1731,476,62,538,318,55,373,458,199,657,2302,1756,4058,33018,26803,59821,3,3,6,0,0,0,0,0,0,3,0,3,3,0,3,0,4,4,9,7,16,0,5,5,0,0,0,8,4,12,3,19,22,7,0,7,18,28,46,298,139,437,325,174,499,3,0,3,0,3,3,39,7,46,42,10,52,3394,3252,6646,2823,4435,7258,712,598,1310,40314,35272,75586
